"GeographyCode","KS606EW0001","KS606EW0002","KS606EW0003","KS606EW0004","KS606EW0005","KS606EW0006","KS606EW0007","KS606EW0008","KS606EW0009","KS606EW0010","KS606EW0011","KS606EW0012","KS606EW0013","KS606EW0014","KS606EW0015","KS606EW0016","KS606EW0017","KS606EW0018","KS606EW0019","KS606EW0020","KS606EW0021","KS606EW0022","KS606EW0023","KS606EW0024","KS606EW0025","KS606EW0026","KS606EW0027","KS606EW0028","KS606EW0029","KS606EW0030","KS606EW0031","KS606EW0032","KS606EW0033","KS606EW0034","KS606EW0035","KS606EW0036","KS606EW0037"
"E01004244",336,0,0,8,0,6,31,36,19,64,21,35,5,20,22,13,15,17,24,0,0,2.38095238095238,0,1.78571428571429,9.22619047619048,10.7142857142857,5.65476190476191,19.047619047619,6.25,10.4166666666667,1.48809523809524,5.95238095238095,6.54761904761905,3.86904761904762,4.46428571428571,5.05952380952381,7.14285714285714
"E01004245",240,0,1,8,1,2,14,28,30,52,5,8,6,12,27,7,13,15,11,0,0.416666666666667,3.33333333333333,0.416666666666667,0.833333333333333,5.83333333333333,11.6666666666667,12.5,21.6666666666667,2.08333333333333,3.33333333333333,2.5,5,11.25,2.91666666666667,5.41666666666667,6.25,4.58333333333333
"E01004246",541,0,0,23,3,4,37,53,29,75,39,59,6,60,31,16,29,35,42,0,0,4.25138632162662,0.55452865064695,0.739371534195933,6.83918669131238,9.79667282809612,5.36044362292052,13.8632162661738,7.20887245841035,10.90573012939,1.1090573012939,11.090573012939,5.73012939001848,2.95748613678373,5.36044362292052,6.46950092421442,7.7634011090573
"E01004247",414,0,0,11,0,4,32,48,36,80,33,41,6,26,33,9,23,17,15,0,0,2.65700483091787,0,0.966183574879227,7.72946859903382,11.5942028985507,8.69565217391304,19.3236714975845,7.97101449275362,9.90338164251208,1.44927536231884,6.28019323671498,7.97101449275362,2.17391304347826,5.55555555555556,4.10628019323672,3.6231884057971
"E01004248",217,0,0,14,0,3,13,42,21,43,6,4,5,14,15,5,12,8,12,0,0,6.45161290322581,0,1.38248847926267,5.99078341013825,19.3548387096774,9.67741935483871,19.815668202765,2.76497695852535,1.84331797235023,2.30414746543779,6.45161290322581,6.91244239631336,2.30414746543779,5.52995391705069,3.68663594470046,5.52995391705069
"E01004249",423,1,0,16,2,4,45,51,37,78,27,30,4,23,31,9,29,20,16,0.236406619385343,0,3.78250591016548,0.472813238770686,0.945626477541371,10.6382978723404,12.0567375886525,8.74704491725768,18.4397163120567,6.38297872340426,7.09219858156028,0.945626477541371,5.43735224586288,7.32860520094563,2.12765957446809,6.85579196217494,4.72813238770686,3.78250591016548
"E01004250",460,1,0,13,0,8,48,59,44,69,18,29,6,37,27,14,35,28,24,0.217391304347826,0,2.82608695652174,0,1.73913043478261,10.4347826086957,12.8260869565217,9.56521739130435,15,3.91304347826087,6.30434782608696,1.30434782608696,8.04347826086956,5.8695652173913,3.04347826086957,7.60869565217391,6.08695652173913,5.21739130434783
"E01004251",534,1,0,17,2,3,45,90,43,92,28,46,19,35,28,12,35,14,24,0.187265917602996,0,3.18352059925094,0.374531835205993,0.561797752808989,8.42696629213483,16.8539325842697,8.05243445692884,17.2284644194757,5.2434456928839,8.61423220973783,3.55805243445693,6.55430711610487,5.2434456928839,2.24719101123596,6.55430711610487,2.62172284644195,4.49438202247191
"E01004252",741,0,1,21,1,2,57,81,58,89,47,107,9,85,47,33,43,29,31,0,0.134952766531714,2.83400809716599,0.134952766531714,0.269905533063428,7.69230769230769,10.9311740890688,7.82726045883941,12.0107962213225,6.34278002699055,14.4399460188934,1.21457489878543,11.4709851551957,6.34278002699055,4.45344129554656,5.8029689608637,3.9136302294197,4.18353576248313
"E01004253",493,0,0,11,1,2,68,51,46,92,34,31,6,21,45,14,25,24,22,0,0,2.23123732251521,0.202839756592292,0.405679513184584,13.7931034482759,10.3448275862069,9.33062880324544,18.6612576064909,6.89655172413793,6.28803245436105,1.21703853955375,4.25963488843813,9.12778904665314,2.83975659229209,5.0709939148073,4.86815415821501,4.46247464503043
"E01004254",935,0,1,13,4,1,24,47,19,41,111,350,8,150,28,18,37,41,42,0,0.106951871657754,1.3903743315508,0.427807486631016,0.106951871657754,2.5668449197861,5.02673796791444,2.03208556149733,4.38502673796792,11.8716577540107,37.4331550802139,0.855614973262032,16.0427807486631,2.99465240641711,1.92513368983957,3.9572192513369,4.38502673796792,4.49197860962567
"E01004255",416,0,0,8,0,0,18,46,31,74,30,62,5,31,30,12,17,26,26,0,0,1.92307692307692,0,0,4.32692307692308,11.0576923076923,7.45192307692308,17.7884615384615,7.21153846153846,14.9038461538462,1.20192307692308,7.45192307692308,7.21153846153846,2.88461538461538,4.08653846153846,6.25,6.25
"E01004256",385,0,0,10,1,1,23,58,27,100,21,26,13,22,22,16,18,8,19,0,0,2.5974025974026,0.25974025974026,0.25974025974026,5.97402597402597,15.0649350649351,7.01298701298701,25.974025974026,5.45454545454545,6.75324675324675,3.37662337662338,5.71428571428571,5.71428571428571,4.15584415584416,4.67532467532468,2.07792207792208,4.93506493506494
"E01004257",360,0,0,12,1,2,36,57,25,80,15,21,9,17,20,12,21,17,15,0,0,3.33333333333333,0.277777777777778,0.555555555555556,10,15.8333333333333,6.94444444444444,22.2222222222222,4.16666666666667,5.83333333333333,2.5,4.72222222222222,5.55555555555556,3.33333333333333,5.83333333333333,4.72222222222222,4.16666666666667
"E01004258",517,0,1,9,2,3,23,33,24,24,42,164,5,84,22,15,19,20,27,0,0.193423597678917,1.74081237911025,0.386847195357834,0.580270793036751,4.44874274661509,6.38297872340426,4.642166344294,4.642166344294,8.12379110251451,31.7214700193424,0.967117988394584,16.247582205029,4.25531914893617,2.90135396518375,3.67504835589942,3.86847195357834,5.22243713733075
