"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00167090",100,69,23,27,19,30,15,8,7,1,0,1,0,0,0,0,0
"E00167091",144,102,22,59,21,34,14,13,7,4,2,2,0,4,1,3,0
"E00167092",122,71,20,42,9,40,13,10,17,7,1,4,2,4,3,1,0
"E00167093",97,69,20,42,7,25,10,5,10,3,2,1,0,0,0,0,0
"E00167094",130,78,12,59,7,32,11,13,8,6,1,5,0,14,9,4,1
"E00167095",109,34,10,17,7,31,18,7,6,19,13,3,3,25,10,15,0
"E00167096",66,47,10,37,0,18,11,7,0,0,0,0,0,1,1,0,0
"E00167097",133,80,27,46,7,47,24,12,11,6,5,1,0,0,0,0,0
"E00167098",76,50,16,32,2,21,11,8,2,5,4,1,0,0,0,0,0
"E00167099",73,44,19,24,1,21,15,6,0,8,7,1,0,0,0,0,0
"E00167100",226,172,33,138,1,44,27,11,6,8,4,4,0,2,0,2,0
"E00167101",148,92,37,54,1,42,19,17,6,11,8,2,1,3,2,1,0
"E00167102",130,73,16,43,14,42,14,13,15,12,9,2,1,3,2,1,0
"E00167103",126,76,30,41,5,47,23,22,2,3,3,0,0,0,0,0,0
"E00167104",121,64,22,41,1,41,18,19,4,11,7,4,0,5,4,1,0
"E00167105",132,36,9,9,18,72,13,8,51,11,2,8,1,13,8,3,2
"E00167106",161,79,24,48,7,65,29,22,14,11,4,5,2,6,3,3,0
"E00167107",120,57,22,21,14,58,30,17,11,4,4,0,0,1,0,0,1
"E00167108",165,61,16,24,21,57,15,19,23,16,3,13,0,31,15,16,0
"E00167109",124,79,42,26,11,39,15,14,10,3,0,3,0,3,0,2,1
"E00167110",124,64,22,33,9,46,13,15,18,4,3,1,0,10,7,2,1
"E00167111",149,117,38,72,7,32,10,17,5,0,0,0,0,0,0,0,0
"E00167112",403,263,82,146,35,96,39,31,26,20,13,7,0,24,13,11,0
"E00167113",165,81,34,31,16,74,17,10,47,6,3,2,1,4,2,2,0
"E00167114",140,34,1,18,15,64,12,17,35,15,5,6,4,27,13,11,3
