"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01004219",851,90,140,287,163,50,93,10.5757931844888,16.4512338425382,33.7250293772033,19.1539365452409,5.87544065804935,10.9283196239718
"E01004221",802,50,80,177,100,41,81,6.23441396508728,9.97506234413965,22.069825436409,12.4688279301746,5.11221945137157,10.0997506234414
"E01004222",1048,118,333,299,156,71,275,11.2595419847328,31.7748091603053,28.530534351145,14.8854961832061,6.77480916030534,26.2404580152672
"E01004223",938,80,281,258,128,50,238,8.52878464818763,29.9573560767591,27.5053304904051,13.6460554371002,5.33049040511727,25.3731343283582
"E01004224",806,62,201,194,83,56,150,7.69230769230769,24.9379652605459,24.0694789081886,10.2977667493797,6.94789081885856,18.6104218362283
"E01004225",1147,33,107,136,102,17,76,2.8770706190061,9.32868352223191,11.8570183086312,8.89276373147341,1.4821272885789,6.62598081952921
"E01004226",676,73,141,222,125,44,114,10.7988165680473,20.8579881656805,32.8402366863905,18.491124260355,6.50887573964497,16.8639053254438
"E01004228",769,36,167,178,95,31,146,4.6814044213264,21.7165149544863,23.146944083225,12.3537061118335,4.03120936280884,18.9856957087126
"E01004229",551,44,110,162,83,34,100,7.98548094373866,19.9637023593466,29.4010889292196,15.0635208711434,6.17059891107078,18.1488203266788
"E01004230",803,57,209,230,114,47,162,7.09838107098381,26.027397260274,28.6425902864259,14.1967621419676,5.85305105853051,20.1743462017435
"E01004231",629,86,149,240,124,48,119,13.6724960254372,23.6883942766296,38.1558028616852,19.7138314785374,7.63116057233704,18.9189189189189
"E01004232",603,19,90,124,65,21,75,3.15091210613599,14.9253731343284,20.5638474295191,10.7794361525705,3.48258706467662,12.4378109452736
"E01004233",751,67,217,202,118,41,174,8.92143808255659,28.8948069241012,26.8974700399467,15.7123834886818,5.45938748335553,23.1691078561917
"E01004234",903,37,162,211,119,30,133,4.09745293466224,17.9401993355482,23.3665559246955,13.1782945736434,3.32225913621263,14.7286821705426
"E01004235",513,56,115,214,112,48,90,10.916179337232,22.4171539961014,41.7153996101365,21.8323586744639,9.35672514619883,17.5438596491228
"E01004236",497,82,97,236,111,59,86,16.4989939637827,19.5171026156942,47.4849094567404,22.3340040241449,11.8712273641851,17.3038229376258
"E01004237",506,58,107,140,87,22,76,11.4624505928854,21.1462450592885,27.6679841897233,17.1936758893281,4.34782608695652,15.0197628458498
"E01004238",1058,119,182,356,209,65,122,11.2476370510397,17.2022684310019,33.648393194707,19.7542533081285,6.14366729678639,11.531190926276
"E01004239",533,62,110,215,101,53,81,11.6322701688555,20.6378986866792,40.3377110694184,18.9493433395872,9.9437148217636,15.1969981238274
"E01004240",574,88,110,262,122,64,94,15.3310104529617,19.1637630662021,45.6445993031359,21.2543554006969,11.1498257839721,16.3763066202091
"E01004241",570,66,151,234,114,42,112,11.5789473684211,26.4912280701754,41.0526315789474,20,7.36842105263158,19.6491228070175
"E01004242",898,108,155,319,183,60,106,12.0267260579065,17.260579064588,35.5233853006682,20.3786191536748,6.6815144766147,11.804008908686
"E01004243",614,83,142,246,138,60,114,13.5179153094463,23.1270358306189,40.0651465798046,22.4755700325733,9.77198697068404,18.5667752442997
"E01004244",686,87,212,243,109,45,165,12.6822157434402,30.9037900874636,35.4227405247813,15.8892128279883,6.5597667638484,24.0524781341108
"E01004245",433,96,66,259,127,75,61,22.1709006928406,15.2424942263279,59.8152424942263,29.3302540415704,17.3210161662818,14.0877598152425
"E01004246",747,65,122,225,124,41,109,8.70147255689424,16.3319946452477,30.1204819277108,16.5997322623829,5.48862115127175,14.5917001338688
"E01004247",714,85,204,261,133,69,145,11.9047619047619,28.5714285714286,36.5546218487395,18.6274509803922,9.66386554621849,20.3081232492997
"E01004248",441,80,114,210,103,56,101,18.140589569161,25.8503401360544,47.6190476190476,23.3560090702948,12.6984126984127,22.9024943310658
"E01004249",758,106,181,288,140,58,148,13.9841688654354,23.8786279683377,37.9947229551451,18.4696569920844,7.65171503957784,19.5250659630607
"E01004250",866,119,213,348,182,70,181,13.7413394919169,24.5958429561201,40.1847575057737,21.0161662817552,8.08314087759815,20.9006928406467
"E01004251",779,77,212,264,150,49,184,9.88446726572529,27.214377406932,33.8896020539153,19.2554557124519,6.29011553273427,23.620025673941
"E01004252",1107,106,177,339,180,72,136,9.57542908762421,15.9891598915989,30.6233062330623,16.260162601626,6.50406504065041,12.2854561878952
"E01004253",829,126,198,341,177,66,194,15.1990349819059,23.8841978287093,41.1338962605549,21.351025331725,7.96139927623643,23.4016887816647
"E01004254",1046,20,66,145,95,20,43,1.91204588910134,6.30975143403442,13.8623326959847,9.08221797323136,1.91204588910134,4.11089866156788
