"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E00021179",327,222,180,169,5,5,1,0,0,0,0,0,1,3,38,35,21,8,0,2,2,3,6,14,1,1,1,11,3,2,1,12,1,7,2,1,4,4,0,2,1,0,1,0,64,1,0,1,10,3,1,6,46,39,5,2,0,0,7,0,7,0,11,7,2,5,1,1,2,0,2,18,0,18,18,0,0,0
"E00021180",444,284,228,218,1,7,2,0,0,0,0,0,0,1,55,51,38,9,0,14,1,9,5,13,0,6,1,6,4,1,3,26,3,7,4,0,3,16,1,5,1,2,7,0,113,0,0,0,6,3,0,3,103,97,3,2,0,1,4,0,4,0,12,2,0,2,0,7,3,0,3,9,0,9,6,3,0,0
"E00021181",230,165,138,127,3,4,4,0,0,0,1,0,0,4,22,19,17,4,0,7,1,2,3,2,0,2,0,0,3,0,3,10,2,4,0,0,4,4,1,1,0,0,2,0,41,2,0,2,3,0,0,3,34,30,1,2,0,1,2,0,2,0,11,5,5,0,0,3,3,2,1,3,0,3,1,2,0,0
"E00021182",343,262,196,185,4,6,1,0,0,0,0,0,0,7,59,51,45,8,6,10,2,6,13,6,2,2,0,2,8,3,5,12,2,4,4,0,0,6,2,1,1,0,2,0,29,3,3,0,6,0,2,4,17,17,0,0,0,0,3,0,3,0,19,11,7,4,1,4,3,1,2,21,0,21,20,1,0,0
"E00021183",231,181,153,147,1,4,1,0,0,0,0,0,0,4,24,22,19,12,1,5,0,0,1,3,0,1,0,2,2,0,2,12,0,0,0,0,0,12,0,5,3,1,3,0,17,3,1,2,5,1,0,4,5,5,0,0,0,0,3,1,2,1,7,5,3,2,0,2,0,0,0,14,0,14,11,3,0,0
"E00021184",169,116,98,95,0,2,1,0,0,0,0,0,0,1,17,14,12,1,2,4,2,0,3,2,1,0,0,1,3,0,3,14,1,3,2,1,0,10,0,6,0,0,4,0,26,2,0,2,2,2,0,0,21,18,3,0,0,0,1,0,1,0,3,3,1,2,0,0,0,0,0,10,0,10,8,2,0,0
"E00021185",304,237,221,206,5,6,4,0,0,0,0,0,0,6,10,9,5,0,1,0,0,2,2,4,0,2,0,2,1,0,1,12,2,5,3,1,1,5,0,1,0,0,4,0,45,1,1,0,4,2,0,2,38,36,1,1,0,0,2,0,2,0,6,2,2,0,0,2,2,1,1,4,0,4,3,1,0,0
"E00021186",440,237,211,206,1,2,2,0,0,0,0,0,0,4,22,21,14,4,1,3,0,3,3,7,5,0,0,2,1,1,0,18,3,4,1,1,2,11,0,4,2,0,5,0,170,1,0,1,0,0,0,0,169,163,5,1,0,0,0,0,0,0,10,3,2,1,1,4,2,1,1,5,0,5,4,1,0,0
"E00021187",307,174,154,154,0,0,0,0,0,0,1,0,0,2,17,15,10,3,1,4,0,0,2,5,1,0,0,4,2,0,2,28,0,6,1,3,2,22,0,17,0,0,5,0,105,1,0,1,0,0,0,0,97,97,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021188",302,234,213,210,0,3,0,0,0,0,1,0,0,6,14,14,9,3,4,2,0,0,0,5,0,4,0,1,0,0,0,12,3,3,3,0,0,6,0,5,0,0,1,0,47,0,0,0,1,1,0,0,45,44,1,0,0,0,1,0,1,0,6,1,0,1,0,0,5,2,3,3,0,3,3,0,0,0
