"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E01004287",1662,580,150,615,70,50,99,98,34.8977135980746,9.02527075812274,37.0036101083032,4.21179302045728,3.00842358604091,5.95667870036101,5.89651022864019
"E01004288",1123,376,90,443,59,37,56,62,33.4817453250223,8.01424755120214,39.4479073909172,5.25378450578807,3.29474621549421,4.986642920748,5.52092609082814
"E01004289",1477,422,90,713,53,53,65,81,28.5714285714286,6.09343263371699,48.2735274204468,3.5883547731889,3.5883547731889,4.4008124576845,5.48408937034529
"E01004290",1093,232,147,542,31,23,58,60,21.2259835315645,13.4492223238792,49.5882891125343,2.83623055809698,2.10430009149131,5.30649588289113,5.48947849954254
"E01004291",1668,456,306,652,54,43,117,40,27.3381294964029,18.3453237410072,39.0887290167866,3.23741007194245,2.5779376498801,7.01438848920863,2.39808153477218
"E01004292",1567,430,232,764,34,23,56,28,27.4409700063816,14.8053605615826,48.7555839183153,2.16975111678366,1.46777281429483,3.57370772176133,1.78685386088066
"E01004293",1925,606,304,746,78,39,104,48,31.4805194805195,15.7922077922078,38.7532467532467,4.05194805194805,2.02597402597403,5.4025974025974,2.49350649350649
"E01004294",1499,352,216,737,55,30,73,36,23.4823215476985,14.4096064042695,49.1661107404937,3.66911274182789,2.00133422281521,4.86991327551701,2.40160106737825
"E01004295",1070,418,66,387,60,35,56,48,39.0654205607477,6.16822429906542,36.1682242990654,5.60747663551402,3.27102803738318,5.23364485981308,4.48598130841121
"E01004296",1293,378,133,572,36,49,68,57,29.2343387470998,10.2861562258314,44.2382057231245,2.78422273781903,3.78963650425367,5.25908739365816,4.40835266821346
"E01004297",1626,466,362,607,56,23,71,41,28.6592865928659,22.2632226322263,37.3308733087331,3.4440344403444,1.41451414514145,4.36654366543665,2.52152521525215
"E01004298",1282,364,102,571,51,51,61,82,28.393135725429,7.95631825273011,44.5397815912636,3.97815912636505,3.97815912636505,4.7581903276131,6.39625585023401
"E01004300",1029,342,86,394,30,48,70,59,33.2361516034985,8.35762876579203,38.2896015549077,2.91545189504373,4.66472303206997,6.80272108843537,5.73372206025267
"E01004301",975,328,70,417,55,30,31,44,33.6410256410256,7.17948717948718,42.7692307692308,5.64102564102564,3.07692307692308,3.17948717948718,4.51282051282051
"E01004302",1406,522,106,542,77,49,58,52,37.126600284495,7.53911806543385,38.5490753911807,5.47652916073969,3.4850640113798,4.12517780938834,3.69843527738265
"E01004303",1844,582,244,759,65,53,81,60,31.5618221258134,13.2321041214751,41.1605206073753,3.52494577006508,2.87418655097614,4.39262472885033,3.25379609544469
"E01004304",1473,498,100,608,76,42,82,67,33.8085539714868,6.78886625933469,41.2763068567549,5.15953835709437,2.85132382892057,5.56687033265445,4.54854039375424
"E01004305",1460,438,129,620,47,48,97,81,30,8.83561643835616,42.4657534246575,3.21917808219178,3.28767123287671,6.64383561643836,5.54794520547945
"E01004306",1538,396,180,776,43,37,45,61,25.7477243172952,11.703511053316,50.4551365409623,2.79583875162549,2.40572171651495,2.925877763329,3.96618985695709
"E01004307",1719,320,332,886,69,24,66,22,18.6154741128563,19.3135543920884,51.5415939499709,4.01396160558464,1.39616055846422,3.83944153577661,1.27981384525887
