"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E00021159",488,118,44,216,20,15,31,44,24.1803278688525,9.01639344262295,44.2622950819672,4.0983606557377,3.07377049180328,6.35245901639344,9.01639344262295
"E00021160",241,74,26,111,3,5,10,12,30.7053941908714,10.7883817427386,46.0580912863071,1.2448132780083,2.0746887966805,4.149377593361,4.9792531120332
"E00021161",319,86,26,153,9,6,18,21,26.9592476489028,8.15047021943574,47.9623824451411,2.82131661442006,1.88087774294671,5.64263322884013,6.58307210031348
"E00021162",310,80,20,183,7,7,7,6,25.8064516129032,6.45161290322581,59.0322580645161,2.25806451612903,2.25806451612903,2.25806451612903,1.93548387096774
"E00021163",251,68,14,120,12,9,8,20,27.0916334661355,5.57768924302789,47.808764940239,4.7808764940239,3.58565737051793,3.18725099601594,7.96812749003984
"E00021164",217,64,18,78,14,9,19,15,29.4930875576037,8.29493087557604,35.9447004608295,6.45161290322581,4.14746543778802,8.75576036866359,6.91244239631336
"E00021165",261,78,12,131,6,11,10,13,29.8850574712644,4.59770114942529,50.1915708812261,2.29885057471264,4.21455938697318,3.83141762452107,4.98084291187739
"E00021166",303,60,36,160,6,6,20,15,19.8019801980198,11.8811881188119,52.8052805280528,1.98019801980198,1.98019801980198,6.6006600660066,4.95049504950495
"E00021167",243,56,40,110,6,9,15,7,23.0452674897119,16.4609053497942,45.2674897119342,2.46913580246914,3.7037037037037,6.17283950617284,2.88065843621399
"E00021168",360,22,96,227,3,3,7,2,6.11111111111111,26.6666666666667,63.0555555555556,0.833333333333333,0.833333333333333,1.94444444444444,0.555555555555556
"E00021169",384,108,70,172,7,8,10,9,28.125,18.2291666666667,44.7916666666667,1.82291666666667,2.08333333333333,2.60416666666667,2.34375
"E00021170",332,112,30,138,7,19,18,8,33.7349397590361,9.03614457831325,41.566265060241,2.10843373493976,5.72289156626506,5.42168674698795,2.40963855421687
"E00021171",507,150,48,257,11,10,16,15,29.585798816568,9.46745562130178,50.6903353057199,2.16962524654832,1.9723865877712,3.15581854043393,2.9585798816568
"E00021172",236,48,24,123,3,12,21,5,20.3389830508475,10.1694915254237,52.1186440677966,1.27118644067797,5.08474576271187,8.89830508474576,2.11864406779661
"E00021173",294,64,34,152,8,8,13,15,21.7687074829932,11.5646258503401,51.7006802721088,2.72108843537415,2.72108843537415,4.42176870748299,5.10204081632653
"E00021174",220,54,72,84,0,2,6,2,24.5454545454545,32.7272727272727,38.1818181818182,0,0.909090909090909,2.72727272727273,0.909090909090909
"E00021175",245,50,16,149,3,5,8,14,20.4081632653061,6.53061224489796,60.8163265306122,1.22448979591837,2.04081632653061,3.26530612244898,5.71428571428571
"E00021176",251,68,24,115,5,3,21,15,27.0916334661355,9.56175298804781,45.8167330677291,1.99203187250996,1.19521912350598,8.36653386454183,5.97609561752988
