"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01004242",2453,255,131,67,157,35,60,87,345,343,592,253,41,49,31,5,2,10.3954341622503,5.3403995108031,2.73134936812067,6.40032613126783,1.42682429677945,2.44598450876478,3.54667753770893,14.0644109253975,13.9828781084386,24.1337138198125,10.3139013452915,1.67142274765593,1.99755401549124,1.2637586628618,0.203832042397065,0.0815328169588259
"E01004243",1789,175,100,67,142,33,50,52,173,166,428,240,34,69,49,7,4,9.78200111794298,5.58971492453885,3.74510899944103,7.93739519284516,1.84460592509782,2.79485746226942,2.9066517607602,9.67020681945221,9.27892677473449,23.9239798770263,13.4153158188932,1.90050307434321,3.85690329793181,2.73896031302404,0.391280044717719,0.223588596981554
"E01004244",1885,141,109,58,154,31,52,62,172,174,403,257,60,84,93,25,10,7.48010610079575,5.78249336870027,3.07692307692308,8.16976127320955,1.64456233421751,2.75862068965517,3.28912466843501,9.12466843501326,9.23076923076923,21.3793103448276,13.6339522546419,3.18302387267904,4.45623342175066,4.93368700265252,1.3262599469496,0.530503978779841
"E01004245",1539,161,112,75,139,43,71,61,139,132,323,203,25,34,18,3,0,10.461338531514,7.27745289148798,4.87329434697856,9.03183885640026,2.79402209226771,4.6133853151397,3.96361273554256,9.03183885640026,8.57699805068226,20.9876543209877,13.190383365822,1.62443144899285,2.20922677063028,1.16959064327485,0.194931773879142,0
"E01004246",1977,153,88,54,123,19,45,44,208,221,524,308,61,65,50,11,3,7.73899848254932,4.45118866970157,2.73141122913505,6.22154779969651,0.961052099140111,2.27617602427921,2.22559433485078,10.5209914011128,11.1785533636823,26.5048052604957,15.5791603439555,3.08548305513404,3.28780981284775,2.52908447142135,0.556398583712696,0.151745068285281
"E01004247",1934,168,90,76,115,28,46,51,227,254,466,232,46,61,48,18,8,8.68665977249224,4.6535677352637,3.92967942088935,5.94622543950362,1.44777662874871,2.37849017580145,2.63702171664943,11.7373319544984,13.1334022750776,24.0951396070321,11.9958634953464,2.37849017580145,3.1540847983454,2.48190279214064,0.93071354705274,0.413650465356774
"E01004248",1344,137,102,53,123,33,37,46,113,121,287,159,27,49,32,19,6,10.1934523809524,7.58928571428571,3.94345238095238,9.15178571428571,2.45535714285714,2.75297619047619,3.42261904761905,8.4077380952381,9.00297619047619,21.3541666666667,11.8303571428571,2.00892857142857,3.64583333333333,2.38095238095238,1.41369047619048,0.446428571428571
"E01004249",2049,188,125,71,148,38,64,62,172,212,502,298,65,54,38,10,2,9.17520741825281,6.10053684724256,3.46510492923377,7.22303562713519,1.85456320156174,3.12347486578819,3.02586627623231,8.39433870180576,10.3465104929234,24.4997559785261,14.5436798438263,3.17227916056613,2.63543191800879,1.85456320156174,0.488042947779405,0.0976085895558809
"E01004250",2342,228,128,79,179,40,57,58,199,263,572,309,61,69,78,18,4,9.73526900085397,5.46541417591802,3.3731853116994,7.64304013663535,1.70794192997438,2.43381725021349,2.47651579846285,8.49701110162255,11.2297181895816,24.4235695986336,13.1938514090521,2.60461144321093,2.94619982920581,3.33048676345004,0.768573868488471,0.170794192997438
"E01004251",2082,190,104,48,137,21,55,46,219,258,524,233,60,76,79,25,7,9.12584053794428,4.99519692603266,2.30547550432277,6.58021133525456,1.00864553314121,2.6416906820365,2.20941402497598,10.5187319884726,12.3919308357349,25.1681075888569,11.1911623439001,2.88184438040346,3.65033621517771,3.79442843419789,1.20076849183477,0.336215177713737
"E01004252",2707,225,139,75,141,38,54,53,262,418,847,268,49,74,49,10,5,8.3117842630218,5.13483561137791,2.7705947543406,5.20871813816033,1.4037680088659,1.99482822312523,1.95788695973402,9.67861100849649,15.4414480975249,31.2892500923532,9.90025858884374,1.81012190616919,2.73365349094939,1.81012190616919,0.36941263391208,0.18470631695604
"E01004253",2340,223,118,68,182,36,79,60,237,248,528,325,57,89,61,21,8,9.52991452991453,5.04273504273504,2.90598290598291,7.77777777777778,1.53846153846154,3.37606837606838,2.56410256410256,10.1282051282051,10.5982905982906,22.5641025641026,13.8888888888889,2.43589743589744,3.8034188034188,2.60683760683761,0.897435897435897,0.341880341880342
"E01004254",2120,115,34,22,45,12,16,16,196,477,909,202,35,32,7,0,2,5.42452830188679,1.60377358490566,1.0377358490566,2.12264150943396,0.566037735849057,0.754716981132076,0.754716981132076,9.24528301886792,22.5,42.877358490566,9.52830188679245,1.65094339622642,1.50943396226415,0.330188679245283,0,0.0943396226415094
"E01004255",1618,121,66,49,109,23,24,50,171,217,465,223,40,34,21,4,1,7.47836835599506,4.07911001236094,3.02843016069221,6.73671199011125,1.42150803461063,1.48331273176761,3.0902348578492,10.5686032138443,13.4116192830655,28.7391841779975,13.7824474660074,2.47218788627936,2.10135970333745,1.29789864029666,0.247218788627936,0.0618046971569839
"E01004256",1729,170,73,59,108,20,42,43,180,223,428,197,37,74,61,10,4,9.83227299016773,4.22209369577791,3.41237709658762,6.24638519375362,1.15673799884326,2.42914979757085,2.48698669751301,10.4106419895894,12.8976286871024,24.7541931752458,11.3938692886061,2.13996529786003,4.27993059572007,3.52805089647195,0.578368999421631,0.231347599768652
"E01004257",1884,192,124,68,148,36,60,53,184,218,451,196,36,60,44,13,1,10.1910828025478,6.58174097664544,3.60934182590234,7.85562632696391,1.91082802547771,3.18471337579618,2.81316348195329,9.76645435244161,11.5711252653928,23.9384288747346,10.4033970276008,1.91082802547771,3.18471337579618,2.33545647558386,0.690021231422505,0.0530785562632696
"E01004258",1506,105,43,15,56,3,25,25,98,182,502,260,72,67,44,7,2,6.97211155378486,2.85524568393094,0.99601593625498,3.71845949535193,0.199203187250996,1.66002656042497,1.66002656042497,6.50730411686587,12.0849933598938,33.3333333333333,17.2642762284197,4.7808764940239,4.44887118193891,2.92164674634794,0.464807436918991,0.132802124833997
"E01004259",1723,100,50,30,58,14,12,20,190,385,510,219,39,49,39,6,2,5.80383052814858,2.90191526407429,1.74114915844457,3.36622170632618,0.812536273940801,0.696459663377829,1.16076610562972,11.0272780034823,22.344747533372,29.5995356935577,12.7103888566454,2.26349390597795,2.8438769587928,2.26349390597795,0.348229831688915,0.116076610562972
"E01004260",1790,135,106,47,115,25,38,42,242,241,458,175,31,55,57,18,5,7.54189944134078,5.92178770949721,2.62569832402235,6.42458100558659,1.39664804469274,2.12290502793296,2.3463687150838,13.5195530726257,13.463687150838,25.5865921787709,9.77653631284916,1.73184357541899,3.07262569832402,3.18435754189944,1.00558659217877,0.279329608938547
"E01004261",2525,106,69,48,102,13,38,733,660,200,283,140,39,49,34,9,2,4.1980198019802,2.73267326732673,1.9009900990099,4.03960396039604,0.514851485148515,1.5049504950495,29.029702970297,26.1386138613861,7.92079207920792,11.2079207920792,5.54455445544555,1.54455445544554,1.94059405940594,1.34653465346535,0.356435643564356,0.0792079207920792
"E01004262",1742,78,42,20,86,10,44,259,398,198,293,166,34,59,42,10,3,4.47761194029851,2.41102181400689,1.14810562571757,4.93685419058553,0.574052812858783,2.52583237657865,14.8679678530425,22.8473019517796,11.3662456946039,16.8197474167623,9.5292766934558,1.95177956371986,3.38691159586682,2.41102181400689,0.574052812858783,0.172215843857635
