"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E01004284",884,538,151,31,164,60.8597285067873,17.0814479638009,3.50678733031674,18.552036199095
"E01004285",658,285,155,60,158,43.3130699088146,23.5562310030395,9.11854103343465,24.0121580547112
"E01004286",817,507,136,47,127,62.0563035495716,16.6462668298654,5.75275397796818,15.5446756425949
"E01004287",854,476,134,43,201,55.7377049180328,15.6908665105386,5.03512880562061,23.536299765808
"E01004288",525,283,85,44,113,53.9047619047619,16.1904761904762,8.38095238095238,21.5238095238095
"E01004289",670,395,120,21,134,58.955223880597,17.910447761194,3.13432835820895,20
"E01004290",575,387,79,5,104,67.304347826087,13.7391304347826,0.869565217391304,18.0869565217391
"E01004291",1051,817,70,14,150,77.7354900095147,6.66032350142721,1.33206470028544,14.2721217887726
"E01004292",818,572,121,8,117,69.9266503667482,14.7921760391198,0.97799511002445,14.3031784841076
"E01004293",1133,840,121,7,165,74.1394527802295,10.6796116504854,0.617828773168579,14.5631067961165
"E01004294",877,616,102,14,145,70.2394526795895,11.630558722919,1.5963511972634,16.533637400228
"E01004295",500,213,104,39,144,42.6,20.8,7.8,28.8
"E01004296",684,452,97,22,113,66.0818713450292,14.1812865497076,3.21637426900585,16.5204678362573
"E01004297",909,682,109,4,114,75.027502750275,11.991199119912,0.44004400440044,12.5412541254125
"E01004298",635,316,113,31,175,49.7637795275591,17.7952755905512,4.88188976377953,27.5590551181102
"E01004300",522,293,86,24,119,56.1302681992337,16.4750957854406,4.59770114942529,22.7969348659004
"E01004301",413,175,101,26,111,42.3728813559322,24.455205811138,6.2953995157385,26.8765133171913
"E01004302",637,235,158,51,193,36.8916797488226,24.8037676609105,8.00627943485086,30.298273155416
"E01004303",967,614,154,32,167,63.4953464322647,15.9255429162358,3.30920372285419,17.2699069286453
"E01004304",653,296,133,47,177,45.3292496171516,20.3675344563553,7.19754977029096,27.1056661562021
"E01004305",699,378,109,40,172,54.0772532188841,15.5937052932761,5.72246065808298,24.6065808297568
