"GeographyCode","KS602EW0001","KS602EW0002","KS602EW0003","KS602EW0004","KS602EW0005","KS602EW0006","KS602EW0007","KS602EW0008","KS602EW0009","KS602EW0010","KS602EW0011","KS602EW0012","KS602EW0013","KS602EW0014","KS602EW0015","KS602EW0016","KS602EW0017","KS602EW0018","KS602EW0019","KS602EW0020","KS602EW0021","KS602EW0022","KS602EW0023","KS602EW0024","KS602EW0025","KS602EW0026","KS602EW0027","KS602EW0028","KS602EW0029"
"E01004217",637,38,351,80,35,25,33,25,6,31,13,9,3,7,16,5.96546310832025,55.1020408163265,12.5588697017268,5.49450549450549,3.92464678178964,5.18053375196232,3.92464678178964,0.941915227629513,4.86656200941915,2.04081632653061,1.41287284144427,0.470957613814757,1.0989010989011,2.51177394034537
"E01004218",729,36,386,115,39,25,37,49,13,14,15,8,3,5,16,4.93827160493827,52.9492455418381,15.7750342935528,5.34979423868313,3.42935528120713,5.07544581618656,6.72153635116598,1.78326474622771,1.92043895747599,2.05761316872428,1.09739368998628,0.411522633744856,0.685871056241427,2.19478737997256
"E01004219",901,92,426,74,88,30,29,77,15,30,40,28,9,29,32,10.2108768035516,47.2807991120977,8.21309655937847,9.7669256381798,3.32963374028857,3.21864594894562,8.54605993340733,1.66481687014428,3.32963374028857,4.43951165371809,3.10765815760266,0.998890122086571,3.21864594894562,3.55160932297447
"E01004221",843,49,485,119,49,15,22,60,10,23,11,8,5,7,25,5.81257413997628,57.5326215895611,14.1162514827995,5.81257413997628,1.77935943060498,2.60972716488731,7.11743772241993,1.18623962040332,2.72835112692764,1.30486358244365,0.948991696322657,0.593119810201661,0.830367734282325,2.9655990510083
"E01004222",895,71,307,96,90,46,88,91,13,67,26,17,15,13,36,7.93296089385475,34.3016759776536,10.7262569832402,10.0558659217877,5.13966480446927,9.83240223463687,10.1675977653631,1.45251396648045,7.48603351955307,2.90502793296089,1.89944134078212,1.67597765363128,1.45251396648045,4.02234636871508
"E01004223",728,56,293,95,68,27,62,42,9,48,28,18,6,7,31,7.69230769230769,40.2472527472528,13.0494505494506,9.34065934065934,3.70879120879121,8.51648351648352,5.76923076923077,1.23626373626374,6.59340659340659,3.84615384615385,2.47252747252747,0.824175824175824,0.961538461538462,4.25824175824176
"E01004224",774,52,344,95,71,46,44,56,11,31,24,19,4,15,26,6.71834625322997,44.4444444444444,12.2739018087855,9.17312661498708,5.94315245478036,5.68475452196382,7.23514211886305,1.42118863049096,4.00516795865633,3.10077519379845,2.45478036175711,0.516795865633075,1.93798449612403,3.35917312661499
"E01004225",1029,47,691,144,24,32,16,46,4,10,15,4,3,3,4,4.56754130223518,67.1525753158406,13.9941690962099,2.33236151603499,3.10981535471331,1.55490767735666,4.47035957240039,0.388726919339164,0.971817298347911,1.45772594752187,0.388726919339164,0.291545189504373,0.291545189504373,0.388726919339164
"E01004226",589,71,249,53,56,38,26,46,8,27,15,5,10,4,25,12.0543293718166,42.2750424448217,8.99830220713073,9.50764006791171,6.45161290322581,4.41426146010187,7.80984719864177,1.35823429541596,4.58404074702886,2.54668930390492,0.848896434634975,1.69779286926995,0.67911714770798,4.24448217317487
"E01004228",706,41,354,107,53,21,41,39,4,33,13,12,11,10,16,5.80736543909348,50.1416430594901,15.1558073654391,7.5070821529745,2.97450424929179,5.80736543909348,5.52407932011331,0.56657223796034,4.6742209631728,1.8413597733711,1.69971671388102,1.55807365439093,1.41643059490085,2.26628895184136
"E01004229",581,63,227,56,43,61,26,60,7,23,15,10,8,6,13,10.8433734939759,39.0705679862306,9.63855421686747,7.40103270223752,10.4991394148021,4.4750430292599,10.3270223752151,1.20481927710843,3.95869191049914,2.58175559380379,1.72117039586919,1.37693631669535,1.03270223752151,2.23752151462995
"E01004230",804,55,329,92,78,38,42,84,11,48,27,18,14,20,30,6.8407960199005,40.9203980099502,11.4427860696517,9.70149253731343,4.72636815920398,5.22388059701492,10.4477611940298,1.3681592039801,5.97014925373134,3.35820895522388,2.23880597014925,1.74129353233831,2.48756218905473,3.73134328358209
"E01004231",594,79,196,55,57,53,25,72,8,31,18,9,9,12,23,13.2996632996633,32.996632996633,9.25925925925926,9.5959595959596,8.92255892255892,4.20875420875421,12.1212121212121,1.34680134680135,5.21885521885522,3.03030303030303,1.51515151515152,1.51515151515152,2.02020202020202,3.87205387205387
"E01004232",702,42,350,85,35,37,33,74,4,23,19,11,11,6,13,5.98290598290598,49.8575498575499,12.1082621082621,4.98575498575499,5.27065527065527,4.7008547008547,10.5413105413105,0.56980056980057,3.27635327635328,2.70655270655271,1.56695156695157,1.56695156695157,0.854700854700855,1.85185185185185
"E01004233",620,60,210,92,61,32,48,54,8,41,14,13,13,10,29,9.67741935483871,33.8709677419355,14.8387096774194,9.83870967741936,5.16129032258065,7.74193548387097,8.70967741935484,1.29032258064516,6.61290322580645,2.25806451612903,2.09677419354839,2.09677419354839,1.61290322580645,4.67741935483871
"E01004234",894,44,432,156,33,37,54,84,8,31,15,7,6,4,14,4.92170022371365,48.3221476510067,17.4496644295302,3.69127516778524,4.13870246085011,6.04026845637584,9.39597315436242,0.894854586129754,3.4675615212528,1.67785234899329,0.782997762863535,0.671140939597315,0.447427293064877,1.56599552572707
"E01004235",505,83,155,38,42,51,29,43,12,27,25,7,8,11,14,16.4356435643564,30.6930693069307,7.52475247524752,8.31683168316832,10.0990099009901,5.74257425742574,8.51485148514852,2.37623762376238,5.34653465346535,4.95049504950495,1.38613861386139,1.58415841584158,2.17821782178218,2.77227722772277
"E01004236",596,88,141,58,69,68,19,79,15,35,24,24,12,21,27,14.7651006711409,23.6577181208054,9.73154362416107,11.5771812080537,11.4093959731544,3.18791946308725,13.255033557047,2.51677852348993,5.87248322147651,4.02684563758389,4.02684563758389,2.01342281879195,3.52348993288591,4.53020134228188
"E01004237",428,40,179,42,37,29,20,44,5,18,14,14,2,12,16,9.34579439252336,41.8224299065421,9.81308411214953,8.64485981308411,6.77570093457944,4.67289719626168,10.2803738317757,1.16822429906542,4.20560747663551,3.27102803738318,3.27102803738318,0.467289719626168,2.80373831775701,3.73831775700935
