"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E00021328",131,18,48,21,44
"E00021329",187,17,114,10,46
"E00021330",122,12,68,15,27
"E00021331",90,20,36,8,26
"E00021332",134,16,43,24,51
"E00021333",126,25,47,10,44
"E00021334",155,19,69,22,45
"E00021335",180,36,71,37,36
"E00021336",88,10,29,11,38
"E00021337",88,9,28,23,28
"E00021338",134,11,42,29,52
"E00021339",125,11,70,11,33
"E00021340",211,20,119,16,56
"E00021342",101,20,21,19,41
"E00021344",152,34,39,25,54
"E00021345",115,23,33,20,39
"E00021346",116,25,38,16,37
"E00021347",149,18,55,22,54
"E00021349",136,10,62,15,49
"E00021350",110,18,38,18,36
"E00021351",134,14,57,14,49
"E00021352",116,18,56,11,31
"E00021353",127,10,62,14,41
"E00021354",142,12,57,22,51
"E00021355",161,28,90,9,34
"E00021357",118,17,39,14,48
"E00021359",110,20,34,16,40
"E00021360",127,15,27,23,62
"E00021361",131,15,55,34,27
"E00021363",141,37,38,23,43
"E00021364",161,29,48,27,57
"E00021365",139,12,81,10,36
"E00021366",141,26,57,13,45
"E00021367",133,19,73,17,24
"E00021368",140,26,50,16,48
"E00021369",60,6,14,12,28
"E00021370",172,26,49,32,65
"E00021371",46,3,10,15,18
"E00021372",148,23,63,28,34
"E00021374",126,17,48,14,47
"E00021375",135,36,46,13,40
"E00021376",129,23,47,15,44
"E00021377",219,42,78,32,67
"E00021378",177,31,80,21,45
"E00021379",130,23,72,12,23
"E00021380",117,16,75,5,21
"E00021381",141,15,59,25,42
"E00021382",124,12,40,18,54
"E00021383",176,31,69,22,54
"E00021384",122,18,76,11,17
"E00021385",155,36,55,22,42
"E00021386",120,22,50,23,25
"E00021387",225,50,84,38,53
"E00021388",141,16,75,19,31
"E00021391",155,12,59,30,54
"E00021392",161,47,61,21,32
"E00021393",147,26,57,25,39
"E00021394",137,14,57,18,48
"E00021395",119,20,38,15,46
"E00021396",147,32,57,22,36
"E00021397",171,32,56,35,48
"E00021398",175,28,77,25,45
"E00021399",175,38,100,15,22
"E00021400",137,16,61,28,32
"E00021402",119,15,63,11,30
"E00021404",143,32,81,14,16
"E00021405",132,26,47,25,34
"E00021406",146,25,64,21,36
"E00021407",193,27,75,36,55
"E00021408",171,47,79,16,29
"E00021409",142,31,81,16,14
"E00021410",112,18,51,19,24
"E00021411",153,25,68,22,38
"E00021412",136,18,35,30,53
"E00021413",141,15,60,11,55
"E00021414",107,7,34,17,49
"E00021415",125,21,47,19,38
"E00021416",123,20,44,24,35
"E00021417",119,22,45,13,39
"E00021418",118,32,62,13,11
"E00021419",135,17,34,17,67
"E00021420",128,26,65,10,27
"E00021421",195,19,109,22,45
"E00021422",87,15,40,7,25
"E00021423",140,22,60,16,42
"E00021424",105,30,55,10,10
"E00021425",133,43,63,10,17
"E00021426",109,13,35,22,39
"E00021427",124,37,56,8,23
"E00021428",140,20,55,25,40
"E00021429",60,11,31,9,9
"E00021430",125,23,45,11,46
"E00021431",125,20,52,18,35
"E00021432",159,31,67,16,45
"E00021433",243,38,117,28,60
"E00021434",127,9,61,17,40
"E00021437",118,19,52,17,30
"E00021438",103,21,56,9,17
"E00021439",90,11,43,12,24
"E00021440",128,23,44,20,41
"E00021441",129,23,63,27,16
"E00021442",130,29,58,23,20
"E00021443",116,14,75,8,19
"E00021444",117,25,55,14,23
"E00021445",116,14,31,27,44
"E00021446",117,9,25,17,66
"E00021447",123,27,55,16,25
"E00021448",139,33,56,20,30
"E00021449",138,34,65,15,24
"E00021450",71,15,36,10,10
"E00021451",147,24,57,16,50
"E00021452",117,30,61,10,16
"E00021453",129,18,74,20,17
"E00021454",116,18,42,20,36
"E00021455",148,25,75,21,27
"E00021458",148,13,87,10,38
"E00021459",139,17,73,5,44
"E00021460",166,34,68,17,47
"E00021461",120,11,73,13,23
"E00021462",137,25,60,19,33
"E00021463",130,28,61,10,31
"E00021464",128,26,59,15,28
"E00021465",128,24,37,23,44
"E00021466",139,32,59,18,30
"E00021467",121,14,52,9,46
"E00021468",111,14,58,8,31
"E00021469",149,29,58,19,43
"E00021470",117,32,54,11,20
"E00021471",134,26,52,16,40
"E00021473",95,11,40,11,33
"E00021474",122,15,46,20,41
"E00021475",122,18,50,18,36
"E00021476",122,24,40,23,35
"E00021477",166,13,77,28,48
"E00021478",130,26,59,15,30
"E00021479",151,29,71,18,33
"E00021480",144,24,70,14,36
"E00021481",134,20,52,26,36
"E00021482",127,22,62,17,26
"E00021483",231,31,108,30,62
"E00021484",114,20,61,20,13
"E00021485",122,25,42,19,36
"E00021486",121,22,48,23,28
"E00021487",71,19,22,8,22
"E00021488",157,23,70,9,55
"E00021489",119,15,45,18,41
"E00021490",115,20,43,10,42
"E00021491",87,13,29,11,34
"E00021492",136,15,50,11,60
"E00021493",126,12,30,24,60
"E00021494",176,19,82,24,51
"E00021495",184,17,73,26,68
"E00021496",107,13,32,21,41
"E00021497",133,15,29,32,57
"E00021498",127,15,46,19,47
"E00021499",124,16,70,18,20
"E00021500",139,22,73,15,29
"E00021501",131,15,71,16,29
"E00021502",134,20,64,16,34
"E00021503",129,9,44,18,58
"E00021504",164,22,64,17,61
"E00021505",95,11,34,17,33
"E00021506",142,19,67,11,45
"E00021507",169,12,96,15,46
"E00021508",136,28,56,13,39
"E00021509",184,41,74,27,42
"E00021510",121,26,59,14,22
"E00021511",109,32,54,10,13
"E00021516",106,20,48,18,20
"E00021517",136,18,63,24,31
"E00021518",151,28,72,22,29
"E00021519",200,40,96,28,36
"E00021520",97,17,50,14,16
"E00021521",98,24,37,26,11
"E00021522",136,23,52,22,39
"E00021524",194,33,78,42,41
"E00021525",134,24,66,9,35
"E00021526",169,36,86,12,35
"E00021527",145,28,73,17,27
"E00021528",94,26,32,18,18
"E00021529",116,17,75,7,17
"E00021531",186,23,81,28,54
"E00021532",138,38,70,17,13
"E00021533",141,29,69,12,31
"E00021534",127,9,58,7,53
"E00021535",115,21,67,9,18
"E00021536",118,20,63,15,20
"E00021537",163,46,83,25,9
"E00021538",309,65,163,45,36
"E00021539",138,25,77,7,29
"E00021541",139,25,81,11,22
"E00021542",106,25,45,19,17
"E00021543",142,34,78,15,15
"E00021544",83,17,44,16,6
"E00021546",102,15,51,11,25
"E00021547",115,19,61,5,30
"E00021549",128,20,48,19,41
"E00021550",150,20,63,19,48
"E00021552",99,16,52,15,16
"E00021553",119,29,40,17,33
"E00021554",127,25,64,12,26
"E00021555",145,20,64,21,40
"E00021556",147,32,77,12,26
"E00021557",172,35,83,19,35
"E00021559",157,46,73,24,14
"E00021560",157,29,66,17,45
"E00021561",144,14,71,13,46
"E00021562",140,18,63,15,44
"E00021563",124,20,57,14,33
"E00021564",123,25,57,12,29
"E00021565",89,18,41,5,25
"E00021566",156,20,91,14,31
"E00021567",143,27,76,14,26
"E00021569",142,30,70,17,25
"E00021572",143,30,61,19,33
"E00021574",93,15,43,12,23
"E00021577",128,14,65,17,32
"E00021579",106,13,31,15,47
"E00021580",124,11,45,15,53
"E00021582",98,13,32,20,33
"E00021583",150,23,69,13,45
"E00021584",113,18,54,18,23
"E00021585",149,20,38,33,58
"E00021586",130,21,29,24,56
"E00021587",128,30,38,18,42
"E00021588",148,19,71,18,40
"E00021590",137,20,62,20,35
"E00021591",127,11,33,19,64
"E00021592",112,22,50,12,28
"E00021593",140,10,95,2,33
"E00021594",129,25,60,10,34
"E00021595",134,14,77,11,32
"E00021596",164,37,67,24,36
"E00021597",121,19,38,21,43
"E00021598",115,30,63,14,8
"E00021599",162,44,82,16,20
"E00021600",164,47,87,15,15
"E00021601",118,30,60,11,17
"E00021602",124,27,67,14,16
"E00021603",108,23,50,7,28
"E00021604",154,31,67,19,37
"E00021605",157,41,79,16,21
"E00021606",175,60,85,8,22
"E00021607",119,18,64,9,28
"E00021608",116,21,67,13,15
"E00021610",152,32,77,11,32
"E00021611",155,28,71,27,29
"E00021612",139,29,80,2,28
"E00021613",125,23,77,2,23
"E00021614",160,39,88,6,27
"E00021615",146,13,99,2,32
"E00021616",122,18,40,20,44
"E00021617",109,16,71,4,18
"E00021618",95,9,33,13,40
"E00021619",162,28,60,28,46
"E00021620",125,19,66,10,30
"E00021621",121,21,44,17,39
"E00021622",134,21,70,18,25
"E00021623",91,20,43,7,21
"E00021624",171,37,101,13,20
"E00021625",247,51,138,21,37
