"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E00021394",358,93,5,1,20,8,2,3,2,1,0,156,10,12,20,12,3,2,8
"E00021395",336,96,1,0,15,6,0,0,2,0,12,149,0,0,28,7,11,6,3
"E00021396",351,128,3,0,22,8,2,0,6,2,6,116,12,8,20,10,4,0,4
"E00021397",566,146,2,0,36,11,2,1,0,7,2,257,5,8,38,17,22,11,1
"E00021398",474,118,4,1,46,3,1,2,9,1,0,200,14,19,22,12,3,6,13
"E00021399",371,197,5,0,57,3,1,6,8,4,0,58,16,4,5,4,0,2,1
"E00021400",394,119,14,0,47,8,3,7,0,4,2,116,3,20,18,17,10,5,1
"E00021402",276,109,6,0,24,6,5,4,2,4,5,65,6,3,15,13,4,0,5
"E00021404",256,140,6,0,70,0,1,2,2,11,1,4,12,1,1,0,0,3,2
"E00021405",429,152,5,0,48,0,0,5,10,20,1,135,9,7,16,10,3,6,2
"E00021406",371,94,1,0,30,3,1,3,0,3,3,180,13,5,17,5,8,4,1
"E00021407",540,123,0,0,34,7,17,7,8,9,15,190,5,19,46,28,23,5,4
"E00021408",340,101,11,0,82,2,6,2,4,36,8,15,32,16,6,9,2,5,3
"E00021409",274,148,11,0,53,1,0,1,2,12,0,4,13,8,10,3,0,2,6
"E00021410",316,107,1,0,47,4,4,7,7,1,4,95,9,7,9,9,5,0,0
"E00021411",389,121,7,0,37,4,2,3,8,2,0,119,11,18,34,17,1,4,1
"E00021412",514,143,9,0,45,9,10,2,10,16,8,156,31,8,32,7,10,4,14
"E00021413",413,62,3,0,33,1,7,1,5,1,2,213,17,9,29,10,12,4,4
"E00021414",402,25,3,0,12,1,0,1,4,3,0,308,10,2,12,6,10,1,4
"E00021415",379,107,1,0,21,11,6,3,4,5,0,159,5,19,19,3,12,4,0
"E00021416",369,143,3,0,52,9,0,0,2,4,0,114,13,10,15,3,1,0,0
"E00021417",275,105,4,0,51,3,3,0,2,8,0,74,2,2,7,3,2,1,8
"E00021418",213,86,3,0,58,0,0,4,4,17,0,0,26,4,6,1,1,1,2
"E00021419",446,31,0,0,24,4,1,2,2,3,12,312,1,5,32,6,10,0,1
"E00021420",285,116,5,0,46,5,0,5,5,11,1,60,10,10,9,2,0,0,0
"E00021421",448,86,8,0,37,7,1,4,5,11,3,212,19,9,22,10,5,1,8
"E00021422",209,57,2,0,10,1,0,2,3,0,4,98,8,5,8,2,1,1,7
"E00021423",417,66,4,0,28,2,0,2,3,4,0,221,17,13,22,6,20,6,3
"E00021424",212,101,4,0,42,1,0,0,0,9,3,19,19,7,4,0,0,3,0
"E00021425",232,127,11,0,43,1,1,6,9,5,3,0,16,6,1,1,0,1,1
"E00021426",349,78,0,0,29,1,4,6,0,2,3,139,18,15,32,13,4,1,4
"E00021427",229,114,7,0,56,0,1,9,2,12,2,1,10,2,5,1,1,6,0
"E00021428",393,97,2,1,45,11,0,3,6,5,6,164,7,5,14,11,6,8,2
"E00021429",141,43,2,0,19,0,1,2,5,2,0,38,4,2,11,9,0,2,1
"E00021430",331,89,1,0,15,3,9,9,2,3,5,155,1,12,16,5,0,2,4
"E00021431",319,99,3,0,25,4,2,3,1,11,3,131,6,13,10,1,1,6,0
"E00021432",387,112,6,0,36,5,1,2,3,14,1,142,5,13,13,12,13,0,9
"E00021433",624,179,8,1,64,10,10,0,9,4,5,227,26,18,26,11,7,3,16
"E00021434",421,79,4,0,32,3,3,6,4,4,0,237,2,16,5,13,12,0,1
"E00021437",318,87,2,0,24,6,0,3,0,6,2,127,10,1,24,7,15,4,0
"E00021438",210,110,2,0,26,0,0,1,2,1,0,44,5,1,3,13,1,0,1
"E00021439",236,48,0,0,22,3,1,2,3,0,3,115,8,9,8,8,1,1,4
"E00021440",451,75,1,0,37,0,0,8,2,6,11,261,15,8,9,1,14,2,1
"E00021441",358,226,7,0,23,7,2,3,3,1,1,67,0,2,0,4,9,0,3
"E00021442",335,199,6,0,15,5,2,4,3,1,3,80,0,2,4,3,7,1,0
"E00021443",265,158,7,0,22,9,0,1,0,6,0,35,2,5,8,5,0,0,7
"E00021444",348,176,4,0,21,2,5,0,6,6,4,76,8,6,11,5,9,5,4
"E00021445",422,24,0,0,14,3,0,3,2,15,3,300,5,8,20,6,11,1,7
"E00021446",448,12,2,0,16,5,2,2,1,1,5,326,5,10,30,7,11,1,12
"E00021447",266,164,5,0,38,0,3,2,0,4,0,28,8,5,5,1,0,3,0
"E00021448",337,127,4,0,36,3,3,0,2,8,0,120,4,3,15,3,3,0,6
"E00021449",333,152,6,1,56,8,4,5,6,2,2,59,9,8,6,6,1,1,1
"E00021450",187,138,4,0,17,0,0,5,2,1,0,6,3,0,0,4,0,6,1
"E00021451",400,108,5,0,41,6,0,12,2,2,1,178,4,4,19,3,5,4,6
"E00021452",212,94,4,0,20,2,2,0,1,1,0,55,3,2,21,3,2,0,2
"E00021453",310,166,10,1,41,3,1,6,6,2,2,48,2,2,7,6,2,3,2
"E00021454",357,124,5,0,10,2,0,0,4,1,0,165,6,2,23,5,4,1,5
"E00021455",346,108,7,0,28,1,0,3,8,3,1,143,4,3,8,14,1,3,11
"E00021458",288,167,10,0,59,1,3,4,2,17,0,6,2,5,6,2,1,2,1
"E00021459",256,148,1,0,48,1,4,8,3,2,2,9,2,6,4,4,2,6,6
"E00021460",385,143,5,0,62,4,5,2,6,4,3,113,1,6,14,5,1,2,9
"E00021461",250,105,5,0,29,5,0,0,5,6,0,54,6,9,6,4,6,6,4
"E00021462",314,114,4,0,40,4,2,5,7,4,11,83,5,1,10,7,9,4,4
"E00021463",338,114,8,0,45,3,2,3,6,0,0,107,7,5,5,12,10,0,11
"E00021464",279,103,5,0,32,5,3,17,4,2,5,73,4,3,8,10,2,0,3
"E00021465",416,95,6,0,50,2,4,5,6,6,1,193,11,10,6,2,11,5,3
"E00021466",735,241,13,1,113,0,4,11,6,37,25,131,64,52,17,4,3,5,8
"E00021467",371,40,3,0,19,0,3,0,9,0,8,242,5,5,13,7,6,6,5
"E00021468",265,93,7,0,28,1,0,9,5,4,0,83,6,12,6,4,0,2,5
"E00021469",446,122,4,0,28,2,5,1,5,2,0,196,13,3,22,9,10,10,14
"E00021470",282,104,7,0,31,0,1,2,4,10,1,67,13,10,17,10,1,1,3
"E00021471",373,112,7,0,23,4,2,1,2,2,5,157,3,11,23,3,4,14,0
"E00021473",422,116,5,0,32,0,3,4,2,14,15,143,22,22,14,10,9,7,4
"E00021474",402,42,0,0,39,2,4,6,9,15,12,243,3,4,14,4,0,1,4
"E00021475",377,57,0,0,18,1,0,5,5,6,4,222,22,12,5,0,8,8,4
"E00021476",406,110,1,0,47,3,0,2,4,1,1,175,6,14,19,14,3,6,0
"E00021477",460,189,10,1,38,9,1,7,6,15,1,141,6,9,9,9,4,0,5
"E00021478",333,135,3,0,24,4,2,8,1,9,3,89,2,14,19,11,2,5,2
"E00021479",411,160,4,0,72,0,3,3,4,18,3,49,19,15,43,1,7,1,9
