"GeographyCode","QS604EW0001","QS604EW0002","QS604EW0003","QS604EW0004","QS604EW0005","QS604EW0006","QS604EW0007"
"E00021595",154,46,19,27,108,86,22
"E00021596",204,42,15,27,162,117,45
"E00021597",169,59,16,43,110,96,14
"E00021598",190,23,14,9,167,114,53
"E00021599",249,27,9,18,222,148,74
"E00021600",216,25,10,15,191,126,65
"E00021601",160,22,4,18,138,84,54
"E00021602",235,44,17,27,191,113,78
"E00021603",147,14,3,11,133,71,62
"E00021604",184,36,14,22,148,121,27
"E00021605",210,21,6,15,189,132,57
"E00021606",198,18,9,9,180,94,86
"E00021607",83,32,12,20,51,39,12
"E00021608",162,20,5,15,142,104,38
"E00021610",179,22,5,17,157,95,62
"E00021611",223,36,14,22,187,124,63
"E00021612",167,13,3,10,154,82,72
"E00021613",165,10,5,5,155,94,61
"E00021614",214,21,8,13,193,115,78
"E00021615",174,7,1,6,167,113,54
"E00021616",148,59,17,42,89,70,19
"E00021617",152,21,10,11,131,90,41
"E00021618",84,34,12,22,50,40,10
"E00021619",175,69,13,56,106,86,20
"E00021620",132,31,7,24,101,72,29
"E00021621",108,51,11,40,57,49,8
"E00021622",202,17,6,11,185,105,80
"E00021623",67,26,5,21,41,30,11
"E00021624",226,22,8,14,204,133,71
"E00021625",362,35,17,18,327,194,133
"E00021626",234,14,6,8,220,129,91
"E00021627",286,25,10,15,261,176,85
"E00021628",143,17,4,13,126,84,42
"E00021629",181,25,11,14,156,101,55
"E00021630",137,33,11,22,104,85,19
"E00021631",230,23,8,15,207,146,61
"E00021632",193,15,7,8,178,103,75
"E00021633",168,20,5,15,148,72,76
"E00021634",190,23,5,18,167,105,62
"E00021635",172,11,2,9,161,103,58
"E00021636",128,44,12,32,84,68,16
"E00021637",188,58,14,44,130,104,26
"E00021639",103,43,19,24,60,48,12
"E00021640",147,65,24,41,82,68,14
"E00021641",162,53,18,35,109,85,24
"E00021642",109,56,17,39,53,39,14
"E00021643",97,36,20,16,61,42,19
"E00021644",127,42,13,29,85,67,18
"E00021646",162,70,16,54,92,79,13
"E00021648",164,25,6,19,139,91,48
"E00021649",161,68,24,44,93,79,14
"E00021650",157,24,8,16,133,83,50
"E00021651",181,16,6,10,165,100,65
"E00021652",204,7,2,5,197,105,92
"E00021653",190,90,28,62,100,81,19
"E00021654",126,52,19,33,74,57,17
"E00021655",74,31,9,22,43,37,6
"E00021656",159,53,28,25,106,84,22
"E00021657",164,11,7,4,153,94,59
"E00021658",129,11,4,7,118,62,56
"E00021659",135,36,17,19,99,80,19
"E00021660",121,29,11,18,92,71,21
"E00021661",232,57,26,31,175,136,39
"E00021662",227,89,28,61,138,111,27
"E00021663",100,32,19,13,68,61,7
"E00021665",126,65,20,45,61,50,11
"E00021666",268,67,21,46,201,128,73
"E00021667",146,80,22,58,66,54,12
"E00021668",245,56,31,25,189,134,55
"E00021669",125,65,12,53,60,56,4
"E00021670",117,54,12,42,63,52,11
"E00021671",105,40,13,27,65,55,10
"E00021672",190,42,13,29,148,104,44
"E00021673",128,46,17,29,82,57,25
"E00021674",217,58,22,36,159,123,36
"E00021675",161,82,23,59,79,70,9
"E00021676",231,24,11,13,207,119,88
"E00021677",147,56,19,37,91,76,15
"E00021678",233,50,21,29,183,147,36
"E00021679",87,14,5,9,73,55,18
"E00021680",283,55,27,28,228,129,99
"E00021681",191,16,5,11,175,98,77
"E00021682",211,82,29,53,129,112,17
"E00021683",192,86,32,54,106,79,27
"E00021685",286,70,27,43,216,149,67
"E00021686",244,55,32,23,189,110,79
"E00021687",296,34,12,22,262,165,97
"E00021688",183,57,22,35,126,98,28
"E00021689",241,38,14,24,203,110,93
"E00021690",275,61,25,36,214,157,57
"E00021691",146,50,13,37,96,68,28
"E00021692",202,21,6,15,181,92,89
"E00021693",258,57,12,45,201,132,69
"E00021694",198,63,16,47,135,109,26
"E00021695",233,38,11,27,195,131,64
"E00021696",252,65,24,41,187,126,61
"E00021697",149,44,10,34,105,84,21
"E00021698",204,38,16,22,166,112,54
"E00021699",174,51,19,32,123,102,21
"E00021700",306,63,21,42,243,148,95
"E00021701",277,46,14,32,231,163,68
"E00021702",115,29,5,24,86,73,13
"E00021703",144,34,9,25,110,91,19
"E00021704",190,40,9,31,150,114,36
"E00021705",205,48,10,38,157,128,29
"E00021706",135,42,18,24,93,71,22
"E00021707",178,62,18,44,116,103,13
"E00021708",149,39,18,21,110,89,21
"E00021709",150,56,11,45,94,86,8
"E00021710",130,35,14,21,95,79,16
"E00021711",265,53,22,31,212,156,56
"E00021712",202,39,12,27,163,123,40
