"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E00021153",344,2,2,3,1,1,1,0,2,1,2,0,0,0,0,1,0,0,0,2,3,9,9,6,8,24,14,17,29,23,24,12,18,19,7,12,7,8,5,4,7,2,1,1,1,1,2,3,0,0,0,4,5,1,2,0,7,2,1,1,4,0,0,0,2,3,2,0,1,0,4,0,1,2,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"E00021154",401,6,3,3,2,7,7,5,7,16,12,11,3,5,10,10,5,7,7,10,3,9,9,11,14,15,10,8,5,13,9,4,4,6,11,7,8,5,4,2,4,5,6,5,14,0,1,2,6,4,6,3,5,3,1,3,3,7,5,3,2,0,3,1,2,2,0,0,1,0,0,0,1,1,1,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021155",359,0,1,6,1,2,3,1,2,1,2,1,3,2,1,1,3,0,5,1,6,7,11,17,7,19,15,24,14,24,26,16,10,12,11,11,11,7,7,10,3,6,13,4,6,4,1,2,1,2,2,1,1,1,1,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021156",237,7,3,2,7,3,3,3,2,3,2,4,3,1,0,1,0,1,1,2,1,2,2,1,3,11,6,11,6,6,4,20,5,6,6,3,4,3,4,8,5,4,3,6,3,2,2,4,3,2,2,1,0,0,1,1,0,0,0,1,1,2,0,1,3,2,1,2,2,3,0,0,2,2,0,0,1,1,1,0,0,1,0,0,3,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"E00021157",331,7,6,4,13,2,9,7,5,5,9,5,7,4,7,8,5,5,0,7,4,6,5,8,9,6,10,7,5,6,6,8,9,8,9,5,5,2,2,4,9,8,8,0,3,4,1,2,7,5,2,4,3,2,4,2,4,2,1,0,1,1,0,2,0,2,0,0,1,2,3,1,0,1,0,0,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021158",340,7,4,6,8,11,8,3,5,7,10,3,8,3,8,10,9,4,6,2,4,9,4,8,6,13,8,3,12,14,5,4,5,4,5,5,5,4,4,2,5,5,2,1,3,3,2,3,1,5,2,2,4,4,3,1,1,0,3,3,1,1,2,3,3,1,3,4,4,1,2,0,3,0,0,0,2,0,0,1,1,1,0,0,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00021159",571,6,9,6,1,10,5,2,8,3,1,4,9,6,3,4,6,4,5,5,6,12,5,13,7,20,18,26,27,19,13,10,8,8,16,12,9,6,7,9,8,8,8,5,7,8,5,3,3,5,7,3,7,8,7,8,4,8,4,5,2,4,1,2,2,6,2,3,3,5,3,4,3,2,5,2,4,5,2,4,4,2,3,4,3,8,2,2,2,2,3,1,1,1,0,0,0,0,0,0,0,0
"E00021160",322,4,5,2,9,1,8,7,10,6,2,4,7,7,2,3,4,5,6,2,8,5,4,6,6,4,13,14,9,9,12,8,7,11,6,1,3,3,9,5,4,7,2,4,4,5,1,1,4,0,4,3,1,2,5,3,1,1,0,0,0,1,2,1,3,1,1,2,1,2,3,2,2,0,1,3,1,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00021161",391,6,3,8,4,5,7,7,7,5,0,8,1,5,3,2,1,2,2,2,1,3,8,9,8,8,21,15,13,12,15,17,18,5,10,10,8,8,5,6,5,3,2,0,4,2,4,5,0,3,3,5,2,1,3,5,2,4,4,4,9,5,3,4,5,4,1,3,3,1,0,1,0,4,0,0,1,0,1,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00021162",375,3,8,6,3,3,3,3,7,1,5,7,4,4,2,3,3,4,6,2,2,6,3,18,13,14,23,22,16,11,19,11,4,10,5,6,4,8,2,8,3,2,5,5,3,1,2,4,4,3,6,1,0,1,8,2,3,0,2,1,1,2,0,0,0,0,4,2,1,2,3,1,2,0,1,4,2,1,3,1,1,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
"E00021163",353,4,1,5,2,2,4,3,4,7,4,3,3,5,6,1,4,5,3,5,7,8,6,4,11,9,15,6,8,12,2,6,7,6,5,2,5,3,6,4,3,5,2,1,5,0,3,2,4,3,2,1,5,8,3,3,0,1,2,4,1,5,4,3,3,1,3,1,2,4,1,4,2,0,3,3,2,3,0,0,6,5,2,2,6,3,0,4,3,3,3,3,4,0,1,0,0,0,0,2,0,1
"E00021164",279,4,5,3,9,2,2,2,3,5,2,4,1,3,5,3,9,6,2,3,1,5,0,1,3,6,7,1,4,5,6,5,2,4,3,9,7,5,2,4,4,4,5,5,9,2,6,2,3,3,4,6,2,9,6,2,3,1,1,5,0,1,3,4,2,3,1,0,0,1,0,2,0,0,1,1,1,0,1,2,0,1,2,1,3,1,1,3,5,0,2,0,1,0,0,0,0,0,1,0,0,0
"E00021165",338,1,5,6,3,2,5,9,6,7,5,6,5,3,4,6,4,11,2,5,4,2,4,9,13,13,10,7,12,7,7,8,4,9,5,4,6,3,5,6,6,7,2,5,4,4,4,2,2,6,4,1,4,6,2,3,1,1,0,0,1,0,1,2,1,3,1,4,0,2,0,0,2,2,5,2,3,0,0,0,3,1,2,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"E00021166",387,6,3,2,6,4,6,5,6,6,11,5,5,4,5,4,6,4,3,5,3,6,9,14,10,15,19,13,14,14,13,10,9,8,8,6,4,6,8,4,4,8,3,4,5,7,1,4,1,3,4,2,4,2,1,2,0,3,1,1,2,2,0,1,1,3,1,3,0,0,2,1,2,1,0,2,0,1,1,1,1,1,3,0,2,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00021167",305,4,1,7,7,7,1,3,3,6,4,1,3,4,2,6,3,2,2,7,6,3,6,4,7,8,9,5,15,14,11,12,9,9,5,8,8,5,6,7,4,3,4,2,4,5,3,0,1,3,2,2,2,1,6,0,0,5,0,1,1,2,1,2,0,2,3,1,0,2,1,1,1,1,1,1,0,0,1,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021168",374,0,0,1,1,2,1,2,0,0,2,1,1,1,0,2,0,1,0,0,4,10,7,4,15,29,31,22,22,16,27,33,24,18,11,12,8,6,5,2,9,7,2,6,0,3,1,1,3,1,2,2,0,3,2,2,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021169",467,12,5,2,5,8,5,5,4,5,2,6,6,7,1,5,5,6,4,5,5,8,4,6,10,19,12,19,14,12,19,23,18,15,16,9,12,11,10,9,12,7,6,7,6,4,3,4,5,4,10,5,4,2,8,3,2,1,1,2,0,0,0,0,0,0,3,2,3,0,0,5,1,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"E00021170",466,13,9,12,4,7,11,8,9,10,12,9,7,5,7,3,8,6,3,5,5,6,9,8,9,9,14,13,9,13,9,11,13,9,12,9,12,13,8,8,6,4,5,5,6,2,3,1,5,7,4,4,0,2,2,6,5,3,4,4,4,10,3,1,2,0,0,2,0,1,5,3,1,1,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021171",660,10,11,12,11,10,15,5,9,9,8,10,12,10,5,9,7,11,10,4,12,4,12,21,19,18,23,25,15,17,16,17,20,21,20,17,12,15,9,13,6,7,11,6,6,4,6,8,4,6,8,5,3,4,5,0,2,2,6,8,3,6,2,2,0,4,2,1,1,0,2,4,0,2,2,0,1,2,3,1,2,1,4,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"E00021172",281,1,4,1,2,1,2,0,3,3,1,4,3,7,2,2,5,6,4,3,4,5,3,6,5,10,2,6,6,9,5,9,4,3,2,8,7,3,1,3,4,5,0,1,7,5,4,4,3,3,7,4,3,11,5,6,3,4,5,10,3,4,1,5,2,1,3,0,0,2,1,1,0,1,0,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021173",372,4,8,10,7,3,6,5,7,4,3,1,6,3,2,6,3,5,8,3,5,4,8,5,12,7,15,17,10,10,6,8,4,6,9,8,3,7,5,5,12,7,11,4,3,5,0,6,3,4,5,2,3,5,3,2,3,2,3,2,3,1,3,3,0,2,2,0,1,3,2,1,1,1,0,2,0,1,1,0,1,0,0,1,1,2,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0
"E00021174",228,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9,6,4,5,11,6,11,10,11,12,16,10,10,8,14,6,3,2,8,5,4,5,1,3,1,6,0,1,2,3,0,1,3,3,1,2,4,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021175",300,1,7,0,1,3,2,3,0,3,4,2,4,4,4,3,2,2,2,0,4,2,2,2,4,9,11,8,15,16,13,16,15,6,13,7,5,3,8,3,3,7,1,3,3,5,4,3,5,2,5,0,5,2,1,1,3,2,1,0,2,2,0,4,5,4,1,0,0,0,0,1,2,0,2,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"E00021176",298,2,6,2,2,2,4,3,4,2,5,2,1,2,1,4,5,3,3,0,3,4,7,2,5,9,2,6,7,8,18,9,4,7,8,4,7,9,3,8,6,7,6,3,3,2,5,2,6,8,4,2,4,0,3,3,3,2,6,2,0,1,4,0,0,3,7,0,1,1,1,1,0,1,1,0,4,0,1,1,2,1,1,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"E00021177",425,6,6,5,7,10,8,8,6,12,9,6,8,6,2,5,11,9,3,8,8,10,8,6,5,21,11,16,15,11,11,5,14,4,6,4,8,6,12,2,4,5,5,10,3,1,4,2,5,3,0,4,2,1,4,3,4,3,2,0,1,3,1,1,1,2,2,4,0,3,0,5,1,1,2,1,1,1,5,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E00021179",327,1,3,1,1,2,1,6,1,1,1,2,2,5,4,2,1,3,5,2,3,12,9,9,16,27,17,13,14,11,15,20,11,4,2,6,3,5,4,4,5,1,2,7,3,2,8,3,3,3,3,6,6,1,2,3,0,2,2,1,3,1,3,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"E00021180",444,12,8,10,5,8,13,6,9,4,5,2,6,6,3,4,3,4,5,6,5,6,18,14,17,14,14,11,10,20,14,10,8,11,12,9,8,8,5,9,8,4,7,7,5,1,5,3,3,2,5,3,7,1,2,3,2,4,4,2,1,1,3,2,1,1,3,1,0,0,1,1,0,2,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021181",230,3,1,3,1,1,2,2,1,1,1,1,1,1,0,1,1,2,0,2,4,5,11,4,5,18,12,10,9,10,9,6,8,6,4,5,10,5,4,3,3,3,7,1,1,5,1,1,0,3,6,0,3,1,4,2,0,1,2,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021182",343,5,4,1,1,1,2,3,0,0,2,1,4,1,1,0,0,0,0,2,1,6,7,12,15,13,24,23,11,19,17,23,18,20,5,5,8,10,12,2,2,6,2,6,2,5,9,3,5,3,3,0,1,3,2,1,1,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00021183",231,0,1,1,1,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,7,12,3,6,11,14,5,16,11,16,13,10,8,9,9,8,14,4,0,3,3,3,1,2,0,5,2,2,5,2,0,0,2,1,3,2,2,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021184",169,2,3,2,1,1,3,2,1,2,3,2,2,4,1,5,3,1,1,3,1,0,1,4,10,7,7,7,7,9,5,1,3,4,4,4,4,4,1,2,2,6,3,2,3,2,4,2,0,1,1,2,0,3,2,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021185",304,5,1,3,4,2,5,4,2,4,2,3,3,4,2,5,6,7,6,2,3,5,7,4,8,5,11,8,6,8,2,11,9,5,5,7,6,6,2,8,3,5,3,6,3,3,4,7,6,5,3,3,6,6,3,3,4,2,0,5,3,3,0,1,2,3,2,0,0,2,2,1,0,0,0,0,2,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021186",440,4,7,4,5,6,4,5,9,4,7,4,5,1,8,6,10,7,10,6,14,10,9,14,11,20,16,10,11,8,9,12,4,7,8,4,8,5,4,6,1,5,6,7,5,4,2,1,7,2,6,3,6,2,4,7,6,4,1,0,5,5,2,2,3,1,2,4,1,5,4,1,2,1,1,2,4,2,0,3,1,0,0,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"E00021187",307,7,6,5,7,13,7,11,7,7,9,8,5,2,6,6,3,1,3,1,4,2,3,7,5,9,6,2,7,5,7,10,7,11,7,8,7,6,2,3,8,8,4,1,2,0,2,2,1,0,3,1,1,4,0,3,0,2,5,1,2,1,0,2,1,2,1,1,2,1,0,1,0,1,4,0,0,0,0,0,1,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00021188",302,2,4,5,2,1,1,1,2,5,2,1,4,2,3,2,4,6,4,5,15,5,16,14,11,9,5,4,6,6,8,6,2,1,4,0,1,2,5,1,3,2,3,6,1,0,6,4,4,6,3,2,2,8,2,3,5,5,2,2,3,2,2,5,3,1,3,0,3,2,1,4,1,4,1,3,2,1,1,3,1,3,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"E00021189",397,2,5,6,4,4,3,3,6,4,4,2,4,7,4,6,13,4,5,7,12,15,11,17,12,11,16,11,16,5,12,9,3,7,6,5,3,5,4,3,3,3,4,3,1,4,4,2,4,3,2,3,5,4,6,2,5,2,10,5,2,2,1,0,4,0,1,4,3,3,3,0,1,1,2,4,0,0,2,2,1,4,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"E00021190",476,6,6,5,4,7,3,4,4,2,3,3,7,3,8,3,3,4,5,5,4,14,12,15,21,20,30,25,16,28,15,18,10,17,4,12,11,6,6,8,4,5,7,6,3,4,7,3,5,3,2,6,4,4,1,2,4,2,0,1,1,3,2,0,3,0,3,0,2,0,2,0,1,0,0,1,0,0,1,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00021191",396,11,9,4,6,8,2,3,9,4,5,6,3,4,6,7,4,11,3,6,5,5,6,12,9,17,17,15,11,11,9,6,15,5,11,9,6,10,1,5,8,6,5,7,7,8,4,1,3,0,5,0,4,7,2,2,1,2,1,3,1,2,3,0,0,0,2,1,0,2,1,0,2,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00021192",329,6,3,12,9,4,2,5,3,2,5,6,7,3,5,3,6,4,5,3,2,6,6,12,11,12,5,12,11,11,7,5,7,8,4,9,5,3,4,3,4,3,3,3,2,4,4,2,2,2,2,3,2,3,3,0,1,4,2,4,2,0,2,2,4,0,2,2,0,3,0,2,1,1,1,3,1,3,0,0,1,0,1,3,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"E00021193",323,3,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,5,7,18,14,25,14,24,16,20,15,20,14,12,8,11,5,8,4,10,6,4,5,2,6,2,5,0,4,4,2,2,3,1,2,2,1,0,2,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021194",563,6,13,5,8,9,13,10,15,12,5,14,10,7,4,14,5,10,9,8,13,9,15,16,23,20,18,16,15,16,12,9,15,9,4,13,11,12,5,4,9,1,6,6,14,8,7,3,3,6,4,8,5,9,5,3,2,1,5,2,2,2,3,0,4,1,0,1,0,1,2,1,0,0,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021195",392,4,2,4,6,7,5,6,6,8,6,6,6,8,10,7,6,6,10,3,9,11,6,17,21,18,10,9,10,10,8,5,7,10,8,2,3,4,6,3,9,1,3,3,3,8,3,4,5,5,4,3,0,2,1,8,6,2,1,2,2,0,1,1,1,0,2,2,0,2,3,2,0,0,0,1,0,0,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021196",381,5,8,9,8,12,6,8,7,8,6,9,10,11,8,9,6,6,6,5,5,6,4,9,4,4,7,13,5,5,11,7,2,6,8,12,5,9,8,4,6,5,6,10,7,2,4,1,6,4,1,3,2,0,3,1,7,4,3,1,3,0,0,1,3,0,1,1,0,2,1,3,1,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"E00021197",519,8,4,5,3,4,1,4,3,3,1,8,1,5,1,1,3,1,5,12,23,25,19,16,26,19,14,12,13,30,18,15,22,11,23,8,5,10,7,8,10,14,9,3,4,5,7,3,4,1,5,3,5,4,3,3,1,1,4,2,3,2,1,1,3,2,1,2,2,0,6,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021198",313,2,7,1,7,7,6,4,10,4,6,6,3,9,8,5,7,6,6,2,5,7,3,5,4,6,11,10,10,14,10,7,2,5,2,5,6,4,5,4,5,5,2,5,5,3,2,4,0,3,4,2,1,2,0,1,5,3,1,2,2,1,5,0,0,2,1,0,1,0,2,0,3,1,1,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021199",182,3,6,1,4,3,4,2,0,2,6,3,1,1,1,0,1,3,1,2,3,1,0,2,6,1,5,2,4,11,4,8,3,5,3,1,2,4,4,2,4,4,4,5,2,1,5,2,3,4,5,4,1,0,0,2,3,2,2,1,2,0,2,1,0,0,0,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"E00021200",322,3,4,5,4,4,3,6,5,3,5,4,4,4,2,8,6,3,4,7,5,8,6,8,8,11,13,12,13,10,13,8,10,4,4,7,3,5,8,3,2,10,2,3,0,4,2,1,2,0,1,3,2,1,3,5,2,1,1,3,0,3,0,1,4,3,3,4,1,1,0,2,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021201",321,5,7,4,2,5,5,4,4,9,6,7,3,5,3,2,3,2,5,2,2,5,6,8,16,6,7,13,9,9,8,8,4,7,7,9,6,4,5,4,8,8,1,2,5,2,4,6,1,3,3,2,1,1,1,2,1,5,2,3,0,2,1,1,2,2,2,1,4,2,0,0,1,1,0,0,2,1,0,2,1,0,1,1,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0
