"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E01004256",611,14,43,122,225,164,36,3,3,1
"E01004257",618,17,25,93,223,184,52,17,3,4
"E01004258",713,5,44,201,261,130,47,14,9,2
"E01004259",812,13,85,317,270,88,19,13,3,4
"E01004260",636,7,37,145,237,168,26,9,6,1
"E01004261",550,36,47,89,150,99,57,52,3,17
"E01004262",495,21,29,83,144,105,64,17,16,16
"E01004263",529,13,27,91,152,187,38,13,4,4
"E01004264",457,8,18,89,165,136,30,7,3,1
"E01004266",583,4,37,80,145,240,60,10,4,3
"E01004267",707,27,65,201,212,90,54,25,20,13
"E01004268",688,17,94,224,244,61,35,7,2,4
"E01004269",726,16,62,177,253,141,43,23,4,7
"E01004270",745,5,52,139,165,228,100,36,11,9
"E01004271",548,6,22,98,237,136,37,6,3,3
"E01004272",639,9,49,136,212,176,39,7,8,3
"E01004273",594,12,52,155,156,142,48,15,8,6
"E01004274",654,5,42,115,198,154,75,41,6,18
"E01004275",768,4,68,149,227,204,86,25,2,3
"E01004276",996,27,74,335,324,131,62,29,8,6
"E01004277",898,8,128,259,366,93,27,11,0,6
"E01004280",769,4,51,208,288,162,33,4,17,2
"E01004281",831,10,95,227,319,108,40,23,3,6
"E01004283",756,19,47,184,208,212,66,8,12,0
"E01004284",884,12,154,295,238,72,65,31,10,7
"E01004285",658,16,31,148,197,149,78,26,7,6
"E01004286",817,12,51,191,233,167,100,41,14,8
"E01004287",854,14,68,246,318,126,61,10,6,5
"E01004288",525,5,29,93,240,103,34,10,6,5
"E01004289",670,20,73,116,138,203,78,17,15,10
"E01004290",575,18,79,145,158,111,37,7,10,10
"E01004291",1051,40,184,337,323,106,34,13,6,8
"E01004292",818,5,80,168,277,156,79,34,16,3
"E01004293",1133,14,113,388,378,159,42,23,8,8
"E01004294",877,42,104,287,289,119,24,7,1,4
"E01004295",500,8,29,106,188,124,35,4,3,3
"E01004296",684,29,100,193,211,93,45,8,3,2
"E01004297",909,33,73,234,371,131,39,18,5,5
"E01004298",635,12,68,227,163,71,57,18,9,10
"E01004300",522,22,57,140,158,91,30,12,5,7
"E01004301",413,10,40,88,120,107,27,10,7,4
"E01004302",637,14,114,202,169,73,36,16,8,5
"E01004303",967,15,104,299,308,163,53,9,7,9
"E01004304",653,11,64,159,211,138,34,21,9,6
"E01004305",699,15,82,160,199,197,29,8,5,4
"E01004306",687,17,92,175,142,102,77,35,22,25
"E01004307",1014,41,199,357,277,76,38,6,11,9
"E01004308",504,9,50,95,138,131,40,32,6,3
"E01004309",902,31,114,295,197,144,77,16,16,12
"E01004310",793,46,114,272,218,76,39,12,10,6
"E01004311",644,15,54,177,208,145,30,10,1,4
"E01004312",628,15,53,179,190,143,36,7,5,0
"E01004313",812,15,99,175,337,139,31,11,5,0
"E01004314",493,7,20,84,176,123,69,8,3,3
"E01004315",718,19,78,211,188,126,57,20,7,12
"E01004316",455,12,67,112,141,72,36,6,2,7
"E01004317",1193,40,234,352,309,157,64,18,10,9
"E01004318",630,20,72,188,235,74,29,6,3,3
"E01004319",595,38,64,113,166,127,56,23,5,3
"E01004321",711,77,98,220,129,85,48,36,13,5
"E01004322",502,23,70,165,154,62,13,9,5,1
"E01004323",480,11,37,104,167,54,40,44,13,10
"E01004324",485,8,35,87,170,111,51,11,5,7
"E01004325",1033,28,175,370,286,96,49,19,2,8
"E01004326",623,21,63,191,254,75,8,3,3,5
"E01032764",643,16,121,275,138,50,29,6,4,4
"E01032765",645,11,80,261,158,67,36,25,3,4
"E01032766",601,11,114,232,185,28,13,10,6,2
"E01032767",767,32,85,288,242,83,15,9,9,4
"E01032768",696,6,154,234,202,65,22,9,1,3
"E01032769",593,4,67,177,251,55,18,7,8,6
"E01032770",572,9,129,184,122,87,27,8,3,3
"E01032771",546,24,99,172,172,31,39,1,5,3
"E01032772",544,85,95,172,54,79,42,8,3,6
"E01032773",852,81,279,360,73,39,7,8,0,5
"E01032774",583,16,109,221,133,48,40,9,4,3
"E01032775",600,1,79,251,223,34,7,3,1,1
"E01032776",631,108,107,179,195,28,10,3,0,1
"E01032777",514,7,68,203,162,34,28,3,8,1
"E01032778",564,10,72,230,182,37,23,6,3,1
"E01032779",565,11,67,217,228,35,6,1,0,0
"E01032780",647,9,53,140,320,76,24,18,4,3
"E01032781",771,20,133,227,262,101,16,6,3,3
"E01032782",776,37,341,193,106,56,32,6,5,0
"E01032783",661,12,73,216,202,104,36,9,5,4
"E01032784",692,13,155,244,161,71,33,11,3,1
"E01032785",616,10,81,294,165,43,17,3,3,0
"E01032786",674,12,60,139,361,88,8,0,5,1
"E01032787",793,13,52,175,266,208,58,6,11,4
