"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E00021166",126,69,28,7,22,54.7619047619048,22.2222222222222,5.55555555555556,17.4603174603175
"E00021167",128,91,16,6,15,71.09375,12.5,4.6875,11.71875
"E00021168",169,129,30,1,9,76.3313609467456,17.7514792899408,0.591715976331361,5.32544378698225
"E00021169",189,128,30,4,27,67.7248677248677,15.8730158730159,2.11640211640212,14.2857142857143
"E00021170",162,88,31,18,25,54.320987654321,19.1358024691358,11.1111111111111,15.4320987654321
"E00021171",241,130,37,15,59,53.9419087136929,15.3526970954357,6.22406639004149,24.4813278008299
"E00021172",125,105,10,1,9,84,8,0.8,7.2
"E00021173",146,109,18,8,11,74.6575342465753,12.3287671232877,5.47945205479452,7.53424657534247
"E00021174",128,105,12,1,10,82.03125,9.375,0.78125,7.8125
"E00021175",127,91,19,4,13,71.6535433070866,14.9606299212598,3.1496062992126,10.2362204724409
"E00021176",151,117,11,5,18,77.4834437086093,7.28476821192053,3.3112582781457,11.9205298013245
"E00021177",134,61,36,6,31,45.5223880597015,26.865671641791,4.47761194029851,23.134328358209
"E00021179",140,95,22,2,21,67.8571428571429,15.7142857142857,1.42857142857143,15
"E00021180",168,78,29,12,49,46.4285714285714,17.2619047619048,7.14285714285714,29.1666666666667
"E00021181",107,72,15,0,20,67.2897196261682,14.018691588785,0,18.6915887850467
"E00021182",169,123,20,0,26,72.7810650887574,11.8343195266272,0,15.3846153846154
"E00021183",135,108,10,1,16,80,7.40740740740741,0.740740740740741,11.8518518518519
"E00021184",69,44,5,2,18,63.768115942029,7.2463768115942,2.89855072463768,26.0869565217391
"E00021185",131,103,13,3,12,78.6259541984733,9.9236641221374,2.29007633587786,9.16030534351145
"E00021186",156,59,28,9,60,37.8205128205128,17.9487179487179,5.76923076923077,38.4615384615385
"E00021187",97,37,18,19,23,38.1443298969072,18.5567010309278,19.5876288659794,23.7113402061856
"E00021188",120,87,16,0,17,72.5,13.3333333333333,0,14.1666666666667
"E00021189",122,53,37,9,23,43.4426229508197,30.327868852459,7.37704918032787,18.8524590163934
"E00021190",161,94,30,5,32,58.3850931677019,18.6335403726708,3.1055900621118,19.8757763975155
"E00021191",124,55,30,6,33,44.3548387096774,24.1935483870968,4.83870967741935,26.6129032258064
"E00021192",113,48,19,11,35,42.4778761061947,16.8141592920354,9.73451327433628,30.9734513274336
"E00021193",182,138,23,1,20,75.8241758241758,12.6373626373626,0.549450549450549,10.989010989011
"E00021194",176,65,41,19,51,36.9318181818182,23.2954545454545,10.7954545454545,28.9772727272727
"E00021195",108,40,38,11,19,37.037037037037,35.1851851851852,10.1851851851852,17.5925925925926
"E00021196",114,60,26,7,21,52.6315789473684,22.8070175438596,6.14035087719298,18.4210526315789
"E00021197",215,147,20,3,45,68.3720930232558,9.30232558139535,1.3953488372093,20.9302325581395
"E00021198",92,47,20,11,14,51.0869565217391,21.7391304347826,11.9565217391304,15.2173913043478
"E00021199",111,82,8,4,17,73.8738738738739,7.20720720720721,3.6036036036036,15.3153153153153
"E00021200",107,38,32,9,28,35.5140186915888,29.9065420560748,8.41121495327103,26.1682242990654
"E00021201",107,63,15,6,23,58.8785046728972,14.018691588785,5.60747663551402,21.4953271028037
"E00021202",92,47,16,10,19,51.0869565217391,17.3913043478261,10.8695652173913,20.6521739130435
"E00021203",104,56,13,5,30,53.8461538461538,12.5,4.80769230769231,28.8461538461538
"E00021204",145,88,33,4,20,60.6896551724138,22.7586206896552,2.75862068965517,13.7931034482759
"E00021205",100,38,31,5,26,38,31,5,26
"E00021206",78,26,15,4,33,33.3333333333333,19.2307692307692,5.12820512820513,42.3076923076923
"E00021207",164,127,9,0,28,77.4390243902439,5.48780487804878,0,17.0731707317073
"E00021208",108,59,21,4,24,54.6296296296296,19.4444444444444,3.7037037037037,22.2222222222222
"E00021209",72,24,18,5,25,33.3333333333333,25,6.94444444444444,34.7222222222222
"E00021210",78,31,24,6,17,39.7435897435897,30.7692307692308,7.69230769230769,21.7948717948718
"E00021211",135,72,32,7,24,53.3333333333333,23.7037037037037,5.18518518518519,17.7777777777778
