"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00021240",4,0,2,2,0,0,0,0,4,0,2,2,0,50,50,0,0,0,0,100,0,50,50
"E00021241",2,1,0,1,0,0,0,0,2,1,0,1,50,0,50,0,0,0,0,100,50,0,50
"E00021243",23,5,4,14,2,0,1,1,21,5,3,13,21.7391304347826,17.3913043478261,60.8695652173913,8.69565217391304,0,4.34782608695652,4.34782608695652,91.304347826087,21.7391304347826,13.0434782608696,56.5217391304348
"E00021244",15,4,3,8,1,0,0,1,14,4,3,7,26.6666666666667,20,53.3333333333333,6.66666666666667,0,0,6.66666666666667,93.3333333333333,26.6666666666667,20,46.6666666666667
"E00021245",21,6,3,12,0,0,0,0,21,6,3,12,28.5714285714286,14.2857142857143,57.1428571428571,0,0,0,0,100,28.5714285714286,14.2857142857143,57.1428571428571
"E00021246",16,3,1,12,0,0,0,0,16,3,1,12,18.75,6.25,75,0,0,0,0,100,18.75,6.25,75
"E00021247",23,5,1,17,1,0,1,0,22,5,0,17,21.7391304347826,4.34782608695652,73.9130434782609,4.34782608695652,0,4.34782608695652,0,95.6521739130435,21.7391304347826,0,73.9130434782609
"E00021248",27,7,5,15,1,0,0,1,26,7,5,14,25.9259259259259,18.5185185185185,55.5555555555556,3.7037037037037,0,0,3.7037037037037,96.2962962962963,25.9259259259259,18.5185185185185,51.8518518518518
"E00021249",22,5,3,14,0,0,0,0,22,5,3,14,22.7272727272727,13.6363636363636,63.6363636363636,0,0,0,0,100,22.7272727272727,13.6363636363636,63.6363636363636
"E00021251",14,1,1,12,1,0,0,1,13,1,1,11,7.14285714285714,7.14285714285714,85.7142857142857,7.14285714285714,0,0,7.14285714285714,92.8571428571429,7.14285714285714,7.14285714285714,78.5714285714286
"E00021252",6,2,1,3,0,0,0,0,6,2,1,3,33.3333333333333,16.6666666666667,50,0,0,0,0,100,33.3333333333333,16.6666666666667,50
"E00021253",10,0,3,7,1,0,1,0,9,0,2,7,0,30,70,10,0,10,0,90,0,20,70
"E00021254",2,0,1,1,1,0,0,1,1,0,1,0,0,50,50,50,0,0,50,50,0,50,0
"E00021255",3,1,1,1,0,0,0,0,3,1,1,1,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,100,33.3333333333333,33.3333333333333,33.3333333333333
"E00021256",2,0,0,2,0,0,0,0,2,0,0,2,0,0,100,0,0,0,0,100,0,0,100
"E00021257",5,1,1,3,1,1,0,0,4,0,1,3,20,20,60,20,20,0,0,80,0,20,60
