"GeographyCode","KS602EW0001","KS602EW0002","KS602EW0003","KS602EW0004","KS602EW0005","KS602EW0006","KS602EW0007","KS602EW0008","KS602EW0009","KS602EW0010","KS602EW0011","KS602EW0012","KS602EW0013","KS602EW0014","KS602EW0015","KS602EW0016","KS602EW0017","KS602EW0018","KS602EW0019","KS602EW0020","KS602EW0021","KS602EW0022","KS602EW0023","KS602EW0024","KS602EW0025","KS602EW0026","KS602EW0027","KS602EW0028","KS602EW0029"
"E02000876",3062,337,1088,328,259,220,108,377,35,210,100,83,33,55,111,11.0058785107773,35.532331809275,10.7119529719138,8.45852384062704,7.18484650555193,3.52710646636185,12.3122142390594,1.1430437622469,6.85826257348138,3.26583932070542,2.7106466361855,1.07772697583279,1.79621162638798,3.62508164598302
"E02000877",3643,448,1147,330,369,326,148,479,69,174,153,120,46,105,130,12.2975569585506,31.4850398023607,9.05846829536097,10.1290145484491,8.94866867965962,4.06258578094977,13.1485039802361,1.8940433708482,4.77628328300851,4.19983530057645,3.29398847104035,1.26269558056547,2.88223991216031,3.56848751029371
"E02000878",4644,443,1952,509,401,260,185,466,61,205,162,113,70,75,194,9.53919035314384,42.0327304048234,10.9603789836348,8.63479758828596,5.59862187769165,3.98363479758829,10.0344530577089,1.31352282515073,4.41429801894918,3.48837209302326,2.43324720068906,1.50732127476314,1.61498708010336,4.17743324720069
"E02000879",2885,339,928,293,193,231,164,387,57,182,111,59,30,33,72,11.7504332755633,32.1663778162912,10.155979202773,6.68977469670711,8.00693240901213,5.68457538994801,13.4142114384749,1.97573656845754,6.30849220103986,3.8474870017331,2.04506065857886,1.03986135181976,1.14384748700173,2.49566724436742
"E02000880",2318,275,825,241,169,180,86,287,33,127,95,32,30,25,78,11.8636755823986,35.5910267471959,10.3968938740293,7.29076790336497,7.76531492666091,3.71009490940466,12.381363244176,1.42364106988783,5.47886108714409,4.0983606557377,1.38050043140638,1.29421915444349,1.07851596203624,3.36496980155306
"E02000881",2362,278,746,297,249,156,116,229,42,143,106,73,32,61,75,11.7696867061812,31.5834038950042,12.5740897544454,10.5419136325148,6.60457239627434,4.91109229466554,9.69517358171041,1.77815410668925,6.05419136325148,4.48772226926334,3.09060118543607,1.35478408128704,2.58255715495343,3.17527519051651
"E02000882",3010,379,1021,291,342,190,149,276,62,166,134,107,42,88,142,12.5913621262458,33.9202657807309,9.66777408637874,11.3621262458472,6.31229235880399,4.95016611295681,9.16943521594684,2.05980066445183,5.51495016611296,4.45182724252492,3.55481727574751,1.3953488372093,2.92358803986711,4.71760797342193
"E02000883",2733,323,854,263,336,200,155,224,48,211,119,82,54,78,158,11.8185144529821,31.2477131357483,9.62312477131358,12.2941822173436,7.31796560556165,5.67142334431028,8.19612147822905,1.7563117453348,7.72045371386754,4.35418953530918,3.00036589828028,1.97585071350165,2.85400658616905,5.78119282839371
"E02000884",4324,316,2249,432,236,240,120,446,38,132,115,56,29,48,84,7.30804810360777,52.0120259019426,9.99074930619796,5.45790934320074,5.55041628122109,2.77520814061055,10.3145235892692,0.878815911193339,3.0527289546716,2.65957446808511,1.29509713228492,0.670675300647549,1.11008325624422,1.94264569842738
"E02000885",2583,344,848,268,231,134,155,259,36,189,119,61,47,34,103,13.3178474641889,32.8300425861401,10.3755323267518,8.94308943089431,5.18776616337592,6.00077429345722,10.0271002710027,1.39372822299652,7.31707317073171,4.6070460704607,2.36159504452187,1.81958962446767,1.31629887727449,3.98761130468448
"E02000886",3188,257,1632,413,194,129,109,181,28,142,103,57,15,39,72,8.06148055207026,51.1919698870765,12.9548306148055,6.08531994981179,4.04642409033877,3.41907151819322,5.67754077791719,0.878293601003764,4.45420326223338,3.23086574654956,1.78795483061481,0.470514429109159,1.22333751568381,2.25846925972396
"E02000887",3059,382,1144,322,309,178,130,230,64,174,126,72,40,52,141,12.4877410918601,37.3978424321674,10.5263157894737,10.10134030729,5.81889506374632,4.2497548218372,7.5187969924812,2.09218698921216,5.68813337692056,4.11899313501144,2.35371036286368,1.3076168682576,1.69990192873488,4.60934946060804
"E02000888",3410,304,1698,362,229,205,100,244,62,124,82,55,32,41,91,8.91495601173021,49.7947214076246,10.6158357771261,6.71554252199414,6.01173020527859,2.93255131964809,7.15542521994135,1.81818181818182,3.63636363636364,2.40469208211144,1.61290322580645,0.93841642228739,1.20234604105572,2.66862170087977
"E02000889",2986,261,1545,315,176,143,113,175,41,134,83,43,29,31,74,8.74079035498995,51.7414601473543,10.549229738781,5.89417280643001,4.78901540522438,3.78432685867381,5.86068318821165,1.37307434695244,4.48760884125921,2.77963831212324,1.44005358338915,0.971198928332217,1.03817816476892,2.47823174815807
"E02000890",2792,107,1845,408,88,32,105,104,15,48,40,17,21,8,39,3.8323782234957,66.0816618911175,14.6131805157593,3.15186246418338,1.14613180515759,3.76074498567335,3.72492836676218,0.537249283667622,1.71919770773639,1.43266475644699,0.608882521489971,0.75214899713467,0.286532951289398,1.39684813753582
"E02000891",5545,310,3336,605,312,163,105,416,52,120,126,75,34,74,123,5.59062218214608,60.1623083859333,10.9107303877367,5.62669071235347,2.93958521190262,1.89359783588819,7.50225428313796,0.937781785392245,2.16411181244364,2.27231740306582,1.35256988277728,0.613165013525699,1.33453561767358,2.21821460775473
"E02000893",2631,185,1331,340,166,125,132,151,26,114,61,33,23,32,79,7.03154694032687,50.5891296085139,12.9228430254656,6.30938806537438,4.75104522995059,5.01710376282782,5.73926263778031,0.988217407829723,4.33295324971494,2.31851007221589,1.25427594070696,0.874192322310908,1.21626757886735,3.00266058532877
"E02000894",4478,217,2738,512,225,153,143,275,36,90,89,66,35,35,90,4.84591335417597,61.1433675748102,11.4336757481018,5.02456453774006,3.41670388566324,3.19338990620813,6.14113443501563,0.80393032603841,2.00982581509602,1.98749441715051,1.47387226440375,0.781598928092899,0.781598928092899,2.00982581509602
"E02006853",2987,151,1702,306,221,91,92,236,34,85,69,54,31,54,88,5.05523937060596,56.9802477402076,10.2443923669233,7.39872782055574,3.04653498493472,3.08001339136257,7.90090391697355,1.13826581854704,2.84566454636759,2.31001004352193,1.80783394710412,1.03783059926348,1.80783394710412,2.94609976565115
"E02006854",2809,118,1814,313,101,86,49,192,22,65,49,22,11,13,39,4.20078319686721,64.5781416874333,11.1427554289783,3.59558561765753,3.06158775364899,1.74439302242791,6.83517265930936,0.783196867212531,2.31399074403702,1.74439302242791,0.783196867212531,0.391598433606266,0.462798148807405,1.38839444642221
