"GeographyCode","KS604EW0001","KS604EW0002","KS604EW0003","KS604EW0004","KS604EW0005","KS604EW0006","KS604EW0007","KS604EW0008","KS604EW0009","KS604EW0010","KS604EW0011","KS604EW0012","KS604EW0013","KS604EW0014","KS604EW0015","KS604EW0016","KS604EW0017","KS604EW0018","KS604EW0019","KS604EW0020","KS604EW0021","KS604EW0022","KS604EW0023","KS604EW0024","KS604EW0025","KS604EW0026","KS604EW0027","KS604EW0028","KS604EW0029"
"E00021223",291,16,16,186,73,175,6,7,104,58,116,10,9,82,15,5.49828178694158,5.49828178694158,63.9175257731959,25.085910652921,60.1374570446735,2.06185567010309,2.40549828178694,35.7388316151203,19.9312714776632,39.8625429553265,3.43642611683849,3.09278350515464,28.1786941580756,5.15463917525773
"E00021224",217,17,32,132,36,137,9,21,79,28,80,8,11,53,8,7.83410138248848,14.7465437788018,60.8294930875576,16.5898617511521,63.1336405529954,4.14746543778802,9.67741935483871,36.405529953917,12.9032258064516,36.8663594470046,3.68663594470046,5.06912442396313,24.4239631336406,3.68663594470046
"E00021225",138,2,25,92,19,81,2,10,53,16,57,0,15,39,3,1.44927536231884,18.1159420289855,66.6666666666667,13.768115942029,58.695652173913,1.44927536231884,7.2463768115942,38.4057971014493,11.5942028985507,41.304347826087,0,10.8695652173913,28.2608695652174,2.17391304347826
"E00021227",156,8,25,101,22,81,4,7,51,19,75,4,18,50,3,5.12820512820513,16.025641025641,64.7435897435898,14.1025641025641,51.9230769230769,2.56410256410256,4.48717948717949,32.6923076923077,12.1794871794872,48.0769230769231,2.56410256410256,11.5384615384615,32.0512820512821,1.92307692307692
"E00021228",158,10,35,93,20,88,4,15,52,17,70,6,20,41,3,6.32911392405063,22.1518987341772,58.8607594936709,12.6582278481013,55.6962025316456,2.53164556962025,9.49367088607595,32.9113924050633,10.7594936708861,44.3037974683544,3.79746835443038,12.6582278481013,25.9493670886076,1.89873417721519
"E00021229",112,8,33,58,13,66,2,21,31,12,46,6,12,27,1,7.14285714285714,29.4642857142857,51.7857142857143,11.6071428571429,58.9285714285714,1.78571428571429,18.75,27.6785714285714,10.7142857142857,41.0714285714286,5.35714285714286,10.7142857142857,24.1071428571429,0.892857142857143
"E00021230",140,4,15,90,31,75,2,4,47,22,65,2,11,43,9,2.85714285714286,10.7142857142857,64.2857142857143,22.1428571428571,53.5714285714286,1.42857142857143,2.85714285714286,33.5714285714286,15.7142857142857,46.4285714285714,1.42857142857143,7.85714285714286,30.7142857142857,6.42857142857143
"E00021231",107,3,17,61,26,61,1,6,34,20,46,2,11,27,6,2.80373831775701,15.8878504672897,57.0093457943925,24.2990654205607,57.0093457943925,0.934579439252336,5.60747663551402,31.7757009345794,18.6915887850467,42.9906542056075,1.86915887850467,10.2803738317757,25.2336448598131,5.60747663551402
"E00021235",86,17,31,35,3,47,7,17,20,3,39,10,14,15,0,19.7674418604651,36.046511627907,40.6976744186046,3.48837209302326,54.6511627906977,8.13953488372093,19.7674418604651,23.2558139534884,3.48837209302326,45.3488372093023,11.6279069767442,16.2790697674419,17.4418604651163,0
"E00021236",155,14,29,92,20,95,5,21,53,16,60,9,8,39,4,9.03225806451613,18.7096774193548,59.3548387096774,12.9032258064516,61.2903225806452,3.2258064516129,13.5483870967742,34.1935483870968,10.3225806451613,38.7096774193548,5.80645161290323,5.16129032258065,25.1612903225806,2.58064516129032
"E00021238",288,8,12,173,95,179,5,1,107,66,109,3,11,66,29,2.77777777777778,4.16666666666667,60.0694444444444,32.9861111111111,62.1527777777778,1.73611111111111,0.347222222222222,37.1527777777778,22.9166666666667,37.8472222222222,1.04166666666667,3.81944444444444,22.9166666666667,10.0694444444444
