"GeographyCode","KS605EW0001","KS605EW0002","KS605EW0003","KS605EW0004","KS605EW0005","KS605EW0006","KS605EW0007","KS605EW0008","KS605EW0009","KS605EW0010","KS605EW0011","KS605EW0012","KS605EW0013","KS605EW0014","KS605EW0015","KS605EW0016","KS605EW0017","KS605EW0018","KS605EW0019","KS605EW0020","KS605EW0021","KS605EW0022","KS605EW0023","KS605EW0024","KS605EW0025","KS605EW0026","KS605EW0027","KS605EW0028","KS605EW0029","KS605EW0030","KS605EW0031","KS605EW0032","KS605EW0033","KS605EW0034","KS605EW0035","KS605EW0036","KS605EW0037"
"E00021153",269,0,0,6,1,0,10,25,4,25,33,17,2,50,12,5,26,24,29,0,0,2.23048327137546,0.371747211895911,0,3.71747211895911,9.29368029739777,1.48698884758364,9.29368029739777,12.2676579925651,6.31970260223048,0.743494423791822,18.5873605947955,4.46096654275093,1.85873605947955,9.66542750929368,8.92193308550186,10.7806691449814
"E00021154",125,0,0,3,0,0,5,24,7,9,4,1,1,17,9,8,15,11,11,0,0,2.4,0,0,4,19.2,5.6,7.2,3.2,0.8,0.8,13.6,7.2,6.4,12,8.8,8.8
"E00021155",278,0,0,6,0,0,10,29,2,16,37,23,3,64,10,6,21,21,30,0,0,2.15827338129496,0,0,3.59712230215827,10.431654676259,0.719424460431655,5.75539568345324,13.3093525179856,8.27338129496403,1.07913669064748,23.021582733813,3.59712230215827,2.15827338129496,7.55395683453237,7.55395683453237,10.7913669064748
"E00021156",102,0,0,2,0,0,1,22,7,14,6,6,3,9,8,5,12,5,2,0,0,1.96078431372549,0,0,0.980392156862745,21.5686274509804,6.86274509803922,13.7254901960784,5.88235294117647,5.88235294117647,2.94117647058824,8.82352941176471,7.84313725490196,4.90196078431373,11.7647058823529,4.90196078431373,1.96078431372549
"E00021157",121,1,0,10,0,1,2,13,10,14,5,4,0,11,4,4,19,12,11,0.826446280991736,0,8.26446280991736,0,0.826446280991736,1.65289256198347,10.7438016528926,8.26446280991736,11.5702479338843,4.13223140495868,3.30578512396694,0,9.09090909090909,3.30578512396694,3.30578512396694,15.702479338843,9.91735537190083,9.09090909090909
"E00021158",91,0,0,2,0,0,0,17,5,14,5,3,0,9,3,3,12,15,3,0,0,2.1978021978022,0,0,0,18.6813186813187,5.49450549450549,15.3846153846154,5.49450549450549,3.2967032967033,0,9.89010989010989,3.2967032967033,3.2967032967033,13.1868131868132,16.4835164835165,3.2967032967033
"E00021159",249,1,0,10,0,2,11,32,7,22,26,10,4,34,12,12,24,25,17,0.401606425702811,0,4.01606425702811,0,0.803212851405622,4.41767068273092,12.85140562249,2.81124497991968,8.83534136546185,10.4417670682731,4.01606425702811,1.60642570281124,13.6546184738956,4.81927710843374,4.81927710843374,9.63855421686747,10.0401606425703,6.82730923694779
"E00021160",121,0,0,3,1,0,2,15,6,18,10,4,0,21,6,6,14,8,7,0,0,2.47933884297521,0.826446280991736,0,1.65289256198347,12.396694214876,4.95867768595041,14.8760330578512,8.26446280991736,3.30578512396694,0,17.3553719008264,4.95867768595041,4.95867768595041,11.5702479338843,6.61157024793388,5.78512396694215
"E00021161",203,0,0,2,0,0,8,21,15,25,21,9,5,28,6,3,31,18,11,0,0,0.985221674876847,0,0,3.94088669950739,10.3448275862069,7.38916256157635,12.3152709359606,10.3448275862069,4.43349753694581,2.46305418719212,13.7931034482759,2.95566502463054,1.47783251231527,15.2709359605911,8.86699507389163,5.41871921182266
"E00021162",183,0,0,2,0,0,4,26,7,27,18,9,3,20,8,11,14,13,21,0,0,1.09289617486339,0,0,2.18579234972678,14.207650273224,3.82513661202186,14.7540983606557,9.83606557377049,4.91803278688525,1.63934426229508,10.9289617486339,4.37158469945355,6.01092896174863,7.65027322404372,7.10382513661202,11.4754098360656
"E00021163",110,0,0,4,0,1,5,12,4,14,6,10,2,10,6,7,13,9,7,0,0,3.63636363636364,0,0.909090909090909,4.54545454545455,10.9090909090909,3.63636363636364,12.7272727272727,5.45454545454545,9.09090909090909,1.81818181818182,9.09090909090909,5.45454545454545,6.36363636363636,11.8181818181818,8.18181818181818,6.36363636363636
"E00021164",104,0,0,7,0,0,3,9,4,18,10,2,2,5,14,1,19,5,5,0,0,6.73076923076923,0,0,2.88461538461538,8.65384615384615,3.84615384615385,17.3076923076923,9.61538461538462,1.92307692307692,1.92307692307692,4.80769230769231,13.4615384615385,0.961538461538462,18.2692307692308,4.80769230769231,4.80769230769231
"E00021165",134,0,0,7,0,0,1,21,4,18,13,10,5,7,8,4,13,16,7,0,0,5.22388059701492,0,0,0.746268656716418,15.6716417910448,2.98507462686567,13.4328358208955,9.70149253731343,7.46268656716418,3.73134328358209,5.22388059701492,5.97014925373134,2.98507462686567,9.70149253731343,11.9402985074627,5.22388059701492
"E00021166",176,0,0,3,0,0,7,26,6,34,18,6,5,14,11,7,20,6,13,0,0,1.70454545454545,0,0,3.97727272727273,14.7727272727273,3.40909090909091,19.3181818181818,10.2272727272727,3.40909090909091,2.84090909090909,7.95454545454545,6.25,3.97727272727273,11.3636363636364,3.40909090909091,7.38636363636364
"E00021167",154,0,0,1,0,0,3,11,2,23,19,15,1,28,5,4,17,8,17,0,0,0.649350649350649,0,0,1.94805194805195,7.14285714285714,1.2987012987013,14.9350649350649,12.3376623376623,9.74025974025974,0.649350649350649,18.1818181818182,3.24675324675325,2.5974025974026,11.038961038961,5.19480519480519,11.038961038961
"E00021168",319,1,0,16,2,0,14,26,6,24,49,28,4,68,10,9,21,19,22,0.313479623824451,0,5.01567398119122,0.626959247648903,0,4.38871473354232,8.15047021943574,1.88087774294671,7.52351097178683,15.3605015673981,8.77742946708464,1.25391849529781,21.3166144200627,3.13479623824451,2.82131661442006,6.58307210031348,5.95611285266458,6.89655172413793
"E00021169",262,0,0,5,1,0,9,26,5,14,39,16,0,40,16,13,33,25,20,0,0,1.90839694656489,0.381679389312977,0,3.43511450381679,9.9236641221374,1.90839694656489,5.34351145038168,14.8854961832061,6.10687022900763,0,15.2671755725191,6.10687022900763,4.9618320610687,12.5954198473282,9.54198473282443,7.63358778625954
"E00021170",180,0,0,7,0,0,4,28,4,15,12,7,2,22,5,4,35,21,14,0,0,3.88888888888889,0,0,2.22222222222222,15.5555555555556,2.22222222222222,8.33333333333333,6.66666666666667,3.88888888888889,1.11111111111111,12.2222222222222,2.77777777777778,2.22222222222222,19.4444444444444,11.6666666666667,7.77777777777778
"E00021171",252,1,0,4,0,1,3,32,14,45,21,14,0,34,9,7,24,24,19,0.396825396825397,0,1.58730158730159,0,0.396825396825397,1.19047619047619,12.6984126984127,5.55555555555556,17.8571428571429,8.33333333333333,5.55555555555556,0,13.4920634920635,3.57142857142857,2.77777777777778,9.52380952380952,9.52380952380952,7.53968253968254
"E00021172",138,0,0,3,0,0,6,12,4,3,22,6,5,14,6,11,21,15,10,0,0,2.17391304347826,0,0,4.34782608695652,8.69565217391304,2.89855072463768,2.17391304347826,15.9420289855072,4.34782608695652,3.6231884057971,10.1449275362319,4.34782608695652,7.97101449275362,15.2173913043478,10.8695652173913,7.2463768115942
"E00021173",177,0,0,5,1,0,4,19,7,6,18,14,0,23,10,6,24,22,18,0,0,2.82485875706215,0.564971751412429,0,2.25988700564972,10.7344632768362,3.95480225988701,3.38983050847458,10.1694915254237,7.90960451977401,0,12.9943502824859,5.64971751412429,3.38983050847458,13.5593220338983,12.4293785310734,10.1694915254237
"E00021174",199,0,0,4,0,0,3,11,1,6,31,9,5,43,6,10,22,16,32,0,0,2.01005025125628,0,0,1.50753768844221,5.52763819095477,0.50251256281407,3.01507537688442,15.5778894472362,4.52261306532663,2.51256281407035,21.608040201005,3.01507537688442,5.0251256281407,11.0552763819095,8.04020100502512,16.0804020100502
"E00021175",179,0,0,3,0,0,9,16,8,8,16,9,0,32,8,9,20,25,16,0,0,1.67597765363128,0,0,5.02793296089385,8.93854748603352,4.46927374301676,4.46927374301676,8.93854748603352,5.02793296089385,0,17.877094972067,4.46927374301676,5.02793296089385,11.1731843575419,13.9664804469274,8.93854748603352
"E00021176",163,0,0,4,0,0,7,15,4,11,9,9,3,31,3,6,17,23,21,0,0,2.45398773006135,0,0,4.29447852760736,9.20245398773006,2.45398773006135,6.74846625766871,5.52147239263804,5.52147239263804,1.84049079754601,19.0184049079755,1.84049079754601,3.68098159509202,10.4294478527607,14.1104294478528,12.8834355828221
"E00021177",140,0,0,7,0,0,6,15,6,25,14,6,4,12,7,6,16,7,9,0,0,5,0,0,4.28571428571429,10.7142857142857,4.28571428571429,17.8571428571429,10,4.28571428571429,2.85714285714286,8.57142857142857,5,4.28571428571429,11.4285714285714,5,6.42857142857143
"E00021179",186,0,0,5,0,0,3,17,6,30,23,14,2,31,12,7,12,16,8,0,0,2.68817204301075,0,0,1.61290322580645,9.13978494623656,3.2258064516129,16.1290322580645,12.3655913978495,7.52688172043011,1.0752688172043,16.6666666666667,6.45161290322581,3.76344086021505,6.45161290322581,8.60215053763441,4.3010752688172
"E00021180",179,0,0,3,0,0,2,30,4,35,10,11,2,17,9,4,19,18,15,0,0,1.67597765363128,0,0,1.11731843575419,16.7597765363128,2.23463687150838,19.5530726256983,5.58659217877095,6.14525139664804,1.11731843575419,9.49720670391061,5.02793296089385,2.23463687150838,10.6145251396648,10.0558659217877,8.37988826815642
"E00021181",133,0,1,3,0,1,0,19,5,14,18,6,4,25,5,3,7,13,9,0,0.75187969924812,2.25563909774436,0,0.75187969924812,0,14.2857142857143,3.7593984962406,10.5263157894737,13.5338345864662,4.51127819548872,3.00751879699248,18.796992481203,3.7593984962406,2.25563909774436,5.26315789473684,9.77443609022556,6.76691729323308
"E00021182",239,0,0,2,0,0,5,26,2,13,36,18,0,62,12,8,17,17,21,0,0,0.836820083682008,0,0,2.09205020920502,10.8786610878661,0.836820083682008,5.43933054393306,15.0627615062762,7.53138075313808,0,25.9414225941423,5.02092050209205,3.34728033472803,7.11297071129707,7.11297071129707,8.78661087866109
"E00021183",179,0,0,5,0,0,2,17,4,9,22,14,2,35,8,6,21,14,20,0,0,2.79329608938547,0,0,1.11731843575419,9.49720670391061,2.23463687150838,5.02793296089385,12.2905027932961,7.82122905027933,1.11731843575419,19.5530726256983,4.46927374301676,3.35195530726257,11.731843575419,7.82122905027933,11.1731843575419
"E00021184",96,0,0,1,0,0,2,13,1,5,7,6,0,19,7,7,13,10,5,0,0,1.04166666666667,0,0,2.08333333333333,13.5416666666667,1.04166666666667,5.20833333333333,7.29166666666667,6.25,0,19.7916666666667,7.29166666666667,7.29166666666667,13.5416666666667,10.4166666666667,5.20833333333333
"E00021185",166,0,0,5,0,2,8,15,10,13,10,14,3,19,7,3,25,19,13,0,0,3.01204819277108,0,1.20481927710843,4.81927710843374,9.03614457831325,6.02409638554217,7.83132530120482,6.02409638554217,8.43373493975904,1.80722891566265,11.4457831325301,4.21686746987952,1.80722891566265,15.0602409638554,11.4457831325301,7.83132530120482
"E00021186",145,0,0,3,0,0,2,15,7,34,8,9,4,10,9,3,15,19,7,0,0,2.06896551724138,0,0,1.37931034482759,10.3448275862069,4.82758620689655,23.448275862069,5.51724137931035,6.20689655172414,2.75862068965517,6.89655172413793,6.20689655172414,2.06896551724138,10.3448275862069,13.1034482758621,4.82758620689655
"E00021187",87,0,0,1,0,0,0,9,8,16,3,2,3,11,3,7,8,6,10,0,0,1.14942528735632,0,0,0,10.3448275862069,9.19540229885057,18.3908045977011,3.44827586206897,2.29885057471264,3.44827586206897,12.6436781609195,3.44827586206897,8.04597701149425,9.19540229885057,6.89655172413793,11.4942528735632
"E00021188",114,0,0,4,0,0,9,19,9,9,10,8,4,7,4,4,15,11,1,0,0,3.50877192982456,0,0,7.89473684210526,16.6666666666667,7.89473684210526,7.89473684210526,8.7719298245614,7.01754385964912,3.50877192982456,6.14035087719298,3.50877192982456,3.50877192982456,13.1578947368421,9.64912280701754,0.87719298245614
"E00021189",144,0,0,3,0,0,4,23,3,27,4,7,2,16,8,6,15,16,10,0,0,2.08333333333333,0,0,2.77777777777778,15.9722222222222,2.08333333333333,18.75,2.77777777777778,4.86111111111111,1.38888888888889,11.1111111111111,5.55555555555556,4.16666666666667,10.4166666666667,11.1111111111111,6.94444444444444
"E00021190",257,0,0,4,0,1,6,26,3,32,25,33,1,40,13,10,21,21,21,0,0,1.55642023346304,0,0.389105058365759,2.33463035019455,10.1167315175097,1.16731517509728,12.4513618677043,9.72762645914397,12.84046692607,0.389105058365759,15.5642023346303,5.05836575875486,3.89105058365759,8.17120622568093,8.17120622568093,8.17120622568093
"E00021191",163,0,1,6,0,0,2,25,5,26,15,11,3,24,6,8,13,9,9,0,0.613496932515337,3.68098159509202,0,0,1.22699386503067,15.3374233128834,3.06748466257669,15.9509202453988,9.20245398773006,6.74846625766871,1.84049079754601,14.7239263803681,3.68098159509202,4.9079754601227,7.97546012269939,5.52147239263804,5.52147239263804
"E00021192",116,0,0,3,0,1,3,22,7,21,5,1,5,8,5,7,12,11,5,0,0,2.58620689655172,0,0.862068965517241,2.58620689655172,18.9655172413793,6.03448275862069,18.1034482758621,4.31034482758621,0.862068965517241,4.31034482758621,6.89655172413793,4.31034482758621,6.03448275862069,10.3448275862069,9.48275862068965,4.31034482758621
"E00021193",246,0,0,2,1,0,1,13,1,7,32,49,2,59,11,9,16,23,20,0,0,0.813008130081301,0.40650406504065,0,0.40650406504065,5.28455284552846,0.40650406504065,2.84552845528455,13.0081300813008,19.9186991869919,0.813008130081301,23.9837398373984,4.47154471544715,3.65853658536585,6.50406504065041,9.34959349593496,8.13008130081301
"E00021194",197,0,0,5,0,0,3,30,12,34,5,10,2,22,16,7,30,12,9,0,0,2.53807106598985,0,0,1.52284263959391,15.2284263959391,6.09137055837564,17.258883248731,2.53807106598985,5.0761421319797,1.01522842639594,11.1675126903553,8.12182741116751,3.55329949238579,15.2284263959391,6.09137055837564,4.56852791878173
"E00021195",150,0,0,3,0,0,4,30,12,23,10,8,1,17,7,7,14,7,7,0,0,2,0,0,2.66666666666667,20,8,15.3333333333333,6.66666666666667,5.33333333333333,0.666666666666667,11.3333333333333,4.66666666666667,4.66666666666667,9.33333333333333,4.66666666666667,4.66666666666667
"E00021196",111,0,0,3,0,0,3,23,6,14,3,6,2,5,8,6,9,16,7,0,0,2.7027027027027,0,0,2.7027027027027,20.7207207207207,5.40540540540541,12.6126126126126,2.7027027027027,5.40540540540541,1.8018018018018,4.5045045045045,7.20720720720721,5.40540540540541,8.10810810810811,14.4144144144144,6.30630630630631
"E00021197",245,0,1,2,2,1,9,21,9,14,30,30,2,54,13,8,23,14,12,0,0.408163265306122,0.816326530612245,0.816326530612245,0.408163265306122,3.6734693877551,8.57142857142857,3.6734693877551,5.71428571428571,12.2448979591837,12.2448979591837,0.816326530612245,22.0408163265306,5.30612244897959,3.26530612244898,9.38775510204082,5.71428571428571,4.89795918367347
"E00021198",110,1,0,3,0,0,2,21,4,18,10,6,1,7,11,3,8,10,5,0.909090909090909,0,2.72727272727273,0,0,1.81818181818182,19.0909090909091,3.63636363636364,16.3636363636364,9.09090909090909,5.45454545454545,0.909090909090909,6.36363636363636,10,2.72727272727273,7.27272727272727,9.09090909090909,4.54545454545455
"E00021199",78,0,0,2,0,0,2,8,5,8,5,4,4,6,1,6,10,11,6,0,0,2.56410256410256,0,0,2.56410256410256,10.2564102564103,6.41025641025641,10.2564102564103,6.41025641025641,5.12820512820513,5.12820512820513,7.69230769230769,1.28205128205128,7.69230769230769,12.8205128205128,14.1025641025641,7.69230769230769
