"GeographyCode","KS611EW0001","KS611EW0002","KS611EW0003","KS611EW0004","KS611EW0005","KS611EW0006","KS611EW0007","KS611EW0008","KS611EW0009","KS611EW0010","KS611EW0011","KS611EW0012","KS611EW0013","KS611EW0014","KS611EW0015","KS611EW0016","KS611EW0017","KS611EW0018","KS611EW0019","KS611EW0020","KS611EW0021","KS611EW0022","KS611EW0023","KS611EW0024","KS611EW0025","KS611EW0026","KS611EW0027","KS611EW0028","KS611EW0029","KS611EW0030","KS611EW0031"
"E02000881",4732,300,55,245,742,476,357,321,545,435,882,733,149,674,674,0,6.33981403212172,1.16229923922232,5.17751479289941,15.6804733727811,10.0591715976331,7.54437869822485,6.78360101437025,11.5173288250211,9.1927303465765,18.6390532544379,15.4902789518174,3.14877430262046,14.2434488588335,14.2434488588335,0
"E02000882",5985,467,86,381,1062,627,328,310,643,454,1227,1018,209,867,867,0,7.80284043441938,1.43692564745196,6.36591478696742,17.7443609022556,10.4761904761905,5.48036758563074,5.17961570593149,10.7435254803676,7.58563074352548,20.5012531328321,17.0091896407686,3.49206349206349,14.4862155388471,14.4862155388471,0
"E02000883",5447,294,48,246,760,514,344,378,730,537,1140,919,221,750,750,0,5.39746649531852,0.881219019643841,4.51624747567468,13.9526344776941,9.43638700201946,6.31540297411419,6.93959977969524,13.4018725904167,9.85863778226547,20.9289517165412,16.8716724802644,4.05727923627685,13.769047181935,13.769047181935,0
"E02000884",7645,1557,233,1324,1891,573,355,268,538,277,966,838,128,1220,1220,0,20.3662524525834,3.04774362328319,17.3185088293002,24.7351209941138,7.49509483322433,4.64355788096795,3.50555918901243,7.03727926749509,3.62328319162852,12.6357096141269,10.9614126880314,1.67429692609549,15.9581425768476,15.9581425768476,0
"E02000885",5008,376,63,313,839,442,316,297,574,434,982,817,165,748,748,0,7.50798722044728,1.25798722044728,6.25,16.7531948881789,8.8258785942492,6.30990415335463,5.93051118210863,11.461661341853,8.66613418530351,19.6086261980831,16.3138977635783,3.29472843450479,14.9361022364217,14.9361022364217,0
"E02000886",5809,1195,213,982,1381,546,350,259,477,346,694,567,127,561,561,0,20.5715269409537,3.66672404888965,16.904802892064,23.7734549836461,9.39920812532277,6.02513341366845,4.45859872611465,8.21139610948528,5.95627474608366,11.9469788259597,9.76071613014288,2.18626269581684,9.65742812876571,9.65742812876571,0
"E02000887",6130,497,65,432,930,630,424,435,765,546,1084,867,217,819,819,0,8.10766721044046,1.06035889070147,7.04730831973899,15.1712887438825,10.2773246329527,6.91680261011419,7.09624796084829,12.4796084828711,8.90701468189233,17.6835236541599,14.1435562805873,3.53996737357259,13.3605220228385,13.3605220228385,0
"E02000888",6289,1227,238,989,1453,556,322,271,508,311,819,688,131,822,822,0,19.5102560025441,3.78438543488631,15.7258705676578,23.1038320877723,8.84083320082684,5.12005088249324,4.30911114644618,8.07759580219431,4.94514231197329,13.0227381141676,10.9397360470663,2.08300206710129,13.0704404515821,13.0704404515821,0
"E02000889",5352,1234,198,1036,1323,505,277,208,434,264,570,449,121,537,537,0,23.0568011958146,3.69955156950673,19.3572496263079,24.719730941704,9.43572496263079,5.17563527653214,3.8863976083707,8.10911808669656,4.93273542600897,10.6502242152466,8.38938714499253,2.26083707025411,10.0336322869955,10.0336322869955,0
"E02000890",5042,1732,345,1387,1601,414,275,132,207,134,241,177,64,306,306,0,34.3514478381595,6.84252280840936,27.5089250297501,31.7532725109084,8.21102737009123,5.45418484728282,2.61800872669576,4.10551368504562,2.65767552558509,4.77984926616422,3.51051170170567,1.26933756445855,6.06902023006743,6.06902023006743,0
"E02000891",10364,2492,441,2051,2792,973,524,361,685,397,957,743,214,1183,1183,0,24.0447703589348,4.25511385565419,19.7896565032806,26.93940563489,9.38826707834813,5.05596294866847,3.48321111539946,6.60941721343111,3.83056734851409,9.23388653029718,7.16904670011579,2.0648398301814,11.4145117715168,11.4145117715168,0
"E02000893",5243,875,139,736,1119,611,368,298,461,368,557,411,146,586,586,0,16.6889185580774,2.65115391951173,14.0377646385657,21.3427427045585,11.6536334159832,7.01888231928285,5.68376883463666,8.79267594888423,7.01888231928285,10.6236887278276,7.83902345985123,2.78466526797635,11.1768071714667,11.1768071714667,0
"E02000894",8504,2160,311,1849,2395,789,469,307,516,318,651,488,163,899,899,0,25.3998118532455,3.65710253998119,21.7427093132643,28.1632173095014,9.27798682972719,5.51505174035748,3.61006585136406,6.06773283160866,3.73941674506115,7.6552210724365,5.7384760112888,1.9167450611477,10.571495766698,10.571495766698,0
"E02006853",5672,1366,233,1133,1352,529,263,246,425,240,626,484,142,625,625,0,24.083215796897,4.10789844851904,19.975317348378,23.836389280677,9.32651622002821,4.63681241184767,4.33709449929478,7.49294781382228,4.23131170662905,11.0366713681241,8.53314527503526,2.50352609308886,11.0190409026798,11.0190409026798,0
"E02006854",5015,1557,349,1208,1478,444,200,121,225,127,343,273,70,520,520,0,31.0468594217348,6.95912263210369,24.0877367896311,29.4715852442672,8.85343968095713,3.98803589232303,2.41276171485543,4.48654037886341,2.53240279162512,6.839481555334,5.44366899302094,1.39581256231306,10.3688933200399,10.3688933200399,0
