"GeographyCode","QS601EW0001","QS601EW0002","QS601EW0003","QS601EW0004","QS601EW0005","QS601EW0006","QS601EW0007","QS601EW0008","QS601EW0009","QS601EW0010","QS601EW0011","QS601EW0012","QS601EW0013","QS601EW0014","QS601EW0015","QS601EW0016"
"E01032764",1112,897,91,605,1,13,27,65,56,39,215,49,64,45,35,22
"E01032765",1207,870,96,572,4,9,16,42,68,63,337,41,112,68,78,38
"E01032766",1131,872,73,560,2,20,28,51,57,81,259,24,116,60,23,36
"E01032767",1509,1275,48,1018,4,22,17,73,47,46,234,27,145,28,12,22
"E01032768",1172,1013,44,814,5,14,20,56,36,24,159,29,57,40,17,16
"E01032769",1042,858,63,605,8,27,20,53,58,24,184,33,48,52,27,24
"E01032770",1004,801,58,577,4,8,12,43,72,27,203,43,61,52,17,30
"E01032771",914,682,48,495,1,15,8,42,45,28,232,23,87,63,22,37
"E01032772",943,660,58,408,2,14,17,45,56,60,283,56,110,52,34,31
"E01032773",1291,1016,73,745,2,12,20,61,72,31,275,11,125,85,18,36
"E01032774",999,751,95,452,2,10,22,52,89,29,248,34,70,62,48,34
"E01032775",981,835,39,610,4,27,14,64,44,33,146,20,51,41,11,23
"E01032776",973,816,26,622,0,24,16,50,43,35,157,5,91,32,10,19
"E01032777",941,755,76,527,6,8,7,42,49,40,186,14,74,45,28,25
"E01032778",965,777,50,590,0,10,20,34,47,26,188,10,83,42,18,35
"E01032779",892,740,55,549,2,18,9,47,39,21,152,4,62,43,10,33
"E01032780",1209,1027,49,805,2,26,14,65,37,29,182,21,85,39,11,26
"E01032781",1362,1158,66,883,5,27,15,84,41,37,204,26,71,67,19,21
"E01032782",1265,923,92,594,4,14,16,60,89,54,342,15,161,75,44,47
"E01032783",1187,950,73,656,3,16,24,58,75,45,237,50,73,49,35,30
"E01032784",1241,959,72,668,4,10,13,58,48,86,282,35,110,65,43,29
"E01032785",1108,929,72,668,5,16,20,53,65,30,179,23,49,58,19,30
"E01032786",1118,797,151,419,10,18,28,52,82,37,321,48,84,83,63,43
"E01032787",1842,1144,245,513,9,18,45,57,145,112,698,92,214,182,105,105
