"GeographyCode","KS103EW0001","KS103EW0002","KS103EW0003","KS103EW0004","KS103EW0005","KS103EW0006","KS103EW0007","KS103EW0008","KS103EW0009","KS103EW0010","KS103EW0011","KS103EW0012","KS103EW0013"
"E00021161",319,170,99,0,6,23,21,53.2915360501567,31.0344827586207,0,1.88087774294671,7.21003134796238,6.58307210031348
"E00021162",310,200,82,5,7,9,7,64.5161290322581,26.4516129032258,1.61290322580645,2.25806451612903,2.90322580645161,2.25806451612903
"E00021163",295,138,85,0,9,17,46,46.7796610169492,28.8135593220339,0,3.05084745762712,5.76271186440678,15.5932203389831
"E00021164",217,88,83,0,9,22,15,40.5529953917051,38.2488479262673,0,4.14746543778802,10.1382488479263,6.91244239631336
"E00021165",261,142,81,3,11,11,13,54.4061302681992,31.0344827586207,1.14942528735632,4.21455938697318,4.21455938697318,4.98084291187739
"E00021166",303,190,68,0,7,23,15,62.7062706270627,22.4422442244224,0,2.31023102310231,7.59075907590759,4.95049504950495
"E00021167",243,147,59,4,9,17,7,60.4938271604938,24.2798353909465,1.64609053497942,3.7037037037037,6.99588477366255,2.88065843621399
"E00021168",360,315,25,2,3,13,2,87.5,6.94444444444444,0.555555555555556,0.833333333333333,3.61111111111111,0.555555555555556
"E00021169",384,237,109,5,11,13,9,61.71875,28.3854166666667,1.30208333333333,2.86458333333333,3.38541666666667,2.34375
"E00021170",332,166,117,0,22,19,8,50,35.2409638554217,0,6.62650602409639,5.72289156626506,2.40963855421687
"E00021171",507,295,160,2,15,20,15,58.1854043392505,31.5581854043393,0.394477317554241,2.9585798816568,3.94477317554241,2.9585798816568
"E00021172",240,149,46,2,15,23,5,62.0833333333333,19.1666666666667,0.833333333333333,6.25,9.58333333333333,2.08333333333333
"E00021173",294,179,72,2,8,18,15,60.8843537414966,24.4897959183673,0.680272108843537,2.72108843537415,6.12244897959184,5.10204081632653
"E00021174",220,153,54,0,2,9,2,69.5454545454545,24.5454545454545,0,0.909090909090909,4.09090909090909,0.909090909090909
"E00021175",257,175,55,0,5,8,14,68.0933852140078,21.4007782101167,0,1.94552529182879,3.11284046692607,5.44747081712062
"E00021176",251,138,73,0,4,21,15,54.9800796812749,29.0836653386454,0,1.59362549800797,8.36653386454183,5.97609561752988
"E00021177",310,171,98,0,11,18,12,55.1612903225806,31.6129032258064,0,3.54838709677419,5.80645161290323,3.87096774193548
"E00021179",293,204,66,2,6,12,3,69.6245733788396,22.5255972696246,0.68259385665529,2.04778156996587,4.09556313993174,1.02389078498294
"E00021180",340,194,97,2,15,20,12,57.0588235294118,28.5294117647059,0.588235294117647,4.41176470588235,5.88235294117647,3.52941176470588
"E00021181",209,142,36,2,15,7,7,67.9425837320574,17.2248803827751,0.956937799043062,7.17703349282297,3.34928229665072,3.34928229665072
"E00021182",317,246,48,0,9,12,2,77.602523659306,15.1419558359621,0,2.8391167192429,3.78548895899054,0.630914826498423
"E00021183",222,159,47,2,5,9,0,71.6216216216216,21.1711711711712,0.900900900900901,2.25225225225225,4.05405405405405,0
"E00021184",132,84,37,0,4,4,3,63.6363636363636,28.030303030303,0,3.03030303030303,3.03030303030303,2.27272727272727
"E00021185",249,145,70,0,10,16,8,58.2329317269076,28.1124497991968,0,4.01606425702811,6.42570281124498,3.21285140562249
"E00021186",351,167,128,3,13,18,22,47.5783475783476,36.4672364672365,0.854700854700855,3.7037037037037,5.12820512820513,6.26780626780627
"E00021187",198,64,103,0,8,13,10,32.3232323232323,52.020202020202,0,4.04040404040404,6.56565656565657,5.05050505050505
"E00021188",261,148,57,0,6,28,22,56.7049808429119,21.8390804597701,0,2.29885057471264,10.727969348659,8.42911877394636
"E00021189",320,184,99,0,6,15,16,57.5,30.9375,0,1.875,4.6875,5
"E00021190",405,279,87,0,13,15,11,68.8888888888889,21.4814814814815,0,3.20987654320988,3.7037037037037,2.71604938271605
"E00021191",305,158,116,4,6,9,12,51.8032786885246,38.0327868852459,1.31147540983607,1.9672131147541,2.95081967213115,3.9344262295082
