"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00021286",230,162,0,0,1,5,3,8,6,11,9,15,10
"E00021287",278,191,0,0,0,1,5,10,19,7,12,21,12
"E00021288",239,170,0,0,0,1,2,5,14,6,16,14,11
"E00021289",330,205,1,1,3,6,7,29,35,13,22,5,3
"E00021290",342,216,0,0,4,3,15,10,34,19,15,20,6
"E00021291",374,241,0,0,0,1,8,16,11,19,33,33,12
"E00021292",312,212,0,2,3,2,4,14,26,11,16,15,7
"E00021294",578,369,0,0,3,11,16,43,63,25,28,12,8
"E00021295",379,266,0,0,5,8,1,23,26,8,16,12,14
"E00021296",341,252,0,1,1,1,1,8,16,11,20,20,10
"E00021297",418,317,0,2,6,7,15,14,16,12,11,14,4
"E00021298",417,324,0,0,5,8,8,9,12,6,20,17,8
"E00021299",438,301,0,4,2,6,11,32,13,12,19,19,19
"E00021300",492,360,0,0,4,10,5,22,24,19,13,20,15
"E00021301",522,321,0,0,4,10,15,52,41,26,27,19,7
"E00021302",463,302,0,0,5,6,16,18,29,19,18,32,18
"E00021303",349,180,1,0,3,8,9,37,29,17,21,30,14
"E00021304",361,228,0,0,2,13,6,10,23,7,13,36,23
"E00021305",255,210,0,0,3,3,7,7,7,4,3,11,0
"E00021306",264,192,0,0,2,10,5,12,14,10,8,5,6
"E00021307",470,288,1,2,4,5,8,21,29,11,28,45,28
"E00021308",448,302,0,0,2,6,22,37,20,13,15,18,13
"E00021309",189,143,0,0,0,1,3,4,3,4,14,7,10
"E00021310",259,175,0,0,6,6,4,5,21,9,10,16,7
"E00021311",335,218,0,3,2,2,11,21,28,12,20,15,3
"E00021312",316,228,0,0,1,2,5,15,19,13,14,5,14
"E00021313",484,358,0,1,1,8,10,12,15,12,18,31,18
"E00021314",370,299,0,0,1,5,7,12,16,9,10,7,4
"E00021315",138,82,0,0,7,11,8,4,17,2,1,4,2
"E00021316",322,201,0,1,2,5,12,20,24,8,17,16,16
"E00021317",328,277,0,0,5,2,2,2,16,6,5,13,0
