"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E00021214",408,71,39,32,1,40,175,50
"E00021215",429,14,25,22,1,95,215,57
"E00021216",265,62,37,26,4,24,88,24
"E00021217",432,58,55,46,0,63,138,72
"E00021218",409,30,25,32,4,37,230,51
"E00021219",213,68,23,23,4,14,57,24
"E00021220",295,13,9,18,3,29,200,23
"E00021223",355,23,18,25,8,27,232,22
"E00021224",340,64,24,22,7,30,156,37
"E00021225",244,67,20,26,2,16,91,22
"E00021227",225,38,17,21,4,25,95,25
"E00021228",290,100,22,19,7,32,72,38
"E00021229",221,49,35,24,2,28,59,24
"E00021230",217,39,12,18,2,16,112,18
"E00021231",185,57,18,18,7,14,60,11
"E00021235",248,90,31,27,3,24,43,30
"E00021236",241,45,32,16,2,15,108,23
"E00021238",367,8,7,24,3,31,260,34
"E00021239",253,2,3,12,1,10,207,18
"E00021240",284,11,14,12,2,32,188,25
"E00021241",252,7,14,19,0,25,158,29
"E00021243",275,63,48,25,1,18,83,37
"E00021244",203,80,27,22,1,20,39,14
"E00021245",195,73,30,21,2,9,39,21
"E00021246",395,101,42,37,6,44,133,32
"E00021247",274,86,40,32,5,30,52,29
"E00021248",239,45,37,25,4,21,65,42
"E00021249",249,102,42,32,7,29,21,16
"E00021251",223,62,21,24,3,20,70,23
"E00021252",242,7,8,19,1,25,154,28
"E00021253",243,78,18,33,3,27,73,11
"E00021254",204,7,8,11,1,22,135,20
"E00021255",193,3,4,5,0,19,141,21
"E00021256",214,15,14,11,0,14,136,24
"E00021257",209,17,17,27,2,24,106,16
"E00021258",266,106,41,24,5,23,47,20
"E00021259",305,82,30,43,3,24,90,33
"E00021260",255,80,19,20,1,31,77,27
"E00021261",217,48,18,19,0,14,94,24
"E00021262",218,63,35,26,2,21,41,30
"E00021263",327,48,29,19,2,34,181,14
"E00021266",231,26,19,15,6,24,131,10
"E00021267",257,71,30,32,4,25,74,21
"E00021268",203,40,22,33,1,23,63,21
"E00021271",330,105,40,38,6,31,91,19
"E00021272",182,51,25,25,4,12,52,13
"E00021273",237,104,24,27,3,19,50,10
"E00021274",385,155,48,36,4,42,65,35
"E00021275",206,76,24,23,2,15,49,17
"E00021277",208,81,39,19,5,20,31,13
"E00021278",148,48,11,14,1,15,44,15
"E00021279",322,122,44,52,4,21,44,35
"E00021280",245,56,23,18,2,35,87,24
"E00021281",436,87,30,44,5,70,163,37
"E00021282",343,85,27,24,3,30,147,27
"E00021285",112,10,6,9,1,10,73,3
"E00021286",209,21,13,11,1,27,117,19
"E00021287",266,3,12,19,0,12,207,13
"E00021288",225,5,10,15,1,15,163,16
"E00021289",210,69,25,24,2,22,41,27
"E00021290",247,74,24,38,3,32,49,27
"E00021291",369,6,13,18,1,43,274,14
"E00021292",231,80,15,21,4,23,63,25
"E00021294",367,129,58,39,3,29,71,38
"E00021295",327,44,13,19,1,57,171,22
"E00021296",300,37,16,16,6,27,161,37
"E00021297",338,68,17,23,3,21,178,28
"E00021298",365,40,20,18,3,45,214,25
"E00021299",371,66,32,31,1,44,175,22
"E00021300",426,30,15,25,2,66,270,18
"E00021301",331,99,52,41,2,23,83,31
"E00021302",384,71,30,31,5,55,159,33
"E00021303",286,76,29,56,5,25,70,25
"E00021304",296,64,30,22,1,31,103,45
"E00021305",214,19,6,14,0,22,143,10
"E00021306",231,20,22,10,3,20,145,11
"E00021307",436,45,21,33,2,56,252,27
"E00021308",371,62,26,23,5,57,170,28
"E00021309",177,6,9,11,4,11,127,9
"E00021310",215,57,26,20,3,21,70,18
"E00021311",246,79,37,28,2,24,52,24
"E00021312",241,45,23,16,3,28,118,8
"E00021313",404,44,32,37,7,49,211,24
"E00021314",305,43,17,14,3,32,176,20
"E00021315",135,78,5,5,2,9,21,15
"E00021316",247,86,29,25,5,19,60,23
"E00021317",264,34,15,17,4,23,158,13
"E00021318",262,60,16,25,0,24,116,21
"E00021319",268,75,18,21,2,32,103,17
"E00021320",257,69,28,23,5,28,95,9
"E00021321",248,59,16,23,2,28,107,13
"E00021322",243,75,23,27,7,18,67,26
"E00021323",290,93,35,29,2,28,80,23
"E00021324",339,65,18,39,1,24,169,23
"E00021325",309,68,30,27,4,25,133,22
"E00021326",303,79,39,31,3,25,82,44
"E00021327",342,70,34,29,5,34,152,18
"E00021328",309,70,40,37,3,21,88,50
"E00021329",326,109,35,35,1,40,70,36
"E00021330",264,71,29,33,2,29,72,28
"E00021331",155,30,12,20,3,11,54,25
"E00021332",333,126,41,36,1,40,54,35
"E00021333",262,94,32,27,1,24,58,26
"E00021334",294,109,37,27,4,32,56,29
"E00021335",423,132,60,45,6,46,92,42
"E00021336",189,61,38,26,1,19,21,23
"E00021337",247,76,31,33,2,35,39,31
"E00021338",297,83,46,31,3,28,67,39
"E00021339",272,46,30,19,4,35,119,19
"E00021340",336,54,24,27,4,44,136,47
"E00021342",213,56,34,23,1,30,47,22
"E00021344",385,136,60,49,3,41,58,38
"E00021345",236,58,38,26,2,23,75,14
"E00021346",228,61,26,24,3,26,63,25
"E00021347",259,46,41,36,3,45,54,34
"E00021349",293,76,34,33,4,35,80,31
"E00021350",252,71,31,22,3,39,48,38
"E00021351",254,78,35,23,3,19,64,32
"E00021352",200,32,25,31,1,30,67,14
"E00021353",231,84,21,25,5,19,43,34
"E00021354",357,93,42,59,8,34,97,24
"E00021355",266,23,16,29,3,30,141,24
"E00021357",284,92,41,36,4,23,44,44
"E00021359",246,62,32,30,1,31,58,32
"E00021360",309,84,44,27,4,35,73,42
"E00021361",242,62,37,32,3,31,49,28
"E00021363",269,86,44,25,3,22,60,29
"E00021364",419,114,53,55,4,54,99,40
"E00021365",229,58,31,22,6,22,70,20
"E00021366",261,92,35,25,2,25,49,33
"E00021367",243,75,15,30,2,29,68,24
"E00021368",298,89,32,33,1,28,78,37
"E00021369",144,42,38,10,0,22,26,6
"E00021370",416,125,64,62,5,43,77,40
"E00021371",121,36,22,17,0,15,21,10
"E00021372",285,75,35,24,3,15,99,34
"E00021374",293,124,41,26,7,35,39,21
"E00021375",266,70,34,44,3,22,56,37
"E00021376",270,100,35,33,0,26,48,28
"E00021377",411,113,67,42,3,30,121,35
"E00021378",338,83,47,34,9,35,74,56
"E00021379",230,72,30,28,2,19,56,23
"E00021380",288,108,31,30,11,10,70,28
"E00021381",272,103,39,24,2,23,58,23
"E00021382",244,83,52,30,2,16,39,22
"E00021383",380,156,63,34,6,33,70,18
"E00021384",199,3,15,4,1,20,146,10
"E00021385",341,83,38,32,8,36,107,37
"E00021386",254,83,32,28,1,27,54,29
"E00021387",502,152,73,68,12,44,113,40
"E00021388",248,85,45,16,3,26,47,26
"E00021391",328,105,55,52,3,23,49,41
"E00021392",296,63,37,36,3,35,99,23
"E00021393",300,105,40,27,5,29,57,37
"E00021394",250,87,28,25,3,27,51,29
"E00021395",221,84,27,23,1,15,42,29
"E00021396",259,86,39,30,3,32,41,28
"E00021397",365,127,59,56,4,40,51,28
"E00021398",362,103,46,39,3,35,86,50
"E00021399",318,63,28,10,1,25,165,26
"E00021400",280,76,24,35,4,30,87,24
"E00021402",226,64,24,28,4,23,48,35
"E00021404",237,4,5,9,1,10,188,20
"E00021405",340,74,43,51,10,31,88,43
"E00021406",272,71,39,25,9,30,64,34
"E00021407",341,99,60,47,1,36,59,39
"E00021408",305,19,19,19,1,25,195,27
"E00021409",244,3,4,16,0,13,191,17
"E00021410",254,63,22,34,7,23,75,30
"E00021411",317,79,49,37,3,28,87,34
"E00021412",360,89,55,31,9,31,98,47
"E00021413",282,95,34,35,3,23,58,34
"E00021414",276,76,48,29,5,28,54,36
"E00021415",263,84,42,18,2,34,50,33
"E00021416",283,99,34,34,3,19,76,18
"E00021417",232,75,28,15,2,16,69,27
"E00021418",192,1,6,8,1,12,150,14
"E00021419",284,94,46,28,2,25,51,38
"E00021420",232,33,26,17,7,21,101,27
"E00021421",361,101,49,34,7,27,95,48
"E00021422",146,46,22,19,3,7,33,16
"E00021423",302,87,39,29,3,28,76,40
"E00021424",198,7,8,13,1,10,142,17
"E00021425",211,2,4,14,0,15,166,10
"E00021426",235,86,31,23,1,16,47,31
"E00021427",206,4,2,7,1,12,164,16
"E00021428",273,60,37,29,4,31,66,46
"E00021429",102,9,12,13,0,14,43,11
"E00021430",216,54,31,31,2,13,51,34
"E00021431",258,77,36,23,3,25,55,39
"E00021432",281,108,37,23,2,18,63,30
"E00021433",509,109,44,52,11,46,194,53
"E00021434",318,99,25,37,9,33,76,39
"E00021437",240,73,31,21,2,26,52,35
"E00021438",174,66,22,15,4,12,36,19
"E00021439",180,54,25,11,0,15,44,31
"E00021440",330,76,37,33,3,28,108,45
"E00021441",274,61,30,20,4,24,118,17
"E00021442",264,110,38,32,8,13,47,16
"E00021443",229,84,24,15,5,26,58,17
"E00021444",299,58,35,25,0,76,76,29
"E00021445",297,94,40,30,1,43,52,37
"E00021446",306,96,49,34,2,33,54,38
"E00021447",238,9,15,14,1,27,150,22
"E00021448",247,51,34,24,5,26,76,31
"E00021449",281,52,20,25,3,24,135,22
"E00021450",163,30,17,14,1,17,75,9
"E00021451",280,70,35,25,2,22,90,36
"E00021452",177,36,23,13,1,15,74,15
"E00021453",274,80,21,16,3,23,101,30
"E00021454",265,71,32,25,4,28,81,24
"E00021455",247,82,32,22,5,21,55,30
"E00021458",276,24,20,19,3,18,173,19
"E00021459",231,22,13,7,1,21,149,18
"E00021460",321,41,27,31,2,30,163,27
"E00021461",207,37,24,15,1,14,88,28
"E00021462",249,72,17,23,3,14,87,33
"E00021463",283,82,37,23,1,25,87,28
"E00021464",222,45,14,20,3,26,92,22
"E00021465",308,88,41,37,1,22,80,39
"E00021466",664,63,52,50,2,250,159,88
"E00021467",275,73,37,19,3,54,58,31
"E00021468",214,49,13,13,2,18,76,43
"E00021469",331,97,38,36,4,51,62,43
"E00021470",235,67,16,17,5,30,72,28
"E00021471",274,72,53,24,2,25,74,24
"E00021473",337,57,18,35,0,119,59,49
"E00021474",308,85,25,25,2,49,81,41
"E00021475",308,58,33,31,0,43,97,46
"E00021476",307,91,41,30,2,30,68,45
"E00021477",381,70,25,28,5,51,177,25
"E00021478",259,43,21,13,2,25,133,22
"E00021479",372,21,19,28,1,78,179,46
"E00021480",248,22,10,16,1,20,155,24
"E00021481",332,69,35,25,0,70,93,40
"E00021482",385,69,24,32,4,73,149,34
"E00021483",511,77,32,35,2,58,261,46
"E00021484",317,19,11,24,1,60,181,21
"E00021485",233,48,32,35,4,24,63,27
"E00021486",290,76,49,27,2,35,60,41
"E00021487",147,44,17,16,1,11,47,11
"E00021488",328,84,34,35,7,32,86,50
"E00021489",236,69,36,19,3,28,54,27
"E00021490",192,51,33,26,2,24,44,12
"E00021491",199,58,22,19,1,24,46,29
"E00021492",268,82,47,25,4,21,61,28
"E00021493",308,94,56,52,2,28,35,41
"E00021494",427,128,54,56,5,47,103,34
"E00021495",442,124,58,52,6,44,106,52
"E00021496",224,81,31,24,1,14,40,33
"E00021497",340,122,58,33,4,37,36,50
"E00021498",268,73,42,34,5,19,53,42
"E00021499",268,33,15,25,6,33,142,14
"E00021500",287,26,21,34,1,37,156,12
"E00021501",247,78,26,24,2,26,53,38
"E00021502",271,83,44,46,4,25,46,23
"E00021503",251,74,32,26,5,33,43,38
"E00021504",286,65,53,30,1,25,74,38
"E00021505",238,72,31,12,3,39,51,30
"E00021506",246,56,29,27,1,26,80,27
"E00021507",322,57,41,31,3,32,121,37
"E00021508",319,64,32,17,5,30,136,35
"E00021509",414,145,38,35,6,31,108,51
"E00021510",204,5,7,12,0,11,146,23
"E00021511",181,3,3,9,1,13,135,17
"E00021516",219,47,18,17,6,20,100,11
"E00021517",259,36,37,22,4,25,116,19
"E00021518",291,42,31,25,4,22,136,31
"E00021519",405,59,29,27,5,31,208,46
"E00021520",185,12,8,14,0,13,117,21
"E00021521",202,66,25,24,7,16,53,11
"E00021522",351,102,60,25,3,26,91,44
"E00021524",465,86,51,43,6,50,176,53
"E00021525",265,14,16,17,4,28,157,29
"E00021526",310,12,15,17,4,22,214,26
"E00021527",267,9,13,13,1,22,183,26
"E00021528",194,53,17,27,3,24,58,12
"E00021529",159,53,18,13,0,8,63,4
"E00021531",437,141,60,31,9,43,117,36
"E00021532",273,6,15,22,0,26,186,18
"E00021533",230,7,11,15,0,20,159,18
"E00021534",214,5,6,13,1,18,146,25
"E00021535",243,30,12,18,3,40,117,23
"E00021536",247,15,19,15,7,17,145,29
"E00021537",308,19,9,14,3,23,186,54
"E00021538",612,14,3,34,3,47,458,53
"E00021539",240,6,2,9,1,10,194,18
"E00021541",217,19,4,6,1,14,154,19
"E00021542",188,0,4,6,2,11,134,31
"E00021543",255,6,13,6,1,21,187,21
"E00021544",158,5,5,9,0,9,120,10
"E00021546",172,1,5,6,1,1,150,8
"E00021547",222,61,21,26,1,18,73,22
"E00021549",303,76,43,42,4,15,83,40
"E00021550",293,84,29,46,4,31,72,27
"E00021552",193,47,26,11,1,20,53,35
"E00021553",255,96,31,23,5,15,58,27
"E00021554",221,17,24,15,2,17,125,21
"E00021555",320,70,44,39,5,25,107,30
"E00021556",258,4,8,16,0,19,190,21
"E00021557",297,12,14,9,1,15,219,27
"E00021559",291,71,23,33,6,21,126,11
"E00021560",333,90,50,48,1,25,92,27
"E00021561",265,27,10,15,3,75,111,24
"E00021562",306,55,26,37,2,45,120,21
"E00021563",311,80,24,39,6,40,95,27
"E00021564",254,82,20,26,6,20,74,26
"E00021565",154,43,19,15,2,11,37,27
"E00021566",396,52,35,37,2,105,141,24
"E00021567",290,44,26,20,4,28,146,22
"E00021569",260,34,23,25,5,30,136,7
"E00021572",357,64,31,39,3,67,120,33
"E00021574",224,51,17,26,2,28,73,27
"E00021577",220,71,25,28,3,23,51,19
"E00021579",239,62,29,23,2,29,65,29
"E00021580",298,99,34,35,0,27,59,44
"E00021582",299,98,38,40,2,29,66,26
"E00021583",304,108,38,31,1,33,62,31
"E00021584",238,56,29,33,4,17,77,22
"E00021585",424,132,58,47,4,56,80,47
"E00021586",323,82,29,40,5,34,75,58
"E00021587",291,93,42,30,3,24,61,38
"E00021588",241,82,33,31,4,17,44,30
"E00021590",286,105,32,28,0,25,60,36
"E00021591",291,119,41,41,3,21,24,42
"E00021592",251,56,26,35,3,29,80,22
"E00021593",200,91,20,10,4,15,38,22
"E00021594",272,84,25,22,3,35,84,19
"E00021595",294,76,35,24,5,29,88,37
"E00021596",326,84,26,25,6,27,129,29
"E00021597",278,65,31,30,0,29,90,33
"E00021598",240,5,4,28,1,27,163,12
"E00021599",284,11,10,17,2,19,212,13
"E00021600",280,13,16,23,1,29,186,12
"E00021601",205,9,6,8,1,12,154,15
"E00021602",319,37,15,23,1,19,191,33
"E00021603",168,3,2,7,2,13,130,11
"E00021604",290,55,31,25,2,31,114,32
"E00021605",269,29,6,11,0,14,197,12
"E00021606",267,25,12,16,1,9,182,22
"E00021607",205,73,25,18,6,13,57,13
"E00021608",202,15,19,11,0,22,127,8
"E00021610",267,56,15,14,1,15,142,24
"E00021611",330,59,27,16,3,29,170,26
"E00021612",204,2,6,9,0,13,160,14
"E00021613",184,2,6,8,0,9,151,8
"E00021614",251,9,12,15,0,19,183,13
"E00021615",205,8,10,12,1,15,144,15
"E00021616",315,89,35,29,7,35,88,32
"E00021617",164,1,5,6,0,15,116,21
"E00021618",185,57,32,19,2,12,41,22
"E00021619",322,88,41,26,3,31,88,45
"E00021620",207,27,15,24,0,24,92,25
"E00021621",248,79,36,29,6,20,56,22
"E00021622",232,8,9,8,0,8,180,19
"E00021623",133,41,20,17,1,7,39,8
"E00021624",285,15,10,17,1,29,188,25
"E00021625",483,39,34,25,2,34,318,31
"E00021626",316,31,16,23,3,20,200,23
"E00021627",342,12,16,13,1,18,241,41
"E00021628",188,11,20,14,3,17,118,5
"E00021629",211,2,8,11,2,19,156,13
"E00021630",221,46,22,17,1,26,91,18
"E00021631",267,4,8,19,0,25,198,13
"E00021632",212,6,4,12,2,4,162,22
"E00021633",200,6,4,8,0,11,158,13
"E00021634",249,21,9,20,3,14,165,17
"E00021635",206,10,5,5,0,9,164,13
"E00021636",247,76,29,18,3,25,71,25
"E00021637",374,95,37,31,2,47,113,49
"E00021639",265,87,32,38,2,26,52,28
"E00021640",286,68,41,38,2,21,79,37
"E00021641",331,96,33,36,1,37,101,27
"E00021642",253,74,24,19,3,29,70,34
"E00021643",194,62,19,27,2,16,55,13
"E00021644",281,96,29,36,3,29,63,25
"E00021646",337,102,56,40,1,32,76,30
"E00021648",193,5,6,15,0,13,144,10
"E00021649",317,85,36,39,0,26,96,35
"E00021650",215,22,15,11,0,20,134,13
"E00021651",224,7,9,9,1,9,165,24
"E00021652",253,12,14,12,2,22,173,18
"E00021653",403,126,58,34,4,39,95,47
"E00021654",268,74,36,30,3,34,61,30
"E00021655",195,68,23,13,3,21,41,26
"E00021656",349,73,24,40,2,78,94,38
"E00021657",196,6,7,11,0,16,138,18
"E00021658",162,3,2,4,0,10,133,10
"E00021659",268,48,36,34,0,27,98,25
"E00021660",234,71,20,18,2,16,85,22
"E00021661",418,91,44,32,8,48,154,41
"E00021662",437,98,51,55,5,55,112,61
"E00021663",204,54,24,25,1,18,63,19
"E00021665",327,100,55,38,4,32,60,38
"E00021666",428,67,47,36,3,45,181,49
"E00021667",333,104,45,40,3,33,53,55
"E00021668",443,99,35,31,4,39,187,48
"E00021669",334,102,49,46,3,33,58,43
"E00021670",265,91,37,19,5,31,42,40
"E00021671",248,64,33,38,0,30,49,34
"E00021672",362,76,28,30,1,51,139,37
"E00021673",376,152,45,29,3,28,79,40
"E00021674",330,54,31,18,1,34,148,44
"E00021675",371,109,44,41,2,58,69,48
"E00021676",284,6,4,18,2,35,190,29
"E00021677",282,69,34,27,3,17,95,37
"E00021678",359,51,29,26,1,52,167,33
"E00021679",125,15,6,12,1,14,59,18
"E00021680",423,48,35,22,3,36,244,35
"E00021681",246,14,4,11,2,11,183,21
"E00021682",437,130,50,27,3,34,137,56
"E00021683",411,123,51,49,4,42,102,40
"E00021685",464,80,33,37,4,36,231,43
"E00021686",497,24,15,22,3,36,333,64
"E00021687",399,48,24,16,1,31,228,51
"E00021688",332,63,39,25,4,38,131,32
"E00021689",393,6,20,19,1,54,233,60
"E00021690",406,54,23,33,1,33,209,53
"E00021691",258,55,18,29,2,21,104,29
"E00021692",259,22,5,9,2,21,186,14
"E00021693",368,49,22,24,1,23,200,49
"E00021694",354,82,33,23,1,45,122,48
"E00021695",330,38,16,26,1,36,186,27
"E00021696",436,80,33,39,3,40,203,38
"E00021697",247,60,37,26,1,16,84,23
"E00021698",296,46,16,16,0,26,182,10
"E00021699",315,79,27,23,3,29,132,22
"E00021700",445,67,25,27,2,33,235,56
"E00021701",391,77,28,23,5,30,200,28
"E00021702",257,86,35,29,1,14,58,34
"E00021703",256,52,27,19,7,15,107,29
"E00021704",293,60,18,28,4,22,135,26
"E00021705",345,71,25,34,1,29,158,27
"E00021706",271,73,33,21,2,27,73,42
"E00021707",291,63,30,31,0,24,111,32
"E00021708",267,80,24,19,6,26,98,14
"E00021709",262,71,22,25,4,17,73,50
"E00021710",252,81,32,17,2,25,69,26
"E00021711",397,51,23,35,2,37,201,48
"E00021712",287,36,12,21,3,30,149,36
"E00021713",206,52,21,28,0,17,61,27
"E00021714",187,37,19,32,4,17,54,24
"E00021715",276,55,36,24,4,41,87,29
"E00021716",258,122,25,9,2,9,65,26
"E00021717",214,47,22,10,1,24,87,23
"E00021718",317,49,23,23,0,27,167,28
"E00021719",129,28,13,17,3,9,49,10
"E00021722",296,59,25,32,4,20,122,34
"E00021723",235,53,16,23,1,20,114,8
"E00021724",223,23,11,16,1,28,138,6
"E00021725",207,38,9,9,1,11,131,8
"E00021726",182,51,23,25,1,15,49,18
"E00021727",180,49,24,23,0,20,46,18
"E00021728",202,65,12,18,1,14,69,23
"E00021729",153,39,8,12,1,22,56,15
"E00021730",289,73,28,23,2,27,101,35
"E00021731",286,91,23,33,3,17,92,27
"E00021732",213,47,15,11,2,17,107,14
"E00021733",516,77,32,32,1,73,241,60
"E00021734",454,126,68,44,5,41,127,43
"E00021735",354,92,33,56,3,32,93,45
"E00021736",364,131,54,41,4,29,60,45
"E00021737",225,32,22,20,2,25,92,32
"E00021738",262,77,29,27,1,27,74,27
"E00021739",255,17,17,12,2,36,137,34
"E00021740",302,67,35,38,2,32,91,37
"E00021741",222,2,0,11,0,8,182,19
"E00021742",434,76,29,22,4,53,198,52
"E00021743",272,59,28,14,2,33,98,38
"E00021744",527,44,27,22,4,63,313,54
"E00021745",183,70,19,16,2,17,36,23
"E00021746",222,4,5,7,2,18,166,20
"E00021748",459,95,41,43,2,55,165,58
"E00021750",317,83,37,35,3,41,83,35
"E00021752",340,88,32,37,1,29,109,44
"E00021753",203,60,31,19,2,15,56,20
"E00021754",162,45,13,12,2,23,41,26
"E00021755",304,48,26,24,1,33,142,30
"E00021756",188,33,16,21,1,24,67,26
"E00021757",192,66,15,23,2,19,38,29
"E00021758",277,65,28,20,1,23,112,28
"E00021759",274,81,37,25,4,34,55,38
"E00021760",238,81,26,22,3,13,62,31
"E00021761",312,11,13,21,0,92,138,37
"E00021762",246,65,16,17,1,27,94,26
"E00021763",304,91,32,20,4,34,94,29
"E00021764",384,64,38,31,2,58,156,35
"E00021766",333,77,38,39,3,37,106,33
"E00021767",194,37,10,12,2,14,100,19
"E00167078",473,33,38,36,1,160,162,43
"E00167079",208,3,7,7,1,18,138,34
"E00167080",269,53,41,26,3,17,105,24
"E00167081",239,15,6,13,3,26,154,22
"E00167082",280,19,12,24,2,45,142,36
"E00167083",256,58,17,29,4,25,105,18
"E00167084",192,15,16,21,2,19,100,19
"E00167085",224,51,22,26,2,23,82,18
"E00167086",293,48,26,17,1,28,131,42
"E00167087",256,14,4,12,3,12,197,14
"E00167088",197,9,4,11,0,19,144,10
"E00167089",164,24,7,10,1,16,99,7
"E00167090",155,15,16,17,1,16,77,13
"E00167091",270,19,15,18,1,29,164,24
"E00167092",249,22,23,26,1,40,120,17
"E00167093",163,14,10,6,1,10,115,7
"E00167094",263,35,7,13,0,16,165,27
"E00167095",348,100,51,34,6,34,84,39
"E00167096",131,4,1,4,0,28,85,9
"E00167097",222,16,16,11,1,27,131,20
"E00167098",126,1,3,2,1,7,97,15
"E00167099",109,2,2,3,2,9,78,13
"E00167100",509,3,7,17,1,30,414,37
"E00167101",245,3,7,7,0,10,191,27
"E00167102",246,21,23,20,4,21,126,31
"E00167103",199,1,4,5,0,18,156,15
"E00167104",207,4,3,11,0,15,162,12
"E00167105",322,98,58,43,2,36,63,22
"E00167106",283,15,7,14,2,23,209,13
"E00167107",191,18,9,19,0,11,124,10
"E00167108",335,89,39,28,2,27,106,44
"E00167109",211,21,8,15,0,25,118,24
"E00167110",235,40,20,14,0,8,132,21
"E00167111",265,4,10,2,0,15,212,22
"E00167112",707,52,34,27,6,38,484,66
"E00167113",328,68,43,33,3,28,121,32
"E00167114",361,109,46,43,6,38,82,37
"E00167115",590,57,37,39,0,46,347,64
"E00167116",211,68,20,25,2,18,54,24
"E00167117",126,4,1,4,0,6,92,19
"E00167118",225,8,9,10,2,19,161,16
"E00167119",249,32,8,20,2,25,130,32
"E00167120",236,20,25,22,0,22,127,20
"E00167121",241,6,5,11,0,18,175,26
"E00167122",193,20,6,5,2,19,129,12
"E00167123",237,63,18,29,4,31,71,21
"E00167124",259,30,18,29,2,20,133,27
"E00167125",156,6,6,6,2,13,109,14
"E00167126",338,6,9,14,3,13,261,32
"E00167127",226,5,8,6,3,22,159,23
"E00167128",180,43,37,19,1,17,47,16
"E00167129",512,50,26,22,5,33,331,45
"E00167130",704,42,47,42,2,62,447,62
"E00167131",119,47,10,9,0,8,36,9
"E00167132",387,2,8,18,0,36,281,42
"E00167133",144,25,17,9,1,15,64,13
"E00167134",210,4,10,13,1,19,146,17
"E00167135",228,7,6,9,1,13,182,10
"E00167136",140,54,22,13,4,10,28,9
"E00167137",210,3,4,7,1,13,165,17
"E00167138",203,5,24,5,1,17,135,16
"E00167139",282,6,12,6,1,25,201,31
"E00167140",203,9,20,9,4,21,120,20
"E00167141",296,5,10,9,1,22,207,42
"E00167142",418,20,7,24,1,29,305,32
"E00167143",264,60,27,24,3,28,92,30
"E00167144",308,89,56,36,2,26,57,42
"E00167145",180,3,5,8,2,16,135,11
"E00167146",277,15,4,11,1,19,205,22
"E00167147",160,34,17,16,3,19,60,11
