"GeographyCode","KS610EW0001","KS610EW0002","KS610EW0003","KS610EW0004","KS610EW0005","KS610EW0006","KS610EW0007","KS610EW0008","KS610EW0009","KS610EW0010","KS610EW0011","KS610EW0012","KS610EW0013","KS610EW0014","KS610EW0015","KS610EW0016","KS610EW0017","KS610EW0018","KS610EW0019"
"E01004245",177,9,20,25,35,8,41,15,3,21,5.08474576271187,11.2994350282486,14.1242937853107,19.774011299435,4.51977401129944,23.1638418079096,8.47457627118644,1.69491525423729,11.864406779661
"E01004246",387,30,78,71,69,10,45,38,2,44,7.75193798449612,20.1550387596899,18.3462532299742,17.8294573643411,2.58397932816537,11.6279069767442,9.81912144702842,0.516795865633075,11.3695090439276
"E01004247",286,20,42,24,46,16,46,37,3,52,6.99300699300699,14.6853146853147,8.39160839160839,16.0839160839161,5.59440559440559,16.0839160839161,12.9370629370629,1.04895104895105,18.1818181818182
"E01004248",169,8,26,24,30,7,28,19,2,25,4.73372781065089,15.3846153846154,14.2011834319527,17.7514792899408,4.14201183431953,16.5680473372781,11.2426035502959,1.18343195266272,14.792899408284
"E01004249",304,18,34,46,51,5,64,33,5,48,5.92105263157895,11.1842105263158,15.1315789473684,16.7763157894737,1.64473684210526,21.0526315789474,10.8552631578947,1.64473684210526,15.7894736842105
"E01004250",364,8,58,51,86,8,52,53,5,43,2.1978021978022,15.9340659340659,14.010989010989,23.6263736263736,2.1978021978022,14.2857142857143,14.5604395604396,1.37362637362637,11.8131868131868
"E01004251",274,13,48,30,53,10,50,43,1,26,4.74452554744525,17.5182481751825,10.9489051094891,19.3430656934307,3.64963503649635,18.2481751824818,15.6934306569343,0.364963503649635,9.48905109489051
"E01004252",515,32,136,92,85,11,58,43,3,55,6.21359223300971,26.4077669902913,17.8640776699029,16.504854368932,2.13592233009709,11.2621359223301,8.3495145631068,0.58252427184466,10.6796116504854
"E01004253",363,25,48,49,72,10,62,43,5,49,6.8870523415978,13.2231404958678,13.4986225895317,19.8347107438017,2.75482093663912,17.0798898071625,11.8457300275482,1.37741046831956,13.4986225895317
"E01004254",619,99,238,139,77,4,21,19,5,17,15.9935379644588,38.4491114701131,22.4555735056543,12.4394184168013,0.646203554119548,3.39256865912763,3.06946688206785,0.807754442649435,2.74636510500808
"E01004255",276,21,52,53,43,3,46,22,1,35,7.60869565217391,18.8405797101449,19.2028985507246,15.5797101449275,1.08695652173913,16.6666666666667,7.97101449275362,0.36231884057971,12.6811594202899
"E01004256",280,19,32,41,43,13,51,34,4,43,6.78571428571429,11.4285714285714,14.6428571428571,15.3571428571429,4.64285714285714,18.2142857142857,12.1428571428571,1.42857142857143,15.3571428571429
"E01004257",303,17,40,31,56,9,49,37,2,62,5.61056105610561,13.2013201320132,10.2310231023102,18.4818481848185,2.97029702970297,16.1716171617162,12.2112211221122,0.66006600660066,20.4620462046205
"E01004258",367,67,107,84,53,1,24,15,2,14,18.2561307901907,29.1553133514986,22.8882833787466,14.441416893733,0.272479564032698,6.53950953678474,4.08719346049046,0.544959128065395,3.81471389645777
"E01004259",456,43,127,119,68,8,30,26,2,33,9.42982456140351,27.8508771929825,26.0964912280702,14.9122807017544,1.75438596491228,6.57894736842105,5.70175438596491,0.43859649122807,7.23684210526316
"E01004260",341,17,77,61,49,7,55,35,2,38,4.98533724340176,22.5806451612903,17.8885630498534,14.3695014662757,2.05278592375367,16.1290322580645,10.2639296187683,0.586510263929619,11.1436950146628
"E01004261",306,8,51,33,34,0,42,61,0,77,2.61437908496732,16.6666666666667,10.7843137254902,11.1111111111111,0,13.7254901960784,19.9346405228758,0,25.1633986928105
"E01004262",253,17,46,32,32,7,26,45,2,46,6.71936758893281,18.1818181818182,12.6482213438735,12.6482213438735,2.76679841897233,10.2766798418972,17.7865612648221,0.790513833992095,18.1818181818182
"E01004263",249,15,37,42,46,3,43,18,4,41,6.02409638554217,14.859437751004,16.8674698795181,18.4738955823293,1.20481927710843,17.2690763052209,7.2289156626506,1.60642570281124,16.4658634538153
"E01004264",178,6,38,22,27,7,30,21,1,26,3.37078651685393,21.3483146067416,12.3595505617978,15.1685393258427,3.93258426966292,16.8539325842697,11.7977528089888,0.561797752808989,14.6067415730337
"E01004266",380,30,104,69,69,5,31,36,7,29,7.89473684210526,27.3684210526316,18.1578947368421,18.1578947368421,1.31578947368421,8.15789473684211,9.47368421052632,1.84210526315789,7.63157894736842
"E01004267",382,36,105,70,55,5,34,45,5,27,9.42408376963351,27.4869109947644,18.3246073298429,14.3979057591623,1.30890052356021,8.90052356020942,11.7801047120419,1.30890052356021,7.06806282722513
"E01004268",271,13,63,46,38,7,35,28,5,36,4.7970479704797,23.2472324723247,16.9741697416974,14.0221402214022,2.5830258302583,12.9151291512915,10.3321033210332,1.8450184501845,13.2841328413284
"E01004269",353,12,77,41,46,13,52,48,3,61,3.39943342776204,21.8130311614731,11.614730878187,13.0311614730878,3.68271954674221,14.7308781869688,13.5977337110482,0.84985835694051,17.2804532577904
"E01004270",495,33,133,105,68,4,39,43,0,70,6.66666666666667,26.8686868686869,21.2121212121212,13.7373737373737,0.808080808080808,7.87878787878788,8.68686868686869,0,14.1414141414141
"E01004271",246,14,38,36,43,5,44,33,2,31,5.69105691056911,15.4471544715447,14.6341463414634,17.479674796748,2.03252032520325,17.8861788617886,13.4146341463415,0.813008130081301,12.6016260162602
"E01004272",237,9,32,31,42,7,52,29,8,27,3.79746835443038,13.5021097046413,13.0801687763713,17.7215189873418,2.9535864978903,21.9409282700422,12.2362869198312,3.37552742616034,11.3924050632911
"E01004273",255,9,55,33,29,2,53,42,3,29,3.52941176470588,21.5686274509804,12.9411764705882,11.3725490196078,0.784313725490196,20.7843137254902,16.4705882352941,1.17647058823529,11.3725490196078
"E01004274",357,41,72,73,51,8,33,38,1,40,11.484593837535,20.1680672268908,20.4481792717087,14.2857142857143,2.24089635854342,9.2436974789916,10.6442577030812,0.280112044817927,11.2044817927171
"E01004275",479,41,138,87,81,9,41,27,4,51,8.55949895615866,28.8100208768267,18.1628392484342,16.9102296450939,1.87891440501044,8.55949895615866,5.63674321503132,0.835073068893528,10.6471816283925
"E01004276",667,113,228,153,87,12,22,27,7,18,16.9415292353823,34.1829085457271,22.9385307346327,13.0434782608696,1.79910044977511,3.29835082458771,4.047976011994,1.04947526236882,2.69865067466267
"E01004277",443,89,152,100,76,2,7,10,1,6,20.0902934537246,34.3115124153499,22.5733634311512,17.1557562076749,0.451467268623025,1.58013544018059,2.25733634311512,0.225733634311512,1.35440180586907
"E01004280",390,43,96,67,73,4,40,38,1,28,11.025641025641,24.6153846153846,17.1794871794872,18.7179487179487,1.02564102564103,10.2564102564103,9.74358974358974,0.256410256410256,7.17948717948718
"E01004281",473,39,160,113,90,1,20,24,3,23,8.24524312896406,33.8266384778013,23.8900634249471,19.0274841437632,0.211416490486258,4.22832980972516,5.07399577167019,0.634249471458774,4.86257928118393
"E01004283",380,16,77,60,61,12,54,41,1,58,4.21052631578947,20.2631578947368,15.7894736842105,16.0526315789474,3.15789473684211,14.2105263157895,10.7894736842105,0.263157894736842,15.2631578947368
"E01004284",459,30,190,63,69,13,48,27,3,16,6.5359477124183,41.3943355119826,13.7254901960784,15.0326797385621,2.8322440087146,10.4575163398693,5.88235294117647,0.65359477124183,3.48583877995643
"E01004285",271,9,45,45,52,4,41,36,5,34,3.3210332103321,16.6051660516605,16.6051660516605,19.1881918819188,1.4760147601476,15.1291512915129,13.2841328413284,1.8450184501845,12.5461254612546
"E01004286",350,26,78,60,63,4,46,44,2,27,7.42857142857143,22.2857142857143,17.1428571428571,18,1.14285714285714,13.1428571428571,12.5714285714286,0.571428571428571,7.71428571428571
