"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E01004221",52,10,9,33,2,0,1,1,50,10,8,32,19.2307692307692,17.3076923076923,63.4615384615385,3.84615384615385,0,1.92307692307692,1.92307692307692,96.1538461538462,19.2307692307692,15.3846153846154,61.5384615384615
"E01004222",108,24,13,71,7,0,3,4,101,24,10,67,22.2222222222222,12.037037037037,65.7407407407407,6.48148148148148,0,2.77777777777778,3.7037037037037,93.5185185185185,22.2222222222222,9.25925925925926,62.037037037037
"E01004223",119,39,22,58,9,0,4,5,110,39,18,53,32.7731092436975,18.4873949579832,48.7394957983193,7.56302521008403,0,3.36134453781513,4.20168067226891,92.436974789916,32.7731092436975,15.1260504201681,44.5378151260504
"E01004224",66,10,15,41,5,2,2,1,61,8,13,40,15.1515151515152,22.7272727272727,62.1212121212121,7.57575757575758,3.03030303030303,3.03030303030303,1.51515151515152,92.4242424242424,12.1212121212121,19.6969696969697,60.6060606060606
"E01004225",41,10,5,26,3,2,0,1,38,8,5,25,24.390243902439,12.1951219512195,63.4146341463415,7.31707317073171,4.8780487804878,0,2.4390243902439,92.6829268292683,19.5121951219512,12.1951219512195,60.9756097560976
"E01004226",83,21,12,50,3,0,0,3,80,21,12,47,25.3012048192771,14.4578313253012,60.2409638554217,3.6144578313253,0,0,3.6144578313253,96.3855421686747,25.3012048192771,14.4578313253012,56.6265060240964
"E01004228",51,17,8,26,6,2,4,0,45,15,4,26,33.3333333333333,15.6862745098039,50.9803921568627,11.7647058823529,3.92156862745098,7.84313725490196,0,88.2352941176471,29.4117647058824,7.84313725490196,50.9803921568627
"E01004229",48,13,6,29,2,0,1,1,46,13,5,28,27.0833333333333,12.5,60.4166666666667,4.16666666666667,0,2.08333333333333,2.08333333333333,95.8333333333333,27.0833333333333,10.4166666666667,58.3333333333333
"E01004230",77,22,16,39,16,4,2,10,61,18,14,29,28.5714285714286,20.7792207792208,50.6493506493506,20.7792207792208,5.19480519480519,2.5974025974026,12.987012987013,79.2207792207792,23.3766233766234,18.1818181818182,37.6623376623377
"E01004231",102,28,14,60,4,0,3,1,98,28,11,59,27.4509803921569,13.7254901960784,58.8235294117647,3.92156862745098,0,2.94117647058824,0.980392156862745,96.078431372549,27.4509803921569,10.7843137254902,57.843137254902
