"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E00021259",399,35,12,23,243,4,156,10,41,85,20,0,0,0,0,0,14,6,3,5,0,69,16,39,14,121,21,13,2,0,85
"E00021260",320,62,19,43,199,6,109,16,12,75,6,4,4,0,0,0,14,14,0,0,0,66,14,34,18,59,0,5,2,0,52
"E00021261",278,46,23,23,154,4,73,14,18,35,6,0,0,0,0,0,29,26,3,0,0,48,17,31,0,78,10,15,2,0,51
"E00021262",305,36,8,28,217,8,119,14,16,69,20,0,0,0,0,0,22,2,0,20,0,68,20,22,26,52,12,14,10,0,16
"E00021263",401,50,12,38,224,16,120,24,42,43,11,4,4,0,0,0,45,28,6,8,3,39,26,3,10,127,19,23,11,2,72
"E00021266",281,36,4,32,145,4,51,10,5,29,7,0,0,0,0,0,33,18,15,0,0,57,22,18,17,100,14,14,0,0,72
"E00021267",329,47,11,36,184,12,56,18,12,23,3,2,2,0,0,0,25,14,3,4,4,89,42,28,19,98,10,32,3,3,50
"E00021268",253,30,9,21,152,4,68,8,16,40,4,0,0,0,0,0,32,22,6,4,0,48,23,17,8,71,3,11,3,0,54
"E00021271",392,86,27,59,226,8,120,32,19,49,20,0,0,0,0,0,46,32,0,5,9,52,15,14,23,80,0,44,4,0,32
"E00021272",221,33,6,27,127,4,72,4,8,41,19,0,0,0,0,0,32,18,0,5,9,19,10,3,6,61,11,17,0,0,33
"E00021273",285,55,37,18,171,12,87,10,17,40,20,2,2,0,0,0,25,10,0,15,0,45,6,14,25,59,15,12,4,2,26
