"GeographyCode","KS610EW0001","KS610EW0002","KS610EW0003","KS610EW0004","KS610EW0005","KS610EW0006","KS610EW0007","KS610EW0008","KS610EW0009","KS610EW0010","KS610EW0011","KS610EW0012","KS610EW0013","KS610EW0014","KS610EW0015","KS610EW0016","KS610EW0017","KS610EW0018","KS610EW0019"
"E02000884",1906,167,574,464,253,22,137,163,10,116,8.76180482686254,30.1154249737671,24.3441762854145,13.2738719832109,1.15424973767051,7.18782791185729,8.55194123819517,0.524658971668415,6.08604407135362
"E02000885",985,50,205,156,171,19,140,120,12,112,5.0761421319797,20.8121827411168,15.8375634517766,17.3604060913706,1.92893401015228,14.2131979695431,12.1827411167513,1.21827411167513,11.3705583756345
"E02000886",1536,200,445,306,226,18,141,99,9,92,13.0208333333333,28.9713541666667,19.921875,14.7135416666667,1.171875,9.1796875,6.4453125,0.5859375,5.98958333333333
"E02000887",1461,93,256,213,256,43,220,157,14,209,6.36550308008214,17.5222450376454,14.5790554414784,17.5222450376454,2.94318959616701,15.0581793292266,10.7460643394935,0.958247775496235,14.3052703627652
"E02000888",1548,171,474,324,206,20,123,119,12,99,11.046511627907,30.6201550387597,20.9302325581395,13.3074935400517,1.29198966408269,7.94573643410853,7.68733850129199,0.775193798449612,6.3953488372093
"E02000889",1466,152,478,330,216,21,95,93,11,70,10.3683492496589,32.6057298772169,22.5102319236016,14.7339699863574,1.4324693042292,6.48021828103684,6.34379263301501,0.750341064120055,4.77489768076398
"E02000890",1648,240,590,361,233,17,68,74,5,60,14.5631067961165,35.8009708737864,21.9053398058252,14.1383495145631,1.03155339805825,4.12621359223301,4.49029126213592,0.303398058252427,3.64077669902913
"E02000891",2979,381,898,649,461,38,197,178,14,163,12.7895266868077,30.1443437395099,21.7858341725411,15.4749916079221,1.27559583752937,6.61295736824438,5.97515944947969,0.469956361195032,5.47163477677073
"E02000893",1473,138,339,256,293,30,172,103,9,133,9.36863543788187,23.0142566191446,17.3794976238968,19.8913781398506,2.03665987780041,11.6768499660557,6.99253224711473,0.610997963340122,9.02919212491514
"E02000894",2684,307,823,580,428,36,156,173,18,163,11.4381520119225,30.6631892697466,21.6095380029806,15.946348733234,1.34128166915052,5.81222056631893,6.44560357675112,0.670640834575261,6.07302533532042
"E02006853",1608,187,457,346,242,22,126,117,9,102,11.6293532338308,28.4203980099502,21.5174129353234,15.0497512437811,1.3681592039801,7.83582089552239,7.27611940298508,0.559701492537313,6.34328358208955
"E02006854",1435,241,441,354,210,7,65,61,9,47,16.794425087108,30.7317073170732,24.6689895470383,14.6341463414634,0.48780487804878,4.52961672473868,4.25087108013937,0.627177700348432,3.27526132404181
