"GeographyCode","KS401EW0001","KS401EW0002","KS401EW0003","KS401EW0004","KS401EW0005","KS401EW0006","KS401EW0007","KS401EW0008","KS401EW0009","KS401EW0010","KS401EW0011","KS401EW0012","KS401EW0013","KS401EW0014","KS401EW0015","KS401EW0016","KS401EW0017","KS401EW0018","KS401EW0019","KS401EW0020","KS401EW0021","KS401EW0022","KS401EW0023","KS401EW0024","KS401EW0025","KS401EW0026"
"E00021241",120,120,0,0,120,116,4,2,3,42,71,2,0,0,100,0,0,96.6666666666667,3.33333333333333,1.66666666666667,2.5,35,59.1666666666667,1.66666666666667,0,0
"E00021243",149,149,0,0,149,147,2,0,2,4,142,1,0,0,100,0,0,98.6577181208054,1.34228187919463,0,1.34228187919463,2.68456375838926,95.3020134228188,0.671140939597315,0,0
"E00021244",149,149,0,0,149,148,1,1,0,1,145,2,0,0,100,0,0,99.3288590604027,0.671140939597315,0.671140939597315,0,0.671140939597315,97.3154362416107,1.34228187919463,0,0
"E00021245",114,112,2,0,116,113,3,4,3,2,104,3,0,0,98.2456140350877,1.75438596491228,0,97.4137931034483,2.58620689655172,3.44827586206897,2.58620689655172,1.72413793103448,89.6551724137931,2.58620689655172,0,0
"E00021246",185,185,0,0,185,182,3,2,11,14,154,2,2,0,100,0,0,98.3783783783784,1.62162162162162,1.08108108108108,5.94594594594595,7.56756756756757,83.2432432432432,1.08108108108108,1.08108108108108,0
"E00021247",116,115,1,0,117,115,2,1,1,4,110,1,0,0,99.1379310344828,0.862068965517241,0,98.2905982905983,1.70940170940171,0.854700854700855,0.854700854700855,3.41880341880342,94.017094017094,0.854700854700855,0,0
"E00021248",140,140,0,0,140,136,4,0,0,2,138,0,0,0,100,0,0,97.1428571428571,2.85714285714286,0,0,1.42857142857143,98.5714285714286,0,0,0
"E00021249",123,123,0,0,123,122,1,0,1,3,119,0,0,0,100,0,0,99.1869918699187,0.813008130081301,0,0.813008130081301,2.4390243902439,96.7479674796748,0,0,0
"E00021251",120,120,0,0,120,114,6,2,5,28,82,2,1,0,100,0,0,95,5,1.66666666666667,4.16666666666667,23.3333333333333,68.3333333333333,1.66666666666667,0.833333333333333,0
"E00021252",130,130,0,0,130,126,4,0,4,30,94,2,0,0,100,0,0,96.9230769230769,3.07692307692308,0,3.07692307692308,23.0769230769231,72.3076923076923,1.53846153846154,0,0
"E00021253",151,151,0,0,151,144,7,0,2,2,144,0,3,0,100,0,0,95.364238410596,4.63576158940397,0,1.32450331125828,1.32450331125828,95.364238410596,0,1.98675496688742,0
"E00021254",114,114,0,0,114,109,5,0,0,15,97,2,0,0,100,0,0,95.6140350877193,4.3859649122807,0,0,13.1578947368421,85.0877192982456,1.75438596491228,0,0
"E00021255",117,117,0,0,117,109,8,1,0,1,110,5,0,0,100,0,0,93.1623931623932,6.83760683760684,0.854700854700855,0,0.854700854700855,94.017094017094,4.27350427350427,0,0
"E00021256",108,107,0,1,110,107,3,0,0,8,102,0,0,0,99.0740740740741,0,0.925925925925926,97.2727272727273,2.72727272727273,0,0,7.27272727272727,92.7272727272727,0,0,0
"E00021257",107,107,0,0,107,102,5,1,13,45,46,2,0,0,100,0,0,95.3271028037383,4.67289719626168,0.934579439252336,12.1495327102804,42.0560747663551,42.9906542056075,1.86915887850467,0,0
"E00021258",137,137,0,0,137,134,3,0,1,2,130,4,0,0,100,0,0,97.8102189781022,2.18978102189781,0,0.72992700729927,1.45985401459854,94.8905109489051,2.91970802919708,0,0
