"GeographyCode","QS114EW0001","QS114EW0002","QS114EW0003","QS114EW0004","QS114EW0005","QS114EW0006","QS114EW0007","QS114EW0008","QS114EW0009","QS114EW0010","QS114EW0011","QS114EW0012"
"E00021217",452,122,8,114,330,26,6,55,84,39,69,51
"E00021218",491,44,8,36,447,35,16,112,138,11,20,115
"E00021219",250,31,14,17,219,18,24,30,44,6,31,66
"E00021220",348,73,6,67,275,20,4,92,120,0,9,30
"E00021223",388,70,4,66,318,14,4,48,158,0,20,74
"E00021224",409,54,13,41,355,31,12,41,76,38,38,119
"E00021225",292,62,24,38,230,28,26,44,84,12,13,23
"E00021227",269,40,11,29,229,11,12,61,52,11,20,62
"E00021228",359,43,19,24,316,23,18,42,28,22,59,124
"E00021229",309,42,7,35,267,32,6,49,30,58,34,58
"E00021230",248,53,12,41,195,6,18,45,82,0,22,22
"E00021231",210,74,20,54,136,7,12,30,28,11,8,40
"E00021235",368,20,4,16,348,35,10,35,18,68,115,67
"E00021236",324,44,6,38,280,17,4,65,68,45,43,38
"E00021238",398,46,1,45,352,2,8,51,160,10,11,110
"E00021239",286,48,0,48,238,2,2,73,136,0,4,21
"E00021240",304,64,3,61,240,2,8,38,136,0,9,47
"E00021241",274,30,6,24,244,5,6,36,86,0,17,94
"E00021243",398,37,3,34,361,47,4,68,74,60,56,52
"E00021244",254,96,34,62,158,29,18,21,22,32,16,20
"E00021245",246,45,17,28,201,53,16,11,26,11,18,66
"E00021246",517,49,6,43,468,29,20,75,84,40,136,84
"E00021247",402,22,7,15,380,41,6,52,22,49,111,99
"E00021248",380,29,5,24,351,56,4,160,46,36,24,25
"E00021249",329,27,4,23,302,47,16,31,38,21,69,80
"E00021251",292,42,9,33,250,32,14,39,26,39,36,64
"E00021252",267,40,2,38,227,7,8,39,92,5,10,66
"E00021253",304,78,6,72,226,20,4,39,46,6,83,28
"E00021254",237,33,1,32,204,4,0,56,80,5,13,46
"E00021255",221,37,0,37,184,7,0,62,76,0,0,39
"E00021256",242,24,2,22,218,5,0,52,96,6,4,55
"E00021257",242,28,2,26,214,5,4,43,68,0,44,50
"E00021258",360,39,23,16,321,28,12,54,36,47,76,68
"E00021259",399,35,12,23,364,41,14,44,28,43,62,132
"E00021260",320,62,19,43,258,27,22,18,56,23,61,51
"E00021261",278,46,23,23,232,45,8,30,66,15,33,35
"E00021262",305,36,8,28,269,40,22,41,34,59,20,53
"E00021263",401,50,12,38,351,31,24,100,80,10,29,77
"E00021266",281,36,4,32,245,37,12,35,50,10,32,69
"E00021267",329,47,11,36,282,60,16,55,50,0,35,66
"E00021268",253,30,9,21,223,35,8,31,50,12,28,59
"E00021271",392,86,27,59,306,22,22,16,90,41,45,70
"E00021272",221,33,6,27,188,7,14,25,24,16,37,65
"E00021273",285,55,37,18,230,8,20,34,30,25,47,66
"E00021274",549,55,17,38,494,70,16,61,56,71,129,91
"E00021275",259,52,20,32,207,26,18,26,22,19,44,52
"E00021277",249,37,12,25,212,8,20,32,26,10,44,72
"E00021278",199,28,7,21,171,30,10,23,32,17,22,37
"E00021279",444,42,18,24,402,28,12,68,44,78,83,89
"E00021280",287,66,18,48,221,23,10,43,76,17,8,44
"E00021281",531,58,9,49,473,23,8,51,98,28,111,154
"E00021282",407,68,25,43,339,20,16,36,104,27,63,73
"E00021285",123,40,3,37,83,7,2,10,56,5,0,3
"E00021286",230,37,6,31,193,6,6,25,72,5,18,61
