"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E01004214",665,18,46,5,110,392,81,8,5,2.70676691729323,6.91729323308271,0.75187969924812,16.5413533834586,58.9473684210526,12.1804511278195,1.20300751879699,0.75187969924812
"E01004215",1168,134,181,16,71,270,460,16,20,11.472602739726,15.4965753424658,1.36986301369863,6.07876712328767,23.1164383561644,39.3835616438356,1.36986301369863,1.71232876712329
"E01004216",737,73,174,4,30,140,297,12,7,9.90502035278155,23.6092265943012,0.542740841248304,4.07055630936228,18.9959294436906,40.2985074626866,1.62822252374491,0.949796472184532
"E01004217",779,97,164,5,58,235,190,13,17,12.4518613607189,21.0526315789474,0.641848523748395,7.44544287548139,30.1668806161746,24.390243902439,1.66880616174583,2.18228498074454
"E01004218",731,119,209,11,37,79,255,7,14,16.2790697674419,28.5909712722298,1.50478796169631,5.06155950752394,10.8071135430917,34.8837209302326,0.957592339261286,1.91518467852257
"E01004219",851,42,87,53,290,128,236,10,5,4.93537015276146,10.2232667450059,6.22796709753232,34.0775558166862,15.0411280846063,27.732079905993,1.17508813160987,0.587544065804935
"E01004221",802,51,168,33,59,161,304,13,13,6.35910224438903,20.9476309226933,4.11471321695761,7.35660847880299,20.074812967581,37.9052369077307,1.62094763092269,1.62094763092269
"E01004222",1048,88,123,11,160,477,164,11,14,8.3969465648855,11.736641221374,1.04961832061069,15.2671755725191,45.5152671755725,15.6488549618321,1.04961832061069,1.33587786259542
"E01004223",938,52,87,5,99,546,133,13,3,5.54371002132196,9.27505330490405,0.533049040511727,10.5543710021322,58.2089552238806,14.1791044776119,1.38592750533049,0.319829424307036
"E01004224",806,41,100,30,82,287,254,7,5,5.08684863523573,12.4069478908189,3.72208436724566,10.1736972704715,35.6079404466501,31.5136476426799,0.86848635235732,0.620347394540943
"E01004225",1147,107,336,69,20,94,483,24,14,9.32868352223191,29.2938099389712,6.01569311246731,1.743679163034,8.19529206625981,42.1098517872711,2.0924149956408,1.2205754141238
"E01004226",676,61,94,23,278,56,156,4,4,9.02366863905326,13.905325443787,3.40236686390533,41.1242603550296,8.28402366863905,23.0769230769231,0.591715976331361,0.591715976331361
"E01004228",769,99,169,36,88,176,176,13,12,12.8738621586476,21.9765929778934,4.6814044213264,11.443433029909,22.8868660598179,22.8868660598179,1.69050715214564,1.56046814044213
"E01004229",551,64,105,14,175,46,134,9,4,11.6152450090744,19.0562613430127,2.54083484573503,31.7604355716878,8.34845735027223,24.3194192377495,1.63339382940109,0.725952813067151
"E01004230",803,96,128,6,61,286,209,9,8,11.9551681195517,15.9402241594022,0.74719800747198,7.59651307596513,35.6164383561644,26.027397260274,1.12079701120797,0.99626400996264
"E01004231",629,33,72,10,221,130,143,7,13,5.24642289348172,11.4467408585056,1.58982511923688,35.1351351351351,20.6677265500795,22.7344992050874,1.11287758346582,2.06677265500795
"E01004232",603,134,137,5,39,61,212,12,3,22.2222222222222,22.7197346600332,0.829187396351575,6.46766169154229,10.1160862354892,35.1575456053068,1.99004975124378,0.497512437810945
"E01004233",751,78,101,0,63,368,132,5,4,10.3861517976032,13.4487350199734,0,8.38881491344874,49.0013315579228,17.5765645805593,0.66577896138482,0.532623169107856
"E01004234",903,133,232,6,52,186,262,16,16,14.7286821705426,25.6921373200443,0.664451827242525,5.75858250276855,20.5980066445183,29.0143964562569,1.7718715393134,1.7718715393134
"E01004235",513,11,49,0,108,255,76,6,8,2.14424951267056,9.55165692007797,0,21.0526315789474,49.7076023391813,14.8148148148148,1.16959064327485,1.55945419103314
"E01004236",497,14,59,14,91,208,99,6,6,2.8169014084507,11.8712273641851,2.8169014084507,18.3098591549296,41.851106639839,19.9195171026157,1.20724346076459,1.20724346076459
"E01004237",506,42,59,39,42,199,103,17,5,8.300395256917,11.6600790513834,7.70750988142292,8.300395256917,39.3280632411067,20.3557312252964,3.3596837944664,0.988142292490119
"E01004238",1058,42,113,33,133,353,352,10,22,3.96975425330813,10.6805293005671,3.11909262759924,12.5708884688091,33.3648393194707,33.2703213610586,0.945179584120983,2.07939508506616
"E01004239",533,29,71,16,115,226,65,5,6,5.44090056285178,13.3208255159475,3.00187617260788,21.5759849906191,42.4015009380863,12.1951219512195,0.938086303939963,1.12570356472795
