"GeographyCode","KS404EW0001","KS404EW0002","KS404EW0003","KS404EW0004","KS404EW0005","KS404EW0006","KS404EW0007","KS404EW0008","KS404EW0009","KS404EW0010","KS404EW0011","KS404EW0012"
"E01004243",614,375,204,31,3,1,280,61.0749185667753,33.2247557003257,5.04885993485342,0.488599348534202,0.162866449511401
"E01004244",686,467,194,23,2,0,246,68.0758017492711,28.2798833819242,3.35276967930029,0.291545189504373,0
"E01004245",433,223,181,27,0,2,245,51.5011547344111,41.8013856812933,6.23556581986143,0,0.46189376443418
"E01004246",747,424,261,56,5,1,392,56.760374832664,34.9397590361446,7.49665327978581,0.669344042838019,0.133868808567604
"E01004247",714,491,197,21,3,2,257,68.7675070028011,27.5910364145658,2.94117647058824,0.420168067226891,0.280112044817927
"E01004248",441,279,136,25,1,0,189,63.265306122449,30.8390022675737,5.66893424036281,0.226757369614512,0
"E01004249",758,475,249,28,6,0,323,62.664907651715,32.8496042216359,3.69393139841689,0.79155672823219,0
"E01004250",866,516,305,39,4,2,404,59.5842956120092,35.2193995381062,4.50346420323326,0.46189376443418,0.23094688221709
"E01004251",779,474,259,42,3,1,357,60.8472400513479,33.2477535301669,5.39152759948652,0.385109114249037,0.128369704749679
"E01004252",1107,729,344,28,6,0,418,65.8536585365854,31.0749774164408,2.5293586269196,0.5420054200542,0
"E01004253",829,505,270,46,6,2,388,60.9167671893848,32.5693606755127,5.54885404101327,0.723763570566948,0.241254523522316
"E01004254",1046,533,449,54,7,3,594,50.9560229445507,42.925430210325,5.16252390057361,0.669216061185469,0.286806883365201
"E01004255",647,423,203,17,3,1,250,65.3786707882535,31.3755795981453,2.62751159196291,0.463678516228748,0.154559505409583
"E01004256",611,367,215,27,2,0,275,60.0654664484452,35.1882160392799,4.4189852700491,0.327332242225859,0
"E01004257",618,371,228,16,3,0,269,60.0323624595469,36.8932038834951,2.58899676375405,0.485436893203883,0
"E01004258",713,342,301,59,6,5,462,47.9663394109397,42.2159887798036,8.27489481065919,0.841514726507714,0.701262272089762
"E01004259",812,594,193,22,1,2,248,73.1527093596059,23.7684729064039,2.70935960591133,0.123152709359606,0.246305418719212
"E01004260",636,418,202,15,1,0,235,65.7232704402516,31.7610062893082,2.35849056603774,0.157232704402516,0
"E01004261",550,400,133,15,2,0,169,72.7272727272727,24.1818181818182,2.72727272727273,0.363636363636364,0
"E01004262",495,323,147,21,1,3,204,65.2525252525252,29.6969696969697,4.24242424242424,0.202020202020202,0.606060606060606
"E01004263",529,337,162,28,2,0,224,63.7051039697542,30.6238185255198,5.2930056710775,0.378071833648393,0
