"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E02000886",168,37,28,103,9,1,5,3,159,36,23,100,22.0238095238095,16.6666666666667,61.3095238095238,5.35714285714286,0.595238095238095,2.97619047619048,1.78571428571429,94.6428571428571,21.4285714285714,13.6904761904762,59.5238095238095
"E02000887",408,95,60,253,17,5,5,7,391,90,55,246,23.2843137254902,14.7058823529412,62.0098039215686,4.16666666666667,1.22549019607843,1.22549019607843,1.7156862745098,95.8333333333333,22.0588235294118,13.4803921568627,60.2941176470588
"E02000888",192,38,39,115,5,0,4,1,187,38,35,114,19.7916666666667,20.3125,59.8958333333333,2.60416666666667,0,2.08333333333333,0.520833333333333,97.3958333333333,19.7916666666667,18.2291666666667,59.375
"E02000889",112,28,21,63,8,3,4,1,104,25,17,62,25,18.75,56.25,7.14285714285714,2.67857142857143,3.57142857142857,0.892857142857143,92.8571428571429,22.3214285714286,15.1785714285714,55.3571428571429
"E02000890",64,10,28,26,6,0,5,1,58,10,23,25,15.625,43.75,40.625,9.375,0,7.8125,1.5625,90.625,15.625,35.9375,39.0625
"E02000891",385,103,58,224,16,1,6,9,369,102,52,215,26.7532467532467,15.0649350649351,58.1818181818182,4.15584415584416,0.25974025974026,1.55844155844156,2.33766233766234,95.8441558441558,26.4935064935065,13.5064935064935,55.8441558441558
"E02000893",242,58,43,141,14,3,6,5,228,55,37,136,23.9669421487603,17.7685950413223,58.2644628099173,5.78512396694215,1.2396694214876,2.47933884297521,2.06611570247934,94.2148760330578,22.7272727272727,15.2892561983471,56.198347107438
"E02000894",225,48,45,132,28,3,15,10,197,45,30,122,21.3333333333333,20,58.6666666666667,12.4444444444444,1.33333333333333,6.66666666666667,4.44444444444444,87.5555555555556,20,13.3333333333333,54.2222222222222
"E02006853",253,66,38,149,15,3,6,6,238,63,32,143,26.0869565217391,15.0197628458498,58.8932806324111,5.92885375494071,1.18577075098814,2.37154150197628,2.37154150197628,94.0711462450593,24.901185770751,12.6482213438735,56.5217391304348
"E02006854",116,26,22,68,16,6,8,2,100,20,14,66,22.4137931034483,18.9655172413793,58.6206896551724,13.7931034482759,5.17241379310345,6.89655172413793,1.72413793103448,86.2068965517241,17.2413793103448,12.0689655172414,56.8965517241379
